Hour,Average_Efficiency
0,1.0816425753424700
1,1.086343287671230
2,1.0907402191780800
3,1.0936675616438400
4,1.0951144657534200
5,1.0961392328767100
6,1.0970022465753400
7,1.097812
8,1.0985211506849300
9,1.099215506849320
10,1.0998605479452100
11,1.1004138630137000
12,1.100842904109590
13,1.100705808219180
14,1.098826904109590
15,1.0949132602739700
16,1.089574410958900
17,1.0843677260274000
18,1.0800457534246600
19,1.077190410958900
20,1.075816493150690
21,1.0756340273972600
22,1.0764260273972600
23,1.0782299726027400
