Hour,Efficiency
0,1.0816425753424657
1,1.086343287671233
2,1.0907402191780822
3,1.0936675616438356
4,1.0951144657534246
5,1.0961392328767123
6,1.0970022465753424
7,1.097812
8,1.0985211506849315
9,1.099215506849315
10,1.0998605479452055
11,1.1004138630136986
12,1.100842904109589
13,1.100705808219178
14,1.098826904109589
15,1.0949132602739726
16,1.089574410958904
17,1.0843677260273972
18,1.0800457534246575
19,1.077190410958904
20,1.075816493150685
21,1.0756340273972602
22,1.0764260273972603
23,1.0782299726027398
