Hour,Efficiency
0,1.0678834782608697
1,1.071745652173913
2,1.0772473913043477
3,1.0821895652173914
4,1.0843104347826087
5,1.0855234782608696
6,1.0865134782608694
7,1.0874447826086957
8,1.0883173913043478
9,1.0892447826086957
10,1.0900626086956522
11,1.0906965217391305
12,1.09117
13,1.0901369565217391
14,1.0862552173913043
15,1.0810273913043478
16,1.0750952173913044
17,1.0696404347826087
18,1.0655004347826087
19,1.0629060869565217
20,1.0618926086956522
21,1.0620960869565217
22,1.0632269565217392
23,1.065116956521739
