Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units
NSRDB,862903,-,-,-,43.09,-89.42,-6,260,-6,w/m2,w/m2,w/m2
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure
2018,1,1,0,0,0,0,-27.9,0.66,4.3,67.3,-23.5,1007
2018,1,1,0,30,0,0,-27.9,0.66,4.3,68.51,-23.7,1007
2018,1,1,1,0,0,0,-27.9,0.66,4.2,68.69,-23.8,1007
2018,1,1,1,30,0,0,-27.9,0.66,4.2,69.3,-23.9,1007
2018,1,1,2,0,0,0,-28,0.66,4.1,69.69,-24,1007
2018,1,1,2,30,0,0,-28,0.66,4.2,69.69,-24,1007
2018,1,1,3,0,0,0,-28,0.66,4.3,69.81,-24,1007
2018,1,1,3,30,0,0,-28,0.66,4.4,69.19,-23.9,1007
2018,1,1,4,0,0,0,-27.9,0.66,4.6,68.38,-23.7,1007
2018,1,1,4,30,0,0,-27.9,0.66,4.7,67.17,-23.5,1007
2018,1,1,5,0,0,0,-27.7,0.66,4.8,66.84,-23.3,1007
2018,1,1,5,30,0,0,-27.7,0.66,4.9,65.73,-23.1,1008
2018,1,1,6,0,0,0,-27.7,0.66,4.9,65.43,-23,1008
2018,1,1,6,30,0,0,-27.7,0.66,4.9,65.43,-23,1008
2018,1,1,7,0,0,0,-27.7,0.66,4.8,65.13,-23,1008
2018,1,1,7,30,5,59,-27.7,0.66,5,62.86,-22.6,1008
2018,1,1,8,0,23,305,-27.3,0.66,5.1,63.01,-22.2,1009
2018,1,1,8,30,38,595,-27.3,0.66,5.2,59.25,-21.5,1009
2018,1,1,9,0,44,759,-26.7,0.66,5.2,59.65,-20.9,1009
2018,1,1,9,30,51,817,-26.7,0.66,5.2,56.14,-20.2,1009
2018,1,1,10,0,60,739,-25.8,0.66,5.1,57.12,-19.5,1009
2018,1,1,10,30,84,497,-25.8,0.66,5,53.8,-18.8,1009
2018,1,1,11,0,99,439,-24.9,0.66,4.9,55.24,-18.1,1009
2018,1,1,11,30,102,475,-24.9,0.66,4.8,52.45,-17.5,1008
2018,1,1,12,0,100,542,-24,0.66,4.8,54.13,-16.9,1008
2018,1,1,12,30,69,847,-24,0.66,4.8,51.91,-16.4,1008
2018,1,1,13,0,82,718,-23.2,0.66,4.7,53.23,-15.9,1008
2018,1,1,13,30,78,681,-23.2,0.66,4.7,51.92,-15.6,1008
2018,1,1,14,0,58,833,-22.8,0.66,4.6,52.89,-15.3,1008
2018,1,1,14,30,68,561,-22.8,0.66,4.4,53.77,-15.5,1008
2018,1,1,15,0,64,264,-22.7,0.66,4.2,55,-15.7,1008
2018,1,1,15,30,42,305,-22.7,0.66,3.6,59.79,-16.7,1008
2018,1,1,16,0,24,204,-23.2,0.66,3,61.53,-17.6,1008
2018,1,1,16,30,5,50,-23.2,0.66,2.9,64.74,-18.2,1008
2018,1,1,17,0,0,0,-23.3,0.66,2.7,67.52,-18.8,1008
2018,1,1,17,30,0,0,-23.3,0.66,2.7,67.52,-18.8,1008
2018,1,1,18,0,0,0,-23.4,0.66,2.8,71.85,-19.6,1008
2018,1,1,18,30,0,0,-23.4,0.66,2.8,73.73,-19.9,1008
2018,1,1,19,0,0,0,-23.5,0.66,2.9,75.21,-20.2,1008
2018,1,1,19,30,0,0,-23.5,0.66,2.9,77.19,-20.5,1008
2018,1,1,20,0,0,0,-23.5,0.66,3,77.92,-20.7,1007
2018,1,1,20,30,0,0,-23.5,0.66,3.1,79.29,-20.9,1007
2018,1,1,21,0,0,0,-23.7,0.66,3.1,79.02,-21,1007
2018,1,1,21,30,0,0,-23.7,0.66,3.2,79.71,-21.1,1007
2018,1,1,22,0,0,0,-23.8,0.66,3.3,78.78,-21.1,1007
2018,1,1,22,30,0,0,-23.8,0.66,3.3,79.39,-21.2,1006
2018,1,1,23,0,0,0,-23.9,0.66,3.4,79.2,-21.3,1006
2018,1,1,23,30,0,0,-23.9,0.66,3.4,79.2,-21.3,1006
2018,1,2,0,0,0,0,-24.1,0.66,3.5,78.27,-21.3,1006
2018,1,2,0,30,0,0,-24.1,0.66,3.6,78.96,-21.4,1006
2018,1,2,1,0,0,0,-24.2,0.66,3.6,78.65,-21.5,1005
2018,1,2,1,30,0,0,-24.2,0.66,3.7,77.96,-21.4,1005
2018,1,2,2,0,0,0,-24.3,0.66,3.8,77.54,-21.4,1005
2018,1,2,2,30,0,0,-24.3,0.66,3.8,77.54,-21.4,1005
2018,1,2,3,0,0,0,-24.4,0.66,3.7,76.88,-21.4,1004
2018,1,2,3,30,0,0,-24.4,0.66,3.7,76.88,-21.4,1004
2018,1,2,4,0,0,0,-24.4,0.66,3.7,76.59,-21.4,1004
2018,1,2,4,30,0,0,-24.4,0.66,3.8,76.59,-21.4,1004
2018,1,2,5,0,0,0,-24.4,0.66,3.9,76.42,-21.4,1003
2018,1,2,5,30,0,0,-24.4,0.66,4,75.09,-21.2,1003
2018,1,2,6,0,0,0,-24.4,0.66,4.1,74.7,-21.1,1003
2018,1,2,6,30,0,0,-24.4,0.66,4.2,74.7,-21.1,1003
2018,1,2,7,0,0,0,-24.4,0.66,4.3,74.6,-21.1,1003
2018,1,2,7,30,5,63,-24.4,0.66,4.6,71.98,-20.7,1002
2018,1,2,8,0,24,314,-24,0.66,4.8,71.67,-20.2,1002
2018,1,2,8,30,37,573,-24,0.66,5,67.47,-19.5,1002
2018,1,2,9,0,44,708,-23.3,0.66,5.2,67.91,-18.9,1002
2018,1,2,9,30,66,561,-23.4,0.66,5.4,61.78,-17.8,1001
2018,1,2,10,0,75,616,-22.4,0.66,5.5,61.91,-16.8,1001
2018,1,2,10,30,89,582,-22.4,0.66,5.9,56.43,-15.7,1000
2018,1,2,11,0,113,514,-21.7,0.66,6.3,54.66,-14.6,1000
2018,1,2,11,30,118,517,-21.7,0.66,6.5,51.56,-13.9,999
2018,1,2,12,0,102,645,-21.4,0.66,6.7,49.83,-13.1,998
2018,1,2,12,30,101,658,-21.4,0.66,7,47.81,-12.6,997
2018,1,2,13,0,106,594,-21.4,0.66,7.3,45.4,-12,996
2018,1,2,13,30,67,730,-21.4,0.66,7.5,44.99,-11.9,995
2018,1,2,14,0,63,687,-21.1,0.66,7.8,46.03,-11.8,994
2018,1,2,14,30,69,560,-21.1,0.66,7.8,47.1,-12.1,993
2018,1,2,15,0,63,427,-20.7,0.66,7.8,50.07,-12.4,992
2018,1,2,15,30,49,308,-20.7,0.66,7.5,52.56,-13,992
2018,1,2,16,0,28,154,-20.3,0.66,7.1,56.99,-13.6,991
2018,1,2,16,30,6,52,-20.3,0.66,6.9,58.88,-14,991
2018,1,2,17,0,0,0,-20,0.66,6.7,62.52,-14.4,991
2018,1,2,17,30,0,0,-20,0.66,6.7,62.52,-14.4,991
2018,1,2,18,0,0,0,-19.7,0.66,6.6,65.39,-14.6,991
2018,1,2,18,30,0,0,-19.7,0.66,6.7,65.33,-14.6,990
2018,1,2,19,0,0,0,-19.4,0.66,6.8,67.29,-14.7,989
2018,1,2,19,30,0,0,-19.4,0.66,6.8,67.29,-14.7,989
2018,1,2,20,0,0,0,-19.2,0.66,6.8,68.47,-14.7,988
2018,1,2,20,30,0,0,-19.2,0.66,6.7,67.36,-14.5,988
2018,1,2,21,0,0,0,-18.7,0.66,6.7,69.01,-14.3,987
2018,1,2,21,30,0,0,-18.7,0.66,6.4,67.33,-14,987
2018,1,2,22,0,0,0,-17.8,0.66,6.1,70.97,-13.7,986
2018,1,2,22,30,0,0,-17.8,0.66,5.9,69.82,-13.5,986
2018,1,2,23,0,0,0,-17,0.66,5.6,73.14,-13.2,986
2018,1,2,23,30,0,0,-17,0.66,5.3,71.89,-13,985
2018,1,3,0,0,0,0,-16.3,0.66,5.1,74.88,-12.8,985
2018,1,3,0,30,0,0,-16.3,0.66,4.8,74.27,-12.7,985
2018,1,3,1,0,0,0,-15.7,0.66,4.5,76.87,-12.5,984
2018,1,3,1,30,0,0,-15.7,0.66,4.2,75.71,-12.3,985
2018,1,3,2,0,0,0,-15.2,0.66,3.8,78.54,-12.2,985
2018,1,3,2,30,0,0,-15.2,0.66,3.7,77.29,-12,985
2018,1,3,3,0,0,0,-14.6,0.66,3.6,79.64,-11.8,985
2018,1,3,3,30,0,0,-14.6,0.66,3.8,79.01,-11.7,985
2018,1,3,4,0,0,0,-14.6,0.66,4,79.11,-11.7,985
2018,1,3,4,30,0,0,-14.6,0.66,4.5,79.74,-11.8,985
2018,1,3,5,0,0,0,-15.6,0.66,5,74.31,-12,986
2018,1,3,5,30,0,0,-15.6,0.66,5,76.74,-12.4,986
2018,1,3,6,0,0,0,-17,0.66,5.1,70.62,-12.8,986
2018,1,3,6,30,0,0,-17,0.66,4.9,71.77,-13,986
2018,1,3,7,0,0,0,-17.4,0.66,4.7,70.42,-13.2,987
2018,1,3,7,30,5,50,-17.4,0.66,5,69.28,-13,987
2018,1,3,8,0,22,21,-17.5,0.66,5.3,67.69,-12.8,987
2018,1,3,8,30,51,29,-17.5,0.66,5.6,66.07,-12.5,987
2018,1,3,9,0,76,142,-17.7,0.66,5.9,63.2,-12.1,988
2018,1,3,9,30,81,428,-17.7,0.66,6,61.69,-11.8,988
2018,1,3,10,0,80,488,-17.7,0.66,6.2,59.8,-11.4,988
2018,1,3,10,30,90,533,-17.7,0.66,6.2,58.44,-11.1,989
2018,1,3,11,0,108,462,-17.6,0.66,6.2,57.23,-10.8,989
2018,1,3,11,30,115,478,-17.6,0.66,6.2,56.32,-10.6,989
2018,1,3,12,0,117,482,-17.7,0.66,6.1,55.69,-10.5,989
2018,1,3,12,30,124,407,-17.7,0.66,6.1,55.69,-10.5,989
2018,1,3,13,0,99,632,-17.8,0.66,6.1,55.24,-10.5,989
2018,1,3,13,30,82,756,-17.8,0.66,6.1,56.57,-10.8,989
2018,1,3,14,0,77,653,-18,0.66,6,56.42,-11,990
2018,1,3,14,30,73,491,-18,0.66,5.9,58.25,-11.4,990
2018,1,3,15,0,69,291,-18.4,0.66,5.8,57.52,-11.7,990
2018,1,3,15,30,49,214,-18.4,0.66,5.6,59.94,-12.2,991
2018,1,3,16,0,27,109,-18.8,0.66,5.4,60.19,-12.7,991
2018,1,3,16,30,6,51,-18.8,0.66,5.2,62.17,-13.1,991
2018,1,3,17,0,0,0,-19.2,0.66,5,62.73,-13.6,992
2018,1,3,17,30,0,0,-19.2,0.66,5,62.73,-13.6,992
2018,1,3,18,0,0,0,-19.8,0.66,4.4,65.54,-14.8,992
2018,1,3,18,30,0,0,-19.8,0.66,4.2,68.87,-15.4,992
2018,1,3,19,0,0,0,-20.3,0.66,3.9,69.12,-15.9,993
2018,1,3,19,30,0,0,-20.3,0.66,3.9,72.07,-16.4,993
2018,1,3,20,0,0,0,-20.6,0.66,3.8,72.16,-16.8,993
2018,1,3,20,30,0,0,-20.6,0.66,3.8,74.62,-17.2,993
2018,1,3,21,0,0,0,-21,0.66,3.8,74.48,-17.6,993
2018,1,3,21,30,0,0,-21,0.66,3.8,75.83,-17.8,994
2018,1,3,22,0,0,0,-21.5,0.66,3.8,74.89,-18.1,994
2018,1,3,22,30,0,0,-21.5,0.66,3.8,76.82,-18.4,994
2018,1,3,23,0,0,0,-21.9,0.66,3.8,75.88,-18.7,994
2018,1,3,23,30,0,0,-21.9,0.66,3.8,77.27,-18.9,995
2018,1,4,0,0,0,0,-22.3,0.66,3.8,76.46,-19.2,995
2018,1,4,0,30,0,0,-22.3,0.66,3.8,77.78,-19.4,995
2018,1,4,1,0,0,0,-22.6,0.66,3.8,77.54,-19.7,995
2018,1,4,1,30,0,0,-22.6,0.66,3.7,78.89,-19.9,995
2018,1,4,2,0,0,0,-22.9,0.66,3.7,78.45,-20.1,995
2018,1,4,2,30,0,0,-22.9,0.66,3.6,79.82,-20.3,995
2018,1,4,3,0,0,0,-23.1,0.66,3.4,80.42,-20.6,995
2018,1,4,3,30,0,0,-23.1,0.66,3.4,81.12,-20.7,995
2018,1,4,4,0,0,0,-23.2,0.66,3.3,80.8,-20.8,996
2018,1,4,4,30,0,0,-23.2,0.66,3.2,80.8,-20.8,996
2018,1,4,5,0,0,0,-23.3,0.66,3.1,80.27,-20.8,996
2018,1,4,5,30,0,0,-23.3,0.66,3.1,79.58,-20.7,996
2018,1,4,6,0,0,0,-23.4,0.66,3,78.47,-20.6,996
2018,1,4,6,30,0,0,-23.4,0.66,3,77.79,-20.5,996
2018,1,4,7,0,0,0,-23.3,0.66,3,77.33,-20.4,996
2018,1,4,7,30,5,57,-23.3,0.66,3.2,74.06,-19.9,996
2018,1,4,8,0,26,225,-22.7,0.66,3.3,75.04,-19.4,997
2018,1,4,8,30,40,515,-22.7,0.66,3.5,70.08,-18.6,997
2018,1,4,9,0,45,728,-21.6,0.66,3.7,71.93,-17.8,997
2018,1,4,9,30,52,803,-21.6,0.66,3.8,66.12,-16.8,997
2018,1,4,10,0,66,762,-21,0.66,3.9,63.99,-15.7,997
2018,1,4,10,30,97,595,-21,0.66,4.1,59.4,-14.8,997
2018,1,4,11,0,112,586,-20.6,0.66,4.3,56.56,-13.8,996
2018,1,4,11,30,122,582,-20.6,0.66,4.3,54.3,-13.3,996
2018,1,4,12,0,119,616,-20.1,0.66,4.4,53.74,-12.7,996
2018,1,4,12,30,115,655,-20.2,0.66,4.4,52.82,-12.5,995
2018,1,4,13,0,95,747,-19.8,0.66,4.4,53.19,-12.2,995
2018,1,4,13,30,66,922,-19.8,0.66,4.4,53.19,-12.2,995
2018,1,4,14,0,72,746,-19.6,0.66,4.3,53.62,-12.1,995
2018,1,4,14,30,63,643,-19.6,0.66,4.1,55.82,-12.6,995
2018,1,4,15,0,63,376,-19.8,0.66,3.8,56.81,-13,995
2018,1,4,15,30,46,402,-19.8,0.66,3.2,60.64,-13.8,995
2018,1,4,16,0,29,297,-20,0.66,2.7,63.92,-14.7,996
2018,1,4,16,30,8,89,-20,0.66,2.5,66.61,-15.2,996
2018,1,4,17,0,0,0,-19.9,0.66,2.3,70.13,-15.7,996
2018,1,4,17,30,0,0,-19.9,0.66,2.3,70.13,-15.7,996
2018,1,4,18,0,0,0,-20,0.66,2.3,73.39,-16.3,996
2018,1,4,18,30,0,0,-20,0.66,2.2,75.26,-16.6,996
2018,1,4,19,0,0,0,-20,0.66,2,76.7,-16.9,996
2018,1,4,19,30,0,0,-20,0.66,2,78.66,-17.2,996
2018,1,4,20,0,0,0,-20.2,0.66,2,79.39,-17.5,996
2018,1,4,20,30,0,0,-20.2,0.66,2,81.43,-17.8,996
2018,1,4,21,0,0,0,-20.4,0.66,2.1,81.95,-18.1,996
2018,1,4,21,30,0,0,-20.4,0.66,2.2,84.06,-18.4,996
2018,1,4,22,0,0,0,-20.6,0.66,2.3,85.06,-18.7,996
2018,1,4,22,30,0,0,-20.6,0.66,2.4,86.53,-18.9,996
2018,1,4,23,0,0,0,-20.8,0.66,2.5,86.33,-19.1,996
2018,1,4,23,30,0,0,-20.8,0.66,2.8,87.07,-19.2,996
2018,1,5,0,0,0,0,-21.3,0.66,3,84.45,-19.3,997
2018,1,5,0,30,0,0,-21.3,0.66,3.1,83.73,-19.2,997
2018,1,5,1,0,0,0,-21.5,0.66,3.2,81.72,-19.2,997
2018,1,5,1,30,0,0,-21.5,0.66,3.2,81.72,-19.2,997
2018,1,5,2,0,0,0,-21.7,0.66,3.1,80.36,-19.2,997
2018,1,5,2,30,0,0,-21.7,0.66,3.1,82.46,-19.5,997
2018,1,5,3,0,0,0,-22.5,0.66,3,79.34,-19.8,997
2018,1,5,3,30,0,0,-22.5,0.66,3,80.03,-19.9,997
2018,1,5,4,0,0,0,-22.9,0.66,3,78.45,-20.1,997
2018,1,5,4,30,0,0,-22.9,0.66,3.1,78.52,-20.1,998
2018,1,5,5,0,0,0,-23,0.66,3.1,77.9,-20.1,998
2018,1,5,5,30,0,0,-23,0.66,3.2,77.23,-20,998
2018,1,5,6,0,0,0,-22.8,0.66,3.3,77.49,-19.9,998
2018,1,5,6,30,0,0,-22.8,0.66,3.5,77.49,-19.9,998
2018,1,5,7,0,0,0,-22.9,0.66,3.6,76.96,-19.9,999
2018,1,5,7,30,4,47,-22.9,0.66,3.8,74.36,-19.5,999
2018,1,5,8,0,22,122,-22.5,0.66,4,74.14,-19,999
2018,1,5,8,30,43,417,-22.4,0.66,4.1,69.32,-18.2,1000
2018,1,5,9,0,50,708,-21.5,0.66,4.2,70.26,-17.4,1000
2018,1,5,9,30,65,694,-21.5,0.66,4.3,65.14,-16.5,1000
2018,1,5,10,0,81,660,-20.8,0.66,4.3,64.58,-15.6,1000
2018,1,5,10,30,103,551,-20.8,0.66,4.4,59.95,-14.7,1000
2018,1,5,11,0,123,509,-20.7,0.66,4.4,56.67,-13.9,1000
2018,1,5,11,30,125,556,-20.7,0.66,4.4,54.41,-13.4,1000
2018,1,5,12,0,119,625,-20.6,0.66,4.5,52.54,-12.9,999
2018,1,5,12,30,123,589,-20.6,0.66,4.5,51.7,-12.7,999
2018,1,5,13,0,105,679,-20.6,0.66,4.5,50.64,-12.4,999
2018,1,5,13,30,89,727,-20.6,0.66,4.5,50.23,-12.3,999
2018,1,5,14,0,71,761,-20.5,0.66,4.4,50.33,-12.3,1000
2018,1,5,14,30,69,628,-20.5,0.66,4.2,51.57,-12.6,1000
2018,1,5,15,0,61,407,-20.7,0.66,4,52.5,-13,1000
2018,1,5,15,30,45,372,-20.7,0.66,3.5,55.58,-13.7,1000
2018,1,5,16,0,27,332,-20.8,0.66,2.9,58.61,-14.5,1001
2018,1,5,16,30,7,68,-20.8,0.66,2.8,61.58,-15.1,1001
2018,1,5,17,0,0,0,-20.9,0.66,2.7,64.54,-15.7,1001
2018,1,5,17,30,0,0,-20.9,0.66,2.7,64.54,-15.7,1001
2018,1,5,18,0,0,0,-21.1,0.66,2.4,69.91,-16.9,1002
2018,1,5,18,30,0,0,-21.1,0.66,2.3,72.91,-17.4,1002
2018,1,5,19,0,0,0,-21.4,0.66,2.1,74.71,-18,1002
2018,1,5,19,30,0,0,-21.4,0.66,2.1,76.63,-18.3,1002
2018,1,5,20,0,0,0,-21.7,0.66,2,77.23,-18.7,1002
2018,1,5,20,30,0,0,-21.7,0.66,2,79.24,-19,1002
2018,1,5,21,0,0,0,-22,0.66,2,79.26,-19.3,1002
2018,1,5,21,30,0,0,-22,0.66,2,80.72,-19.5,1003
2018,1,5,22,0,0,0,-22.2,0.66,2.1,80.33,-19.7,1003
2018,1,5,22,30,0,0,-22.2,0.66,2.2,81.73,-19.9,1003
2018,1,5,23,0,0,0,-22.4,0.66,2.3,81.6,-20.1,1003
2018,1,5,23,30,0,0,-22.4,0.66,2.3,83.02,-20.3,1003
2018,1,6,0,0,0,0,-22.6,0.66,2.3,82.42,-20.4,1003
2018,1,6,0,30,0,0,-22.6,0.66,2.3,83.95,-20.6,1004
2018,1,6,1,0,0,0,-22.8,0.66,2.3,83.51,-20.7,1004
2018,1,6,1,30,0,0,-22.8,0.66,2.3,84.98,-20.9,1004
2018,1,6,2,0,0,0,-22.9,0.66,2.2,84.66,-21,1004
2018,1,6,2,30,0,0,-22.9,0.66,2.3,85.4,-21.1,1004
2018,1,6,3,0,0,0,-23,0.66,2.3,85.14,-21.2,1004
2018,1,6,3,30,0,0,-23,0.66,2.3,85.14,-21.2,1004
2018,1,6,4,0,0,0,-23.2,0.66,2.4,84.69,-21.3,1004
2018,1,6,4,30,0,0,-23.2,0.66,2.4,83.95,-21.2,1004
2018,1,6,5,0,0,0,-23.4,0.66,2.5,82.72,-21.2,1004
2018,1,6,5,30,0,0,-23.3,0.66,2.4,82.08,-21.1,1005
2018,1,6,6,0,0,0,-23.3,0.66,2.3,80.91,-20.9,1005
2018,1,6,6,30,0,0,-23.3,0.66,2.2,80.2,-20.8,1005
2018,1,6,7,0,0,0,-23.3,0.66,2.2,79.5,-20.7,1005
2018,1,6,7,30,4,50,-23.3,0.66,2,76.13,-20.2,1005
2018,1,6,8,0,16,25,-22.7,0.66,1.9,76.28,-19.6,1005
2018,1,6,8,30,35,76,-22.7,0.66,1.9,69.42,-18.5,1005
2018,1,6,9,0,50,348,-21.5,0.66,1.8,69.94,-17.3,1005
2018,1,6,9,30,72,506,-21.5,0.66,1.6,63.78,-16.2,1005
2018,1,6,10,0,94,480,-20.9,0.66,1.4,60.73,-15,1005
2018,1,6,10,30,94,594,-20.9,0.66,1,56.4,-14.1,1005
2018,1,6,11,0,114,526,-20.6,0.66,0.7,53.83,-13.2,1005
2018,1,6,11,30,125,513,-20.6,0.66,0.6,51.64,-12.7,1004
2018,1,6,12,0,122,559,-20.1,0.66,0.5,52.42,-12.3,1004
2018,1,6,12,30,115,604,-20.1,0.66,0.9,50.76,-11.9,1004
2018,1,6,13,0,112,599,-19.6,0.66,1.3,51.69,-11.6,1003
2018,1,6,13,30,98,635,-19.6,0.66,1.7,50.87,-11.4,1003
2018,1,6,14,0,89,556,-19.3,0.66,2.1,51.65,-11.3,1002
2018,1,6,14,30,78,426,-19.3,0.66,2.3,52.91,-11.6,1002
2018,1,6,15,0,68,294,-19.2,0.66,2.4,54.5,-11.9,1002
2018,1,6,15,30,49,248,-19.2,0.66,2.1,59.5,-13,1001
2018,1,6,16,0,28,136,-19.1,0.66,1.7,65.79,-14.1,1001
2018,1,6,16,30,6,30,-19.1,0.66,1.9,69.11,-14.7,1001
2018,1,6,17,0,0,0,-19.5,0.66,2,70.66,-15.4,1000
2018,1,6,17,30,0,0,-19.5,0.66,2,70.66,-15.4,1000
2018,1,6,18,0,0,0,-19.8,0.66,2.6,70.88,-15.7,1000
2018,1,6,18,30,0,0,-19.8,0.66,2.9,72.07,-15.9,1000
2018,1,6,19,0,0,0,-19.9,0.66,3.3,72.19,-16,999
2018,1,6,19,30,0,0,-19.9,0.66,3.5,72.8,-16.1,999
2018,1,6,20,0,0,0,-19.8,0.66,3.8,73.53,-16.2,998
2018,1,6,20,30,0,0,-19.8,0.66,4,72.32,-16,998
2018,1,6,21,0,0,0,-19.5,0.66,4.3,73.2,-15.8,997
2018,1,6,21,30,0,0,-19.5,0.66,4.5,70.81,-15.4,997
2018,1,6,22,0,0,0,-18.9,0.66,4.8,71.9,-15,996
2018,1,6,22,30,0,0,-18.9,0.66,5.1,69.57,-14.6,996
2018,1,6,23,0,0,0,-18.7,0.66,5.4,68.93,-14.2,995
2018,1,6,23,30,0,0,-18.7,0.66,5.5,67.81,-14,995
2018,1,7,0,0,0,0,-18.2,0.66,5.6,69.32,-13.8,994
2018,1,7,0,30,0,0,-18.2,0.66,5.7,68.76,-13.7,994
2018,1,7,1,0,0,0,-17.9,0.66,5.8,69.98,-13.6,993
2018,1,7,1,30,0,0,-17.9,0.66,6,68.85,-13.4,993
2018,1,7,2,0,0,0,-17.4,0.66,6.2,70.67,-13.2,992
2018,1,7,2,30,0,0,-17.4,0.66,6.2,69.53,-13,992
2018,1,7,3,0,0,0,-16.4,0.66,6.3,74.24,-12.8,991
2018,1,7,3,30,0,0,-16.4,0.66,6.4,72.98,-12.6,990
2018,1,7,4,0,0,0,-15.7,0.66,6.5,76.2,-12.4,990
2018,1,7,4,30,0,0,-15.7,0.66,6.5,75.51,-12.3,989
2018,1,7,5,0,0,0,-15.3,0.66,6.5,77.15,-12.1,989
2018,1,7,5,30,0,0,-15.3,0.66,6.4,75.85,-11.9,988
2018,1,7,6,0,0,0,-15,0.66,6.3,76.65,-11.7,988
2018,1,7,6,30,0,0,-15,0.66,6.2,76.04,-11.6,988
2018,1,7,7,0,0,0,-14.8,0.66,6.1,75.95,-11.4,987
2018,1,7,7,30,3,15,-14.8,0.66,6.2,73.57,-11,987
2018,1,7,8,0,9,0,-14.3,0.66,6.2,73.75,-10.5,987
2018,1,7,8,30,19,0,-14.3,0.66,6.5,68.15,-9.5,987
2018,1,7,9,0,31,0,-13.2,0.66,6.8,69.11,-8.6,987
2018,1,7,9,30,46,0,-13.3,0.66,6.9,63.39,-7.5,986
2018,1,7,10,0,70,0,-11.6,0.66,6.9,66.65,-6.4,986
2018,1,7,10,30,118,57,-11.6,0.66,7,62.23,-5.5,986
2018,1,7,11,0,113,25,-9.8,0.66,7,67.55,-4.7,985
2018,1,7,11,30,142,26,-9.8,0.66,7,65.06,-4.2,985
