#1	
"double Cosine(6247, 2)"	
0	0
0.5	0
1	0
1.5	0
2	0
2.5	0
3	0
3.5	0
4	0.819031
4.5	0.730909
5	0.645221
5.5	0.579253
6	0.552518
6.5	0.57622
7	0.641102
7.5	0.726318
8	0.815148
8.5	1
9	1
9.5	1
10	0
10.5	0
11	0
11.5	0
12	0
12.5	0
13	0
13.5	0
14	0
14.5	0
15	0
15.5	0
16	0.820364
16.5	0.732545
17	0.647265
17.5	0.580784
18	0.553712
18.5	0.576967
19	0.641482
19.5	0.726482
20	0.815159
20.5	1
21	1
21.5	1
22	0
22.5	0
23	0
23.5	0
24	0
24.5	0
25	0
25.5	0
26	0
26.5	0
27	0
27.5	0
28	0.821742
28.5	0.734153
29	0.648976
29.5	0.582404
30	0.555007
30.5	0.577819
31	0.64196
31.5	0.726815
32	0.815237
32.5	1
33	1
33.5	1
34	0
34.5	0
35	0
35.5	0
36	0
36.5	0
37	0
37.5	0
38	0
38.5	0
39	0
39.5	0
40	0.823165
40.5	0.73582
41	0.65076
41.5	0.584111
42	0.556402
42.5	0.578775
43	0.642536
43.5	0.727067
44	0.815384
44.5	1
45	1
45.5	1
46	0
46.5	0
47	0
47.5	0
48	0
48.5	0
49	0
49.5	0
50	0
50.5	0
51	0
51.5	0
52	0.824631
52.5	0.737544
53	0.652615
53.5	0.585903
54	0.557896
54.5	0.579834
55	0.643212
55.5	0.72749
56	0.815599
56.5	1
57	1
57.5	1
58	0
58.5	0
59	0
59.5	0
60	0
60.5	0
61	0
61.5	0
62	0
62.5	0
63	0
63.5	0
64	0.826139
64.5	0.739286
65	0.654315
65.5	0.58778
66	0.559487
66.5	0.580998
67	0.643986
67.5	0.728
68	0.815882
68.5	1
69	1
69.5	1
70	0
70.5	0
71	0
71.5	0
72	0
72.5	0
73	0
73.5	0
74	0
74.5	0
75	0
75.5	0
76	0.827686
76.5	0.74112
77	0.656309
77.5	0.589739
78	0.561176
78.5	0.582264
79	0.644858
79.5	0.728597
80	0.816234
80.5	1
81	1
81.5	1
82	0
82.5	0
83	0
83.5	0
84	0
84.5	0
85	0
85.5	0
86	0
86.5	0
87	0
87.5	0
88	0.829273
88.5	0.743007
89	0.65837
89.5	0.59178
90	0.562959
90.5	0.583633
91	0.64583
91.5	0.729281
92	0.816655
92.5	1
93	1
93.5	1
94	0
94.5	0
95	0
95.5	0
96	0
96.5	0
97	0
97.5	0
98	0
98.5	0
99	0
99.5	0
100	0.830896
100.5	0.744833
101	0.660218
101.5	0.593901
102	0.564838
102.5	0.585103
103	0.646899
103.5	0.730052
104	0.817144
104.5	1
105	1
105.5	1
106	0
106.5	0
107	0
107.5	0
108	0
108.5	0
109	0
109.5	0
110	0
110.5	0
111	0
111.5	0
112	0.832555
112.5	0.746976
113	0.662683
113.5	0.596101
114	0.566809
114.5	0.586674
115	0.648066
115.5	0.730909
116	0.817701
116.5	1
117	1
117.5	1
118	0
118.5	0
119	0
119.5	0
120	0
120.5	0
121	0
121.5	0
122	0
122.5	0
123	0
123.5	0
124	0.834249
124.5	0.748854
125	0.665145
125.5	0.597671
126	0.568872
126.5	0.587258
127	0.64933
127.5	0.731853
128	0.818326
128.5	1
129	1
129.5	0.7128
130	0
130.5	0
131	0
131.5	0
132	0
132.5	0
133	0
133.5	0
134	0
134.5	0
135	0
135.5	0
136	0
136.5	0
137	0.667452
137.5	0.600729
138	0.571026
138.5	0.590114
139	0.650691
139.5	0.732883
140	0.818668
140.5	1
141	1
141.5	1
142	0
142.5	0
143	0
143.5	0
144	0
144.5	0
145	0
145.5	0
146	0
146.5	0
147	0
147.5	0
148	0.837733
148.5	0.753241
149	0.669818
149.5	0.603155
150	0.573268
150.5	0.591982
151	0.652148
151.5	0.733998
152	0.81978
152.5	1
153	1
153.5	1
154	0
154.5	0
155	0
155.5	0
156	0
