Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,102574,-,-,-,35.93,-115.26,-8,1021,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Precipitable Water,Relative Humidity,Temperature,Pressure,
2004,1,1,0,0,0,0,0,0,0,0,4,-9,166.67000000000002,0.22,1.4000000000000001,0.757,49.77,0,890,N/A
2004,1,1,0,30,0,0,0,0,0,0,4,-9,163.74,0.22,1.4000000000000001,0.759,49.77,0,890,N/A
2004,1,1,1,0,0,0,0,0,0,0,0,-8,159.14000000000001,0.22,1.4000000000000001,0.762,51.45,0,890,N/A
2004,1,1,1,30,0,0,0,0,0,0,8,-8,153.75,0.22,1.4000000000000001,0.768,51.45,0,890,N/A
2004,1,1,2,0,0,0,0,0,0,0,1,-8,147.99,0.22,1.4000000000000001,0.774,53.64,0,890,N/A
2004,1,1,2,30,0,0,0,0,0,0,1,-8,142.03,0.22,1.3,0.785,53.63,0,890,N/A
2004,1,1,3,0,0,0,0,0,0,0,6,-8,135.99,0.22,1.3,0.797,54.63,0,890,N/A
2004,1,1,3,30,0,0,0,0,0,0,7,-8,129.92000000000002,0.22,1.3,0.812,54.63,0,890,N/A
2004,1,1,4,0,0,0,0,0,0,0,8,-7,123.86,0.22,1.3,0.8280000000000001,56.5,0,890,N/A
2004,1,1,4,30,0,0,0,0,0,0,7,-7,117.84,0.22,1.2000000000000002,0.848,56.52,0,890,N/A
2004,1,1,5,0,0,0,0,0,0,0,7,-6,111.89,0.22,1.2000000000000002,0.868,59.94,0,890,N/A
2004,1,1,5,30,0,0,0,0,0,0,7,-6,106.03,0.22,1.2000000000000002,0.886,59.95,0,900,N/A
2004,1,1,6,0,0,0,0,0,0,0,7,-6,100.29,0.22,1.2000000000000002,0.904,62.67,0,900,N/A
2004,1,1,6,30,0,0,0,0,0,0,7,-6,94.71000000000001,0.22,1.2000000000000002,0.933,62.68,0,900,N/A
2004,1,1,7,0,0,0,0,0,0,0,7,-5,89.31,0.22,1.2000000000000002,0.963,63.61,0,900,N/A
2004,1,1,7,30,32,0,32,31,435,75,7,-5,84.15,0.22,1.2000000000000002,1.002,59.230000000000004,1,900,N/A
2004,1,1,8,0,67,10,69,45,610,159,6,-3,79.27,0.22,1.3,1.044,63.18,2,900,N/A
2004,1,1,8,30,107,143,144,55,716,244,7,-3,74.73,0.22,1.8,1.089,63.190000000000005,3,900,N/A
2004,1,1,9,0,136,56,155,62,784,323,7,-2,70.60000000000001,0.22,2.3000000000000003,1.1340000000000001,62.33,4,900,N/A
2004,1,1,9,30,141,10,145,68,830,393,7,-2,66.96000000000001,0.22,2.6,1.181,58.11,4,900,N/A
2004,1,1,10,0,179,340,329,72,862,451,7,0,63.9,0.22,3,1.228,61.15,5,900,N/A
2004,1,1,10,30,191,384,375,74,883,496,7,0,61.51,0.22,3.7,1.26,57.050000000000004,6,900,N/A
2004,1,1,11,0,193,438,413,77,894,526,7,1,59.86,0.22,4.5,1.293,61.42,7,900,N/A
2004,1,1,11,30,225,318,389,78,900,541,7,1,59.03,0.22,5,1.306,61.4,7,890,N/A
2004,1,1,12,0,237,236,358,78,899,541,7,1,59.04,0.22,5.5,1.32,57.44,8,890,N/A
2004,1,1,12,30,225,76,263,77,892,525,6,1,59.9,0.22,5.6000000000000005,1.327,57.43,8,890,N/A
2004,1,1,13,0,219,173,301,75,877,493,6,0,61.57,0.22,5.7,1.334,49.85,9,890,N/A
2004,1,1,13,30,200,167,273,73,854,448,6,0,63.980000000000004,0.22,5.300000000000001,1.347,49.85,9,890,N/A
2004,1,1,14,0,171,141,227,70,814,388,7,0,67.06,0.22,4.9,1.361,48.26,9,890,N/A
2004,1,1,14,30,128,300,227,64,765,317,8,0,70.71000000000001,0.22,4.2,1.3760000000000001,51.6,8,890,N/A
2004,1,1,15,0,96,13,100,56,695,238,4,0,74.85000000000001,0.22,3.5,1.3920000000000001,55.72,8,890,N/A
2004,1,1,15,30,61,0,61,46,583,153,8,0,79.4,0.22,3.1,1.4020000000000001,59.660000000000004,7,890,N/A
