Time,DNI,DHI,GHI,Temp,Precip,RH,Wind
0.0,0.0,0,0.0,-2,0.313,43.78,4.0
30.0,0.0,0,0.0,-2,0.313,43.78,3.9
60.0,0.0,0,0.0,-3,0.313,42.94,3.8
90.0,0.0,0,0.0,-3,0.312,42.94,3.8
120.0,0.0,0,0.0,-3,0.312,41.73,3.9
150.0,0.0,0,0.0,-3,0.31,41.73,4.0
180.0,0.0,0,0.0,-3,0.309,40.1,4.1000000000000005
210.0,0.0,0,0.0,-3,0.307,40.1,4.1000000000000005
240.0,0.0,0,0.0,-3,0.306,38.52,4.1000000000000005
270.0,0.0,0,0.0,-3,0.304,38.53,3.9
300.0,0.0,0,0.0,-3,0.303,40.22,3.8
330.0,0.0,0,0.0,-3,0.301,40.22,3.6
360.0,0.0,0,0.0,-3,0.299,39.53,3.5
390.0,0.0,0,0.0,-2,0.297,36.71,4.0
420.0,53.392836565166675,0,1.4183060564845142,-2,0.296,34.04,4.5
450.0,-161.25978994910366,27,-33.903186500571344,-1,0.296,31.66,5.2
480.0,-94.68724491715818,38,-36.582133437791555,0,0.296,31.03,6.0
510.0,-67.61504793223355,46,-36.00789819356791,0,0.296,28.87,6.300000000000001
540.0,-56.116266482829246,52,-35.844816181606575,1,0.296,25.2,6.7
570.0,-52.38324973713691,56,-35.052185333078455,2,0.296,23.47,6.9
600.0,467.41035003039383,159,93.10455775586001,3,0.296,20.97,7.1000000000000005
630.0,282.6773113703507,122,62.11053462820854,4,0.297,20.96,7.300000000000001
660.0,403.28127587956055,164,90.92242767679704,5,0.298,18.83,7.5
690.0,507.72071787703464,197,116.87316937690468,5,0.3,18.82,7.4
720.0,316.6420109307628,142,74.63731710766365,6,0.302,17.19,7.300000000000001
750.0,285.03602963538583,129,65.2195809016672,6,0.308,17.18,7.0
780.0,305.2354805874629,128,65.95497636763162,6,0.315,16.26,6.800000000000001
810.0,721.7114571635951,196,166.5207586091828,6,0.325,16.26,6.4
840.0,348.5475632757675,118,57.972097942229425,6,0.336,16.990000000000002,6.0
870.0,417.2263432474506,112,60.84030257846763,5,0.348,18.19,5.2
900.0,87.68635553337401,51,-0.5787877086426079,5,0.361,21.63,4.5
930.0,579.5293893126101,70,55.75554586386187,3,0.374,24.85,4.0
960.0,371.52749641879876,35,11.829041505822012,2,0.388,29.26,3.5
990.0,46.02172891663129,0,1.0738386190443283,2,0.401,31.41,3.6
1020.0,0.0,0,0.0,2,0.415,32.02,3.8
1050.0,0.0,0,0.0,1,0.426,32.02,4.0
1080.0,0.0,0,0.0,1,0.437,32.22,4.2
1110.0,0.0,0,0.0,1,0.443,32.22,4.3
1140.0,0.0,0,0.0,1,0.449,32.31,4.4
1170.0,0.0,0,0.0,1,0.451,34.7,4.4
1200.0,0.0,0,0.0,1,0.453,34.7,4.4
1230.0,0.0,0,0.0,0,0.454,37.29,4.4
1260.0,0.0,0,0.0,0,0.456,37.19,4.4
1290.0,0.0,0,0.0,0,0.456,37.19,4.3
1320.0,0.0,0,0.0,0,0.457,36.71,4.3
1350.0,0.0,0,0.0,0,0.457,36.7,4.3
1380.0,0.0,0,0.0,0,0.458,36.35,4.3
1410.0,0.0,0,0.0,0,0.457,36.34,4.4
1440.0,0.0,0,0.0,0,0.457,36.31,4.5
1470.0,0.0,0,0.0,0,0.457,36.31,4.5
1500.0,0.0,0,0.0,0,0.457,37.06,4.6000000000000005
1530.0,0.0,0,0.0,0,0.457,37.06,4.4
1560.0,0.0,0,0.0,0,0.457,37.95,4.2
1590.0,0.0,0,0.0,0,0.455,37.95,4.0
1620.0,0.0,0,0.0,0,0.454,38.76,3.9
1650.0,0.0,0,0.0,0,0.451,38.75,3.5
1680.0,0.0,0,0.0,0,0.448,39.48,3.2
1710.0,0.0,0,0.0,0,0.444,39.48,3.0
1740.0,0.0,0,0.0,0,0.441,39.65,2.9000000000000004
