Hours since 00:00 Jan 1,,Hourly Data: Field collector cosine efficiency
0.5,0,0
1.5,0.5,0
2.5,1,0
3.5,1.5,0
4.5,2,0
5.5,2.5,0
6.5,3,0
7.5,3.5,0
8.5,4,0.819031
9.5,4.5,0.730909
10.5,5,0.645221
11.5,5.5,0.579253
12.5,6,0.552518
13.5,6.5,0.57622
14.5,7,0.641102
15.5,7.5,0.726318
16.5,8,0.815148
17.5,8.5,1
18.5,9,1
19.5,9.5,1
20.5,10,0
21.5,10.5,0
22.5,11,0
23.5,11.5,0
24.5,12,0
25.5,12.5,0
26.5,13,0
27.5,13.5,0
28.5,14,0
29.5,14.5,0
30.5,15,0
31.5,15.5,0
32.5,16,0.820364
33.5,16.5,0.732545
34.5,17,0.647265
35.5,17.5,0.580784
36.5,18,0.553712
37.5,18.5,0.576967
38.5,19,0.641482
39.5,19.5,0.726482
40.5,20,0.815159
41.5,20.5,1
42.5,21,1
43.5,21.5,1
44.5,22,0
45.5,22.5,0
46.5,23,0
47.5,23.5,0
48.5,24,0
49.5,24.5,0
50.5,25,0
51.5,25.5,0
52.5,26,0
53.5,26.5,0
54.5,27,0
55.5,27.5,0
56.5,28,0.821742
57.5,28.5,0.734153
58.5,29,0.648976
59.5,29.5,0.582404
60.5,30,0.555007
61.5,30.5,0.577819
62.5,31,0.64196
63.5,31.5,0.726815
64.5,32,0.815237
65.5,32.5,1
66.5,33,1
67.5,33.5,1
68.5,34,0
69.5,34.5,0
70.5,35,0
71.5,35.5,0
72.5,36,0
73.5,36.5,0
74.5,37,0
75.5,37.5,0
76.5,38,0
77.5,38.5,0
78.5,39,0
79.5,39.5,0
80.5,40,0.823165
81.5,40.5,0.73582
82.5,41,0.65076
83.5,41.5,0.584111
84.5,42,0.556402
85.5,42.5,0.578775
86.5,43,0.642536
87.5,43.5,0.727067
88.5,44,0.815384
89.5,44.5,1
90.5,45,1
91.5,45.5,1
92.5,46,0
93.5,46.5,0
94.5,47,0
95.5,47.5,0
96.5,48,0
97.5,48.5,0
98.5,49,0
99.5,49.5,0
100.5,50,0
101.5,50.5,0
102.5,51,0
103.5,51.5,0
104.5,52,0.824631
105.5,52.5,0.737544
106.5,53,0.652615
107.5,53.5,0.585903
108.5,54,0.557896
109.5,54.5,0.579834
110.5,55,0.643212
111.5,55.5,0.72749
112.5,56,0.815599
113.5,56.5,1
114.5,57,1
115.5,57.5,1
116.5,58,0
117.5,58.5,0
118.5,59,0
119.5,59.5,0
120.5,60,0
121.5,60.5,0
122.5,61,0
123.5,61.5,0
124.5,62,0
125.5,62.5,0
126.5,63,0
127.5,63.5,0
128.5,64,0.826139
129.5,64.5,0.739286
130.5,65,0.654315
131.5,65.5,0.58778
132.5,66,0.559487
133.5,66.5,0.580998
134.5,67,0.643986
135.5,67.5,0.728
136.5,68,0.815882
137.5,68.5,1
138.5,69,1
139.5,69.5,1
140.5,70,0
141.5,70.5,0
142.5,71,0
143.5,71.5,0
144.5,72,0
145.5,72.5,0
146.5,73,0
147.5,73.5,0
148.5,74,0
149.5,74.5,0
150.5,75,0
151.5,75.5,0
152.5,76,0.827686
153.5,76.5,0.74112
154.5,77,0.656309
155.5,77.5,0.589739
156.5,78,0.561176
157.5,78.5,0.582264
158.5,79,0.644858
159.5,79.5,0.728597
160.5,80,0.816234
161.5,80.5,1
162.5,81,1
163.5,81.5,1
164.5,82,0
165.5,82.5,0
166.5,83,0
167.5,83.5,0
168.5,84,0
169.5,84.5,0
170.5,85,0
171.5,85.5,0
172.5,86,0
173.5,86.5,0
174.5,87,0
175.5,87.5,0
176.5,88,0.829273
177.5,88.5,0.743007
178.5,89,0.65837
179.5,89.5,0.59178
180.5,90,0.562959
181.5,90.5,0.583633
182.5,91,0.64583
183.5,91.5,0.729281
184.5,92,0.816655
185.5,92.5,1
186.5,93,1
187.5,93.5,1
188.5,94,0
189.5,94.5,0
190.5,95,0
191.5,95.5,0
192.5,96,0
193.5,96.5,0
194.5,97,0
195.5,97.5,0
196.5,98,0
197.5,98.5,0
198.5,99,0
199.5,99.5,0
200.5,100,0.830896
201.5,100.5,0.744833
202.5,101,0.660218
203.5,101.5,0.593901
204.5,102,0.564838
205.5,102.5,0.585103
206.5,103,0.646899
207.5,103.5,0.730052
208.5,104,0.817144
209.5,104.5,1
210.5,105,1
211.5,105.5,1
212.5,106,0
213.5,106.5,0
214.5,107,0
215.5,107.5,0
216.5,108,0
217.5,108.5,0
218.5,109,0
219.5,109.5,0
220.5,110,0
221.5,110.5,0
222.5,111,0
223.5,111.5,0
224.5,112,0.832555
225.5,112.5,0.746976
226.5,113,0.662683
227.5,113.5,0.596101
228.5,114,0.566809
229.5,114.5,0.586674
230.5,115,0.648066
231.5,115.5,0.730909
232.5,116,0.817701
233.5,116.5,1
234.5,117,1
235.5,117.5,1
236.5,118,0
237.5,118.5,0
238.5,119,0
239.5,119.5,0
240.5,120,0
241.5,120.5,0
242.5,121,0
243.5,121.5,0
244.5,122,0
245.5,122.5,0
246.5,123,0
247.5,123.5,0
248.5,124,0.834249
249.5,124.5,0.748854
250.5,125,0.665145
251.5,125.5,0.597671
252.5,126,0.568872
253.5,126.5,0.587258
254.5,127,0.64933
255.5,127.5,0.731853
256.5,128,0.818326
257.5,128.5,1
258.5,129,1
259.5,129.5,0.7128
260.5,130,0
261.5,130.5,0
262.5,131,0
263.5,131.5,0
264.5,132,0
265.5,132.5,0
266.5,133,0
267.5,133.5,0
268.5,134,0
269.5,134.5,0
270.5,135,0
271.5,135.5,0
272.5,136,0
273.5,136.5,0
274.5,137,0.667452
275.5,137.5,0.600729
276.5,138,0.571026
277.5,138.5,0.590114
278.5,139,0.650691
279.5,139.5,0.732883
280.5,140,0.818668
281.5,140.5,1
282.5,141,1
283.5,141.5,1
284.5,142,0
285.5,142.5,0
286.5,143,0
287.5,143.5,0
288.5,144,0
289.5,144.5,0
290.5,145,0
291.5,145.5,0
292.5,146,0
293.5,146.5,0
294.5,147,0
295.5,147.5,0
296.5,148,0.837733
297.5,148.5,0.753241
298.5,149,0.669818
299.5,149.5,0.603155
300.5,150,0.573268
301.5,150.5,0.591982
302.5,151,0.652148
303.5,151.5,0.733998
304.5,152,0.81978
305.5,152.5,1
306.5,153,1
307.5,153.5,1
308.5,154,0
309.5,154.5,0
310.5,155,0
311.5,155.5,0
312.5,156,0
313.5,156.5,0
314.5,157,0
315.5,157.5,0
316.5,158,0
317.5,158.5,0
318.5,159,0
319.5,159.5,0
320.5,160,0.839521
321.5,160.5,0.755232
322.5,161,0.671755
323.5,161.5,0.604893
324.5,162,0.575599
325.5,162.5,0.593946
326.5,163,0.6537
327.5,163.5,0.735199
328.5,164,0.820608
329.5,164.5,1
330.5,165,0
331.5,165.5,0
332.5,166,0
333.5,166.5,0
334.5,167,0
335.5,167.5,0
336.5,168,0
337.5,168.5,0
338.5,169,0
339.5,169.5,0
340.5,170,0
341.5,170.5,0
342.5,171,0
343.5,171.5,0
344.5,172,0
345.5,172.5,0
346.5,173,0
347.5,173.5,0.608223
348.5,174,0
349.5,174.5,0.596006
350.5,175,0.655346
351.5,175.5,0
352.5,176,0
353.5,176.5,0
354.5,177,0
355.5,177.5,0
356.5,178,0
357.5,178.5,0
358.5,179,0
359.5,179.5,0
360.5,180,0
361.5,180.5,0
362.5,181,0
363.5,181.5,0
364.5,182,0
365.5,182.5,0
366.5,183,0
367.5,183.5,0
368.5,184,0.843181
369.5,184.5,0.759698
370.5,185,0.676789
371.5,185.5,0.610861
372.5,186,0.580517
373.5,186.5,0.59816
374.5,187,0.657086
375.5,187.5,0.737851
376.5,188,0.822462
377.5,188.5,1
378.5,189,1
379.5,189.5,1
380.5,190,0
381.5,190.5,0
382.5,191,0
383.5,191.5,0
384.5,192,0
385.5,192.5,0
386.5,193,0
387.5,193.5,0
388.5,194,0
389.5,194.5,0
390.5,195,0
391.5,195.5,0
392.5,196,0.845051
393.5,196.5,0.762141
394.5,197,0.679836
395.5,197.5,0.613567
396.5,198,0.583102
397.5,198.5,0.600408
398.5,199,0.658918
399.5,199.5,0.739302
400.5,200,0.823487
401.5,200.5,1
402.5,201,1
403.5,201.5,1
404.5,202,0
405.5,202.5,0
406.5,203,0
407.5,203.5,0
408.5,204,0
409.5,204.5,0
410.5,205,0
411.5,205.5,0
412.5,206,0
413.5,206.5,0
414.5,207,0
415.5,207.5,0
416.5,208,0.846944
417.5,208.5,0.764469
418.5,209,0.68247
419.5,209.5,0.616339
420.5,210,0.585768
421.5,210.5,0.602747
422.5,211,0.660841
423.5,211.5,0.740834
424.5,212,0.824577
425.5,212.5,1
426.5,213,1
427.5,213.5,1
428.5,214,0
429.5,214.5,0
430.5,215,0
431.5,215.5,0
432.5,216,0
433.5,216.5,0
434.5,217,0
435.5,217.5,0
436.5,218,0
437.5,218.5,0
438.5,219,0
439.5,219.5,0
440.5,220,0.84886
441.5,220.5,0.766833
442.5,221,0.685153
443.5,221.5,0.619175
444.5,222,0.588514
445.5,222.5,0.605176
446.5,223,0.662855
447.5,223.5,0.742448
448.5,224,0.82573
449.5,224.5,1
450.5,225,1
451.5,225.5,1
452.5,226,0
453.5,226.5,0
454.5,227,0
455.5,227.5,0
456.5,228,0
457.5,228.5,0
458.5,229,0
459.5,229.5,0
460.5,230,0
461.5,230.5,0
462.5,231,0
463.5,231.5,0
464.5,232,0.850797
465.5,232.5,0.769231
466.5,233,0.687883
467.5,233.5,0.622073
468.5,234,0.591338
469.5,234.5,0.607694
470.5,235,0.664958
471.5,235.5,0.744141
472.5,236,0.826947
473.5,236.5,1
474.5,237,1
475.5,237.5,1
476.5,238,0
477.5,238.5,0
478.5,239,0
479.5,239.5,0
480.5,240,0
481.5,240.5,0
482.5,241,0
483.5,241.5,0
484.5,242,0
485.5,242.5,0
486.5,243,0
487.5,243.5,0
488.5,244,0.852753
489.5,244.5,0.771511
490.5,245,0.690658
491.5,245.5,0.625032
492.5,246,0.594239
493.5,246.5,0.6103
494.5,247,0.667149
495.5,247.5,0.745955
496.5,248,0.828226
497.5,248.5,1
498.5,249,1
499.5,249.5,1
500.5,250,0
501.5,250.5,0
502.5,251,0
503.5,251.5,0
504.5,252,0
505.5,252.5,0
506.5,253,0
507.5,253.5,0
508.5,254,0
509.5,254.5,0
510.5,255,0
511.5,255.5,0
512.5,256,0.854726
513.5,256.5,0.773971
514.5,257,0.693139
515.5,257.5,0.628049
516.5,258,0.596203
517.5,258.5,0.612992
518.5,259,0.669426
519.5,259.5,0.747799
520.5,260,0.829567
521.5,260.5,1
522.5,261,1
523.5,261.5,0
524.5,262,0
525.5,262.5,0
526.5,263,0
527.5,263.5,0
528.5,264,0
529.5,264.5,0
530.5,265,0
531.5,265.5,0
532.5,266,0
533.5,266.5,0
534.5,267,0
535.5,267.5,0
536.5,268,0.856716
537.5,268.5,0.77646
538.5,269,0.695888
539.5,269.5,0.631122
540.5,270,0.600263
541.5,270.5,0.615768
542.5,271,0.671454
543.5,271.5,0.749692
544.5,272,0.830968
545.5,272.5,1
546.5,273,0
547.5,273.5,0
548.5,274,0
549.5,274.5,0
550.5,275,0
551.5,275.5,0
552.5,276,0
553.5,276.5,0
554.5,277,0
555.5,277.5,0
556.5,278,0
557.5,278.5,0
558.5,279,0
559.5,279.5,0
560.5,280,0.858719
561.5,280.5,0.779121
562.5,281,0.699233
563.5,281.5,0.634251
564.5,282,0.603383
565.5,282.5,0.618627
566.5,283,0.674237
567.5,283.5,0.751694
568.5,284,0.832429
569.5,284.5,1
570.5,285,1
571.5,285.5,1
572.5,286,0
573.5,286.5,0
574.5,287,0
575.5,287.5,0
576.5,288,0
577.5,288.5,0
578.5,289,0
579.5,289.5,0
580.5,290,0
581.5,290.5,0
582.5,291,0
583.5,291.5,0
584.5,292,0.860736
585.5,292.5,0.781677
586.5,293,0.702169
587.5,293.5,0.637432
588.5,294,0.606571
589.5,294.5,0.621568
590.5,295,0.676766
591.5,295.5,0.753771
592.5,296,0.833948
593.5,296.5,1
594.5,297,1
595.5,297.5,1
596.5,298,0
597.5,298.5,0
598.5,299,0
599.5,299.5,0
600.5,300,0
601.5,300.5,0
602.5,301,0
603.5,301.5,0
604.5,302,0
605.5,302.5,0
606.5,303,0
607.5,303.5,0
608.5,304,0.862765
609.5,304.5,0.784223
610.5,305,0.705141
611.5,305.5,0.640665
612.5,306,0.609828
613.5,306.5,0.624587
614.5,307,0.679377
615.5,307.5,0.75592
616.5,308,0.835607
617.5,308.5,0.907154
618.5,309,1
619.5,309.5,1
620.5,310,0
621.5,310.5,0
622.5,311,0
623.5,311.5,0
624.5,312,0
625.5,312.5,0
626.5,313,0
627.5,313.5,0
628.5,314,0
629.5,314.5,0
630.5,315,0
631.5,315.5,0
632.5,316,0.864803
633.5,316.5,0.786665
634.5,317,0.708148
635.5,317.5,0.643289
636.5,318,0.61315
637.5,318.5,0.627684
638.5,319,0.681393
639.5,319.5,0.75814
640.5,320,0.837586
641.5,320.5,0.908474
642.5,321,1
643.5,321.5,0
644.5,322,0
645.5,322.5,0
646.5,323,0
647.5,323.5,0
648.5,324,0
649.5,324.5,0
650.5,325,0
651.5,325.5,0
652.5,326,0
653.5,326.5,0
654.5,327,0
655.5,327.5,0
656.5,328,0.86685
657.5,328.5,0.789437
658.5,329,0.711187
659.5,329.5,0.647277
660.5,330,0.616535
661.5,330.5,0.630856
662.5,331,0.684834
663.5,331.5,0.760429
664.5,332,0.839184
665.5,332.5,0.909831
666.5,333,1
667.5,333.5,1
668.5,334,0
669.5,334.5,0
670.5,335,0
671.5,335.5,0
672.5,336,0
673.5,336.5,0
674.5,337,0
675.5,337.5,0
676.5,338,0
677.5,338.5,0
678.5,339,0
679.5,339.5,0
680.5,340,0.868905
681.5,340.5,0.792051
682.5,341,0.714258
683.5,341.5,0.650653
684.5,342,0.619982
685.5,342.5,0.634102
686.5,343,0.687676
687.5,343.5,0.762786
688.5,344,0.841054
689.5,344.5,0.911223
690.5,345,1
691.5,345.5,1
692.5,346,0
693.5,346.5,0
694.5,347,0
695.5,347.5,0
696.5,348,0
697.5,348.5,0
698.5,349,0
699.5,349.5,0
700.5,350,0
701.5,350.5,0
702.5,351,0
703.5,351.5,0
704.5,352,0.870966
705.5,352.5,0.794692
706.5,353,0.717358
707.5,353.5,0.654072
708.5,354,0.623489
709.5,354.5,0.637419
710.5,355,0.690592
711.5,355.5,0.765208
712.5,356,0.842977
713.5,356.5,0.912649
714.5,357,1
715.5,357.5,1
716.5,358,0
