Time,Clearsky_DNI
30,0
90,0
150,0
210,0
270,0
330,0
390,0
450,0
510,87
570,374
630,516
690,767
750,976
810,965
870,576
930,414
990,31
1050,0
1110,0
1170,0
1230,0
1290,0
1350,0
1410,0
1470,0
1530,0
1590,0
1650,0
1710,0
1770,0
1830,0
1890,0
1950,478
2010,765
2070,716
2130,826
2190,83
2250,430
2310,512
2370,808
2430,631
2490,0
2550,0
2610,0
2670,0
2730,0
2790,0
2850,0
2910,0
2970,0
3030,0
3090,0
3150,0
3210,0
3270,0
3330,0
3390,629
3450,812
3510,402
3570,543
3630,921
3690,332
3750,391
3810,343
3870,47
3930,0
3990,0
4050,0
4110,0
4170,0
4230,0
4290,0
4350,0
4410,0
4470,0
4530,0
4590,0
4650,0
4710,0
4770,0
4830,107
4890,485
4950,17
5010,374
5070,916
5130,904
5190,6
5250,769
5310,344
5370,0
5430,0
5490,0
5550,0
5610,0
5670,0
5730,0
5790,0
5850,0
5910,0
5970,0
6030,0
6090,0
6150,0
6210,0
6270,182
6330,57
6390,451
6450,346
6510,318
6570,271
6630,269
6690,177
6750,329
6810,0
6870,0
6930,0
6990,0
7050,0
7110,0
7170,0
7230,0
7290,0
7350,0
7410,0
7470,0
7530,0
7590,0
7650,0
7710,146
7770,97
7830,362
7890,8
7950,8
8010,442
8070,5
8130,173
8190,18
8250,0
8310,0
8370,0
8430,0
8490,0
8550,0
8610,0
8670,0
8730,0
8790,0
8850,0
8910,0
8970,0
9030,0
9090,0
9150,110
9210,630
9270,386
9330,0
9390,202
9450,118
9510,235
9570,405
9630,24
9690,0
9750,0
9810,0
9870,0
9930,0
9990,0
10050,0
10110,0
10170,0
10230,0
10290,0
10350,0
10410,0
10470,0
10530,0
10590,640
10650,838
10710,928
10770,957
10830,970
10890,958
10950,646
11010,551
11070,363
11130,0
11190,0
11250,0
11310,0
11370,0
11430,0
11490,0
11550,0
11610,0
11670,0
11730,0
11790,0
11850,0
11910,0
11970,0
12030,317
12090,611
12150,642
12210,416
12270,968
12330,960
12390,921
12450,841
12510,657
12570,0
12630,0
12690,0
12750,0
12810,0
12870,0
12930,0
12990,0
13050,0
13110,0
13170,0
13230,0
13290,0
13350,0
13410,0
13470,682
13530,863
13590,940
13650,942
13710,622
13770,474
13830,406
13890,818
13950,647
14010,0
14070,0
14130,0
14190,0
14250,0
14310,0
14370,0
14430,0
14490,0
14550,0
14610,0
14670,0
14730,0
14790,0
14850,0
14910,641
14970,821
15030,905
15090,947
15150,964
15210,957
15270,912
15330,835
15390,666
15450,0
15510,0
15570,0
15630,0
15690,0
15750,0
15810,0
15870,0
15930,0
15990,0
16050,0
16110,0
16170,0
16230,0
16290,0
16350,688
16410,866
16470,944
16530,976
16590,986
16650,973
16710,934
16770,854
16830,672
16890,0
16950,0
17010,0
17070,0
17130,0
17190,0
17250,0
17310,0
17370,0
17430,0
17490,0
17550,0
17610,0
17670,0
17730,0
17790,666
17850,848
17910,929
17970,964
18030,974
18090,964
18150,920
18210,838
18270,656
18330,128
18390,0
18450,0
18510,0
18570,0
18630,0
18690,0
18750,0
18810,0
18870,0
18930,0
18990,0
19050,0
19110,0
19170,0
19230,635
19290,821
19350,905
19410,933
19470,952
19530,945
19590,920
19650,846
19710,680
19770,177
19830,0
19890,0
19950,0
20010,0
20070,0
20130,0
20190,0
20250,0
20310,0
20370,0
20430,0
20490,0
20550,0
20610,0
20670,206
20730,875
20790,945
20850,970
20910,980
20970,971
21030,928
21090,845
21150,408
21210,0
21270,0
21330,0
21390,0
21450,0
21510,0
21570,0
21630,0
21690,0
21750,0
21810,0
21870,0
21930,0
21990,0
22050,0
22110,636
22170,822
22230,904
22290,713
22350,572
22410,623
22470,664
22530,58
22590,299
22650,0
22710,0
22770,0
22830,0
22890,0
22950,0
23010,0
23070,0
23130,0
23190,0
23250,0
23310,0
23370,0
23430,0
23490,0
23550,578
23610,778
23670,868
23730,900
23790,919
23850,912
23910,903
23970,829
24030,664
24090,178
24150,0
24210,0
24270,0
24330,0
24390,0
24450,0
24510,0
24570,0
24630,0
24690,0
24750,0
24810,0
24870,0
24930,0
24990,660
25050,841
25110,922
25170,958
25230,971
25290,961
25350,924
25410,851
25470,691
25530,221
25590,0
25650,0
25710,0
25770,0
25830,0
25890,0
25950,0
26010,0
26070,0
26130,0
26190,0
26250,0
26310,0
26370,0
26430,718
26490,892
26550,970
26610,1005
26670,1018
26730,1010
26790,968
26850,900
26910,749
26970,287
27030,0
27090,0
27150,0
27210,0
27270,0
27330,0
27390,0
27450,0
27510,0
27570,0
27630,0
27690,0
27750,0
27810,0
27870,716
27930,888
27990,962
28050,995
28110,1005
28170,992
28230,541
28290,859
28350,367
28410,0
28470,0
28530,0
28590,0
28650,0
28710,0
28770,0
28830,0
28890,0
28950,0
29010,0
29070,0
29130,0
29190,0
29250,0
29310,188
29370,876
29430,959
29490,985
29550,999
29610,990
29670,953
29730,879
29790,723
29850,273
29910,0
29970,0
30030,0
30090,0
30150,0
30210,0
30270,0
30330,0
30390,0
30450,0
30510,0
30570,0
30630,0
30690,0
30750,653
30810,844
30870,929
30930,964
30990,977
31050,965
31110,926
31170,853
31230,257
31290,0
31350,0
31410,0
31470,0
31530,0
31590,0
31650,0
31710,0
31770,0
31830,0
31890,0
31950,0
32010,0
32070,0
32130,0
32190,0
32250,465
32310,443
32370,420
32430,968
32490,291
32550,0
32610,29
32670,24
32730,0
32790,0
32850,0
32910,0
32970,0
33030,0
33090,0
33150,0
33210,0
33270,0
33330,0
33390,0
33450,0
33510,0
33570,0
33630,643
33690,787
33750,382
33810,16
33870,364
33930,17
33990,920
34050,0
34110,310
34170,243
34230,0
34290,0
34350,0
34410,0
34470,0
34530,0
34590,0
34650,0
34710,0
34770,0
34830,0
34890,0
34950,0
35010,0
35070,652
35130,842
35190,930
35250,969
35310,985
35370,981
35430,950
35490,774
35550,744
35610,349
35670,0
35730,0
35790,0
35850,0
35910,0
35970,0
36030,0
36090,0
36150,0
36210,0
36270,0
36330,0
36390,0
36450,0
36510,11
36570,288
36630,541
36690,582
36750,603
36810,383
36870,548
36930,488
36990,356
37050,223
37110,0
37170,0
37230,0
37290,0
37350,0
37410,0
37470,0
37530,0
37590,0
37650,0
37710,0
37770,0
37830,0
37890,0
37950,0
38010,0
38070,0
38130,0
38190,0
38250,0
38310,817
38370,0
38430,0
38490,0
38550,0
38610,0
38670,0
38730,0
38790,0
38850,0
38910,0
38970,0
39030,0
39090,0
39150,0
39210,0
39270,0
39330,0
39390,685
39450,856
39510,941
39570,981
39630,994
39690,986
39750,937
39810,872
39870,733
39930,344
39990,0
40050,0
40110,0
40170,0
40230,0
40290,0
40350,0
40410,0
40470,0
40530,0
40590,0
40650,0
40710,0
40770,104
40830,649
40890,847
40950,936
41010,975
41070,992
41130,986
41190,945
41250,878
41310,733
41370,339
41430,0
41490,0
41550,0
41610,0
41670,0
41730,0
41790,0
41850,0
41910,0
41970,0
42030,0
42090,0
42150,0
42210,158
42270,621
42330,597
42390,915
42450,940
42510,954
42570,214
42630,911
42690,838
42750,678
42810,267
42870,0
42930,0
42990,0
43050,0
43110,0
43170,0
43230,0
43290,0
43350,0
43410,0
43470,0
43530,0
43590,0
43650,0
43710,773
43770,928
43830,998
43890,1017
43950,1030
44010,1023
44070,984
44130,922
44190,791
44250,311
44310,0
44370,0
44430,0
44490,0
44550,0
44610,0
44670,0
44730,0
44790,0
44850,0
44910,0
44970,0
45030,0
45090,0
45150,744
45210,905
45270,976
45330,1006
45390,1019
45450,1014
45510,986
45570,927
45630,800
45690,460
45750,0
45810,0
45870,0
45930,0
45990,0
46050,0
46110,0
46170,0
46230,0
46290,0
46350,0
46410,0
46470,0
46530,0
46590,754
46650,904
46710,969
46770,998
46830,1008
46890,1002
46950,968
47010,911
47070,788
47130,454
47190,0
47250,0
47310,0
47370,0
47430,0
47490,0
47550,0
47610,0
47670,0
47730,0
47790,0
47850,0
47910,0
47970,0
48030,11
48090,169
48150,0
48210,0
48270,0
48330,0
48390,0
48450,0
48510,0
48570,381
48630,0
48690,0
48750,0
48810,0
48870,0
48930,0
48990,0
49050,0
49110,0
49170,0
49230,0
49290,0
49350,0
49410,0
49470,632
49530,815
49590,905
49650,952
49710,103
49770,571
49830,429
49890,434
49950,650
50010,407
50070,0
50130,0
50190,0
50250,0
50310,0
50370,0
50430,0
50490,0
50550,0
50610,0
50670,0
50730,0
50790,0
50850,187
50910,678
50970,847
51030,924
51090,941
51150,952
51210,948
51270,22
51330,0
51390,0
51450,416
51510,0
51570,0
51630,0
51690,0
51750,0
51810,0
51870,0
51930,0
51990,0
52050,0
52110,0
52170,0
52230,0
52290,276
52350,756
52410,908
52470,980
52530,1011
52590,1024
52650,1018
52710,988
52770,928
52830,804
52890,493
52950,0
53010,0
53070,0
53130,0
53190,0
53250,0
53310,0
53370,0
53430,0
53490,0
53550,0
53610,0
53670,0
53730,316
53790,175
53850,901
53910,971
53970,996
54030,1008
54090,1002
54150,976
54210,914
54270,788
54330,477
54390,0
54450,0
54510,0
