scaling,PointProbability,ProbabilityWeight,prefix,filename
9.0,1.0,1.0,1,synData_0.csv
9.0,1.0,1.0,2,synData_1.csv
9.0,1.0,1.0,3,synData_2.csv
9.0,1.0,1.0,4,synData_3.csv
9.0,1.0,1.0,5,synData_4.csv
9.0,1.0,1.0,6,synData_5.csv
9.0,1.0,1.0,7,synData_6.csv
9.0,1.0,1.0,8,synData_7.csv
9.0,1.0,1.0,9,synData_8.csv
9.0,1.0,1.0,10,synData_9.csv
9.0,1.0,1.0,11,synData_10.csv
9.0,1.0,1.0,12,synData_11.csv
9.0,1.0,1.0,13,synData_12.csv
9.0,1.0,1.0,14,synData_13.csv
9.0,1.0,1.0,15,synData_14.csv
9.0,1.0,1.0,16,synData_15.csv
9.0,1.0,1.0,17,synData_16.csv
9.0,1.0,1.0,18,synData_17.csv
9.0,1.0,1.0,19,synData_18.csv
9.0,1.0,1.0,20,synData_19.csv
9.0,1.0,1.0,21,synData_20.csv
9.0,1.0,1.0,22,synData_21.csv
9.0,1.0,1.0,23,synData_22.csv
9.0,1.0,1.0,24,synData_23.csv
9.0,1.0,1.0,25,synData_24.csv
9.0,1.0,1.0,26,synData_25.csv
9.0,1.0,1.0,27,synData_26.csv
9.0,1.0,1.0,28,synData_27.csv
9.0,1.0,1.0,29,synData_28.csv
9.0,1.0,1.0,30,synData_29.csv
9.0,1.0,1.0,31,synData_30.csv
9.0,1.0,1.0,32,synData_31.csv
9.0,1.0,1.0,33,synData_32.csv
9.0,1.0,1.0,34,synData_33.csv
9.0,1.0,1.0,35,synData_34.csv
9.0,1.0,1.0,36,synData_35.csv
9.0,1.0,1.0,37,synData_36.csv
9.0,1.0,1.0,38,synData_37.csv
9.0,1.0,1.0,39,synData_38.csv
9.0,1.0,1.0,40,synData_39.csv
9.0,1.0,1.0,41,synData_40.csv
9.0,1.0,1.0,42,synData_41.csv
9.0,1.0,1.0,43,synData_42.csv
9.0,1.0,1.0,44,synData_43.csv
9.0,1.0,1.0,45,synData_44.csv
9.0,1.0,1.0,46,synData_45.csv
9.0,1.0,1.0,47,synData_46.csv
9.0,1.0,1.0,48,synData_47.csv
9.0,1.0,1.0,49,synData_48.csv
9.0,1.0,1.0,50,synData_49.csv
9.0,1.0,1.0,51,synData_50.csv
9.0,1.0,1.0,52,synData_51.csv
9.0,1.0,1.0,53,synData_52.csv
9.0,1.0,1.0,54,synData_53.csv
9.0,1.0,1.0,55,synData_54.csv
9.0,1.0,1.0,56,synData_55.csv
9.0,1.0,1.0,57,synData_56.csv
9.0,1.0,1.0,58,synData_57.csv
9.0,1.0,1.0,59,synData_58.csv
9.0,1.0,1.0,60,synData_59.csv
9.0,1.0,1.0,61,synData_60.csv
9.0,1.0,1.0,62,synData_61.csv
9.0,1.0,1.0,63,synData_62.csv
9.0,1.0,1.0,64,synData_63.csv
9.0,1.0,1.0,65,synData_64.csv
9.0,1.0,1.0,66,synData_65.csv
9.0,1.0,1.0,67,synData_66.csv
9.0,1.0,1.0,68,synData_67.csv
9.0,1.0,1.0,69,synData_68.csv
9.0,1.0,1.0,70,synData_69.csv
9.0,1.0,1.0,71,synData_70.csv
9.0,1.0,1.0,72,synData_71.csv
9.0,1.0,1.0,73,synData_72.csv
9.0,1.0,1.0,74,synData_73.csv
9.0,1.0,1.0,75,synData_74.csv
9.0,1.0,1.0,76,synData_75.csv
9.0,1.0,1.0,77,synData_76.csv
9.0,1.0,1.0,78,synData_77.csv
9.0,1.0,1.0,79,synData_78.csv
9.0,1.0,1.0,80,synData_79.csv
9.0,1.0,1.0,81,synData_80.csv
9.0,1.0,1.0,82,synData_81.csv
9.0,1.0,1.0,83,synData_82.csv
9.0,1.0,1.0,84,synData_83.csv
9.0,1.0,1.0,85,synData_84.csv
9.0,1.0,1.0,86,synData_85.csv
9.0,1.0,1.0,87,synData_86.csv
9.0,1.0,1.0,88,synData_87.csv
9.0,1.0,1.0,89,synData_88.csv
9.0,1.0,1.0,90,synData_89.csv
9.0,1.0,1.0,91,synData_90.csv
9.0,1.0,1.0,92,synData_91.csv
9.0,1.0,1.0,93,synData_92.csv
9.0,1.0,1.0,94,synData_93.csv
9.0,1.0,1.0,95,synData_94.csv
9.0,1.0,1.0,96,synData_95.csv
9.0,1.0,1.0,97,synData_96.csv
9.0,1.0,1.0,98,synData_97.csv
9.0,1.0,1.0,99,synData_98.csv
9.0,1.0,1.0,100,synData_99.csv
