Normalised hour angle,RAVEN_sample_ID,Clearsky DNI_original,Clearsky DNI_fourier,Clearsky DNI_nofourier,Clearsky DNI_gaussianed
-3535.397492,0,0.0,62.2635780361,-62.2635780361,-0.939682712365
-2820.738989,0,662.0,634.364514008,27.6354859917,0.289015277908
-2106.080485,0,833.0,835.300320912,-2.30032091194,-0.203836567865
-1391.421982,0,909.0,898.451215399,10.5487846013,-0.00875545072814
-676.7634780000001,0,944.0,942.101218331,1.89878166893,-0.140984064012
37.8950256,0,952.0,949.783718966,2.2162810338,-0.136210065589
752.5535292000001,0,939.0,936.306862738,2.69313726185,-0.129007628228
1467.212033,0,901.0,888.698156467,12.3018435332,0.0210716284839
2181.870536,0,820.0,824.892258244,-4.89225824355,-0.243022757451
2896.52904,0,638.0,597.463965988,40.5360340125,0.564230478073
-3537.6248990000004,0,0.0,59.7651419825,-59.7651419825,-0.91241655866
-2823.59115,0,666.0,633.037617552,32.9623824484,0.396066852099
-2109.557405,0,835.0,835.005807042,-0.00580704232198,-0.169408222776
-1395.523656,0,908.0,898.061486296,9.9385137044,-0.0191392606743
-681.4899072000001,0,939.0,941.704084756,-2.70408475611,-0.209918808374
32.5438416,0,945.0,949.741761148,-4.74176114832,-0.240737818446
746.5775904,0,930.0,936.836792402,-6.83679240221,-0.270092880537
1460.611339,0,885.0,889.428438137,-4.42843813707,-0.235984771427
2174.6450839999998,0,794.0,825.709949892,-31.7099498922,-0.608831189884
2888.678833,0,592.0,601.436783537,-9.43678353689,-0.305338390922
-3539.53174,0,0.0,57.6240153383,-57.6240153383,-0.889578523773
-2826.1752699999997,0,631.0,631.831086921,-0.83108692134,-0.18176601071
-2112.8188,0,820.0,834.725206236,-14.7252062357,-0.375811464855
-1399.46233,0,902.0,897.683217928,4.31678207234,-0.104531928622
-686.1058596,0,938.0,941.314819323,-3.31481932303,-0.219133681994
27.2506104,0,951.0,949.706841339,1.2931586613,-0.150008968656
740.6070804,0,943.0,937.367189565,5.63281043548,-0.0847399329486
1453.96355,0,907.0,890.155632272,16.8443677282,0.098512739565
2167.32002,0,828.0,826.511476464,1.48852353615,-0.147096370377
2880.67649,0,643.0,605.440772317,37.5592276826,0.497890118841
3594.03296,0,0.0,5.07450468733,-5.07450468733,-0.245791435252
-3541.1165530000003,0,0.0,55.8428996383,-55.8428996383,-0.871263328411
-2828.48899,0,648.0,630.747281231,17.2527187689,0.105374484767
-2115.861422,0,838.0,834.45956309,3.54043691004,-0.116226261989
-1403.233859,0,927.0,897.317352129,29.6826478706,0.328959365291
-690.6062952000001,0,966.0,940.934132324,25.0658676765,0.239513935381
22.021272,0,978.0,949.678824291,28.3211757088,0.302339970245
734.6488356000001,0,967.0,937.897059278,29.1029407221,0.317597567664
1447.276399,0,929.0,890.878331283,38.1216687171,0.51068848878
2159.9039629999997,0,849.0,827.295596398,21.7044036019,0.180547544335
2872.53153,0,667.0,609.469791933,57.5302080666,0.963196840552
3585.1590939999996,0,0.0,15.1877180329,-15.1877180329,-0.381672902264
-3542.3782450000003,0,0.0,54.4239033576,-54.4239033576,-0.856924548941
-2830.530272,0,622.0,629.788306008,-7.78830600758,-0.282950411168
-2118.682296,0,807.0,834.209888107,-27.2098881073,-0.548019899425
-1406.834323,0,902.0,896.964793443,5.03520655689,-0.0937228292367
-694.9863468,0,940.0,940.562694141,-0.562694140702,-0.177744126881
16.861626,0,957.0,949.657533636,7.34246636387,-0.0590764293593
728.7095988,0,947.0,938.425410986,8.57458901409,-0.0406062089364
1440.557575,0,910.0,891.595177102,18.4048228981,0.124755346809
2152.405548,0,829.0,828.061271019,0.938728981191,-0.155296253308
2864.2535239999997,0,648.0,613.517959754,34.4820402465,0.429225029827
3576.1014969999997,0,0.0,25.465968035,-25.465968035,-0.522151806116
-3543.31611,0,0.0,53.3685204131,-53.3685204131,-0.846373297184
-2832.297422,0,730.0,628.955991835,101.044008165,1.91895822287
-2121.278731,0,896.0,833.977147349,62.0228526505,1.07597168268
-1410.2600439999999,0,968.0,896.626404554,71.3735954457,1.31765344965
-699.2413524,0,998.0,940.201131861,57.7988681389,0.969710562752
11.7773388,0,1004.0,949.642754618,54.357245382,0.889142702094
722.7960264,0,990.0,938.951263077,51.0487369228,0.806701697535
1433.8147179999999,0,950.0,892.304868057,57.6951319429,0.967190592664
2144.833405,0,867.0,828.807664886,38.1923351138,0.512302393625
2855.852096,0,683.0,617.579646249,65.4203537512,1.16045449262
3566.870784,0,0.0,35.8941509598,-35.8941509598,-0.664422908689
-3543.929845,0,0.0,52.6776113448,-52.6776113448,-0.839516652376
-2833.789093,0,691.0,628.25188344,62.7481165595,1.09335318261
