Variable, Original, Synthetic , Real, MWU Stat, MWU P-Value
DHI,Mean,52.66889269406393,54.818393896136904,53.15617431010522,661.0,0.0008971975682341031
DHI,Standard Deviation,74.94739835706828,99.63744679697058,77.02384663817566,0.0,4.7015667053421675e-14
DHI,Skewness,2.05936419913203,2.53240582261845,2.1489227809848277,16.0,1.0342305118798985e-13
DHI,Kurtosis,5.629385677930399,6.726149274867163,5.9567335408984405,369.0,2.4060531781183284e-07
DNI,Mean,321.2799657534247,322.64540877964953,319.27219078816756,805.0,0.014638963774103293
DNI,Standard Deviation,391.63617480609014,377.94487169966726,391.23608026534424,47.0,4.619993897458268e-13
DNI,Skewness,0.5848575537560411,0.5700623037823772,0.6102513358697784,426.0,1.5768201538367828e-06
DNI,Kurtosis,-1.4465964592199783,-1.3959544771223362,-1.402305087488718,1054.0,0.2912144626433378
GHI,Mean,240.52374429223744,236.93226993453646,239.11076781814572,577.0,0.00012026033913204302
GHI,Standard Deviation,325.5586297091018,315.67316822751695,323.2959664098271,6.0,6.326771525582824e-14
GHI,Skewness,1.0593760045055352,1.0143654600274856,1.0625122634292363,25.0,1.6037795420488017e-13
GHI,Kurtosis,-0.30837003888070935,-0.38750063632170306,-0.28637087829258334,91.0,3.606600802993724e-12
Dew Point,Mean,-1.1942351598173515,-1.918707171971134,-1.3218525411951558,615.0,0.00030920324012695074
Dew Point,Standard Deviation,5.41542141221992,5.261230828209702,6.874864199361894,54.0,6.44153246876051e-13
Dew Point,Skewness,0.4135444345949514,-0.1959510371112185,0.2687137636075891,156.0,6.469163316146243e-11
Dew Point,Kurtosis,0.9507288777745986,1.2423534077245977,0.30135184495814427,125.0,1.669226055727224e-11
Wind Speed,Mean,2.650679223744292,2.552790787889704,2.589442624578122,762.0,0.006923853500006457
Wind Speed,Standard Deviation,1.7592720279209833,1.7450162130082036,1.7763650405565543,751.0,0.00565150671827904
Wind Speed,Skewness,1.203696724004625,1.359035896613776,1.323924949155145,916.0,0.07309148271891781
Wind Speed,Kurtosis,1.1128384565802403,1.9074747567793855,1.5537754669189265,650.0,0.0007008398478190135
Precipitable Water,Mean,1.107757705479452,1.1684042454778092,1.1503524022235458,970.0,0.13573566191139946
Precipitable Water,Standard Deviation,0.6330027712329489,0.8282566903235309,0.7474958772453609,489.0,1.0776154291013617e-05
Precipitable Water,Skewness,1.8338523155902982,1.5252636225476741,1.654486756157927,835.0,0.023664036993123305
Precipitable Water,Kurtosis,4.263193865655768,1.795833226883203,2.853500872098274,496.0,1.320787073840861e-05
Relative Humidity,Mean,35.4349046803653,34.23517360697874,34.18683502084574,1081.0,0.35453481110610946
Relative Humidity,Standard Deviation,22.54365908455011,23.79026597436801,21.461330531458554,331.0,6.375324951732654e-08
Relative Humidity,Skewness,0.8832619142251645,0.7907620367738246,0.9954801011935662,422.0,1.3880504214831551e-06
Relative Humidity,Kurtosis,0.07344659884093518,-0.14743661218626247,0.4870517871953286,387.0,4.4204482041524336e-07
Temperature,Mean,16.773173515981735,16.559497909135832,17.02654283303554,895.0,0.0558487544694619
Temperature,Standard Deviation,10.824090944612509,12.403416002711593,10.77104874395013,246.0,2.6292199510427027e-09
Temperature,Skewness,0.15212044910438438,0.005924974303721384,0.1800032789401776,360.0,1.7662265300596803e-07
Temperature,Kurtosis,-1.0055828652931356,-0.5945975590074761,-0.9292721929326073,178.0,1.6510329358865175e-10
