Time,DNI,Temp,RH
0,0,0,49.77
30,0,0,49.77
60,0,0,51.45
90,0,0,51.45
120,0,0,53.64
150,0,0,53.63
180,0,0,54.63
210,0,0,54.63
240,0,0,56.5
270,0,0,56.52
300,0,0,59.94
330,0,0,59.95
360,0,0,62.67
390,0,0,62.68
420,53.39205825,0,63.61
450,415.7266745,1,59.23
480,635.297327,2,63.18
510,625.3699788,3,63.19
540,784.8692563,4,62.33
570,876.6024754,4,58.11
600,576.3959421,5,61.15
630,551.6624227,6,57.05
660,509.2655249,7,61.42
690,634.7036501,7,61.4
720,716.6230418,8,57.44
750,871.0143539,8,57.43
780,762.2099174,9,49.85
810,748.6801621,9,49.85
840,744.5074478,9,48.26
870,539.1717922,8,51.6
900,752.6060848,8,55.72
930,640.3981001,7,59.66
960,406.2910027,6,59.96
990,45.85176964,5,64.23
1020,0,5,65.74
1050,0,5,65.74
1080,0,5,68.52
1110,0,4,73.43
1140,0,4,76.26
1170,0,4,81.78
1200,0,4,83.63
1230,0,3,83.62
1260,0,3,83.49
1290,0,3,89.56
1320,0,3,88.65
1350,0,2,88.64
1380,0,2,87.85
1410,0,2,87.85
1440,0,2,87.73
1470,0,2,94.18
1500,0,2,94.36
1530,0,2,94.34
1560,0,2,95.58
1590,0,1,95.56
1620,0,1,96.25
1650,0,1,96.24
1680,0,1,95.08
1710,0,1,95.08
1740,0,2,93.33
1770,0,2,93.33
1800,0,2,92.82
1830,0,2,86.47
1860,51.97328026,3,81.66
1890,112.4192538,4,76.17
1920,224.884986,5,73
1950,94.33619783,6,73.01
1980,394.0161899,7,68.22
2010,614.8536701,7,68.2
2040,422.7204172,8,64.82
2070,647.0492373,8,64.77
2100,898.7146453,9,63.34
2130,934.2228982,9,63.3
2160,952.2279945,9,61.84
2190,947.7304997,9,61.82
2220,936.077709,9,64.05
2250,916.765246,9,64.03
2280,886.9218496,9,66.2
2310,841.121157,8,70.77
2340,768.5058523,8,73.71
2370,645.1835421,7,78.87
2400,414.9915425,6,86.73
2430,52.4457574,6,92.9
2460,0,6,94.09
2490,0,5,94.08
2520,0,5,95.33
2550,0,5,95.32
2580,0,5,95.93
2610,0,5,100
2640,0,5,100
2670,0,4,100
2700,0,4,97.56
2730,0,3,100
2760,0,3,96.78
2790,0,2,100
2820,0,2,100
2850,0,1,100
2880,0,1,99.94
2910,0,0,99.93
2940,0,0,94.5
2970,0,0,94.48
3000,0,0,91.37
3030,0,0,98.18
3060,0,0,97.15
3090,0,0,97.15
3120,0,0,98.51
3150,0,0,98.52
3180,0,0,99.31
3210,0,0,99.33
3240,0,0,98.5
3270,0,0,98.53
3300,50.85391416,0,90.92
3330,413.4800919,1,90.98
3360,644.6816129,2,81.6
3390,768.4323646,3,76.03
3420,757.2524356,4,54.58
3450,-26.82883958,5,54.58
3480,-18.90280811,6,37.63
3510,-22.52051279,6,37.62
3540,-27.79845001,7,29.78
3570,-29.22350822,7,29.78
3600,-30.1344562,7,25.03
3630,569.4789458,7,25.03
3660,583.9789271,7,23.3
3690,556.8864642,7,24.95
3720,-23.62295045,7,23.42
3750,-25.88142816,6,25.09
3780,-35.53564665,5,24.52
3810,-57.9571348,3,28.19
3840,-122.1901759,1,38
3870,59.72460008,0,40.84
3900,0,0,42.24
3930,0,0,42.26
3960,0,-1,40.12
3990,0,-1,40.13
4020,0,-2,41.72
4050,0,-2,41.74
4080,0,-2,44.24
4110,0,-2,44.26
4140,0,-3,44.38
4170,0,-3,44.39
4200,0,-3,44.61
4230,0,-3,44.61
4260,0,-3,47.92
4290,0,-3,47.93
4320,0,-4,47.68
4350,0,-4,47.69
4380,0,-4,47.72
4410,0,-4,47.72
4440,0,-4,48.25
4470,0,-4,48.25
4500,0,-4,52.68
4530,0,-4,52.69
4560,0,-4,53.32
4590,0,-4,53.33
4620,0,-4,53.71
4650,0,-4,53.72
4680,0,-5,53.71
4710,0,-4,49.86
4740,50.02604583,-3,49.86
4770,-171.0867867,-1,46.36
4800,-101.3114999,0,38.09
4830,-72.34138026,0,35.45
