Time,DNI,DHI,GHI,Temp,Precip,RH,Wind
0.0,0.0,0,0.0,-3.8,0.3,47.98,3.1
30.0,0.0,0,0.0,-3.9,0.3,48.35,3.1
60.0,0.0,0,0.0,-4.0,0.3,49.15,3.1
90.0,0.0,0,0.0,-4.0,0.3,49.15,3.1
120.0,0.0,0,0.0,-4.1000000000000005,0.3,49.18,3.1
150.0,0.0,0,0.0,-4.1000000000000005,0.3,49.18,3.1
180.0,0.0,0,0.0,-4.1000000000000005,0.3,47.17,3.2
210.0,0.0,0,0.0,-4.2,0.3,47.53,3.3000000000000003
240.0,0.0,0,0.0,-4.3,0.3,45.03,3.3000000000000003
270.0,0.0,0,0.0,-4.3,0.2,45.08,3.4000000000000004
300.0,0.0,0,0.0,-4.4,0.2,43.09,3.4000000000000004
330.0,0.0,0,0.0,-4.5,0.2,43.42,3.5
360.0,0.0,0,0.0,-4.5,0.2,41.93,3.5
390.0,0.0,0,0.0,-3.8,0.2,39.79,4.1000000000000005
420.0,-62.69278349359665,10,-10.585876146448992,-3.0,0.2,36.21,4.7
450.0,-132.21599198052832,29,-33.892239865240484,-2.0,0.2,33.63,5.5
480.0,-105.56782700428448,38,-39.515025594993745,-1.0,0.2,28.5,6.4
510.0,-78.47584766576881,45,-38.874373561818345,-0.3,0.2,27.11,6.7
540.0,-66.9704466861075,51,-38.64009810709837,0.5,0.2,23.75,7.0
570.0,-62.232945141179584,55,-38.77334047223076,1.1,0.2,22.75,7.0
600.0,-60.433683360543,57,-38.54091662736067,1.7000000000000002,0.2,21.25,7.0
630.0,-61.15849401377113,60,-39.45903641394682,2.2,0.2,20.48,6.800000000000001
660.0,-61.54273557799763,61,-39.57236022360064,2.7,0.2,19.57,6.6000000000000005
690.0,-62.086769906581594,62,-40.54931172316867,3.0,0.2,19.15,6.4
720.0,-63.14253669618802,61,-40.71670038183663,3.4000000000000004,0.2,18.6,6.1000000000000005
750.0,-63.71650423471499,60,-40.07120410047014,3.6,0.2,18.34,5.800000000000001
780.0,-64.47156050125818,59,-40.2792591366516,3.8,0.2,18.14,5.5
810.0,-65.9289092500527,56,-39.66524383579838,3.8,0.2,18.12,5.2
840.0,-68.99056668605613,53,-39.17610907238884,3.8,0.2,18.32,4.9
870.0,-75.14483882114087,48,-39.284003123181606,3.2,0.2,19.11,4.1000000000000005
900.0,-88.38783795292011,43,-39.70056547502608,2.7,0.2,22.2,3.3000000000000003
930.0,-116.95634857678158,37,-40.4070465707907,2.7,0.2,22.2,3.3000000000000003
960.0,-189.74436080286807,28,-38.506574632141785,-1.5,0.2,37.35,1.5
990.0,-134.9870494844403,12,-13.836266632700326,-1.9,0.2,38.47,1.5
1020.0,0.0,0,0.0,-2.3000000000000003,0.2,37.92,1.5
1050.0,0.0,0,0.0,-2.5,0.2,38.48,1.5
1080.0,0.0,0,0.0,-2.7,0.2,38.93,1.6
1110.0,0.0,0,0.0,-2.9000000000000004,0.2,39.51,1.6
1140.0,0.0,0,0.0,-3.1,0.2,40.01,1.6
1170.0,0.0,0,0.0,-3.3000000000000003,0.2,40.61,1.7000000000000002
1200.0,0.0,0,0.0,-3.5,0.2,41.22,1.8
1230.0,0.0,0,0.0,-3.7,0.2,41.84,1.8
1260.0,0.0,0,0.0,-4.0,0.2,42.76,1.9
1290.0,0.0,0,0.0,-4.2,0.2,43.41,1.9
1320.0,0.0,0,0.0,-4.4,0.2,44.16,1.9
1350.0,0.0,0,0.0,-4.5,0.2,44.49,2.0
1380.0,0.0,0,0.0,-4.6000000000000005,0.2,44.56,2.0
1410.0,0.0,0,0.0,-4.6000000000000005,0.2,44.56,2.4000000000000004
1440.0,0.0,0,0.0,-4.5,0.2,43.18,2.7
1470.0,0.0,0,0.0,-4.5,0.2,43.23,2.9000000000000004
1500.0,0.0,0,0.0,-4.5,0.2,42.3,3.2
1530.0,0.0,0,0.0,-4.6000000000000005,0.2,42.62,3.2
1560.0,0.0,0,0.0,-4.800000000000001,0.2,42.68,3.2
1590.0,0.0,0,0.0,-4.9,0.2,43.01,3.1
1620.0,0.0,0,0.0,-5.0,0.2,43.07,3.0
1650.0,0.0,0,0.0,-5.0,0.2,43.07,2.9000000000000004
1680.0,0.0,0,0.0,-5.1000000000000005,0.2,43.42,2.8000000000000003
1710.0,0.0,0,0.0,-5.1000000000000005,0.2,43.42,2.8000000000000003
1740.0,0.0,0,0.0,-5.1000000000000005,0.2,43.55,2.8000000000000003
1770.0,0.0,0,0.0,-5.1000000000000005,0.2,43.55,2.8000000000000003
1800.0,0.0,0,0.0,-5.0,0.2,43.37,2.8000000000000003
1830.0,0.0,0,0.0,-4.3,0.2,41.14,3.5
1860.0,-22.027304015319388,7,-6.6505432949579175,-3.5,0.2,38.38,4.1000000000000005
1890.0,255.58874486911253,25,9.808636215805713,-2.4000000000000004,0.2,35.410000000000004,5.0
1920.0,262.08577584685895,47,20.286270514325736,-1.4,0.2,30.94,5.9
1950.0,-101.46677458290037,41,-40.87507173062957,-0.5,0.2,28.97,6.2
1980.0,-86.79250382155931,46,-40.40614136569826,0.3,0.2,24.94,6.5
2010.0,-79.95740629538386,49,-40.28482047571538,1.1,0.2,23.54,6.4
2040.0,-69.08886431034432,52,-36.786111449000884,1.9,0.2,20.6,6.2
2070.0,-59.75380387795121,54,-33.432284323437955,2.5,0.3,19.74,5.9
2100.0,-60.077229322969174,55,-33.27343623566321,3.1,0.3,18.01,5.6000000000000005
2130.0,-59.551927030983165,57,-33.98322472713596,3.6,0.3,17.36,5.300000000000001
2160.0,-60.52221461104966,56,-33.89363111989462,4.1000000000000005,0.3,16.45,5.0
2190.0,-59.98468710717657,56,-34.00653336631103,4.4,0.3,16.11,4.800000000000001
2220.0,-59.587225776181526,55,-33.99375350015288,4.7,0.3,15.83,4.7
2250.0,-60.825705517139795,53,-34.185622273270894,4.800000000000001,0.3,15.72,4.5
2280.0,-64.55549120012893,50,-34.536585940246255,4.800000000000001,0.3,16.12,4.4
2310.0,-70.17076068942083,46,-35.530534367670384,4.0,0.3,17.05,3.4000000000000004
2340.0,-84.45687364666173,41,-36.9036696743203,3.3000000000000003,0.3,23.06,2.4000000000000004
2370.0,-113.12870935107776,35,-37.70799136860319,3.3000000000000003,0.3,23.06,2.4000000000000004
2400.0,-180.97380287988,26,-36.330694191185906,-0.6000000000000001,0.3,34.71,1.3
