scaling,prefix,PointProbability,ProbabilityWeight,filename
9,1,1.0,1.0,synDataDNI_0.csv
9,2,1.0,1.0,synDataDNI_1.csv
9,3,1.0,1.0,synDataDNI_2.csv
9,4,1.0,1.0,synDataDNI_3.csv
9,5,1.0,1.0,synDataDNI_4.csv
9,6,1.0,1.0,synDataDNI_5.csv
9,7,1.0,1.0,synDataDNI_6.csv
9,8,1.0,1.0,synDataDNI_7.csv
9,9,1.0,1.0,synDataDNI_8.csv
9,10,1.0,1.0,synDataDNI_9.csv
9,11,1.0,1.0,synDataDNI_10.csv
9,12,1.0,1.0,synDataDNI_11.csv
9,13,1.0,1.0,synDataDNI_12.csv
9,14,1.0,1.0,synDataDNI_13.csv
9,15,1.0,1.0,synDataDNI_14.csv
9,16,1.0,1.0,synDataDNI_15.csv
9,17,1.0,1.0,synDataDNI_16.csv
9,18,1.0,1.0,synDataDNI_17.csv
9,19,1.0,1.0,synDataDNI_18.csv
9,20,1.0,1.0,synDataDNI_19.csv
9,21,1.0,1.0,synDataDNI_20.csv
9,22,1.0,1.0,synDataDNI_21.csv
9,23,1.0,1.0,synDataDNI_22.csv
9,24,1.0,1.0,synDataDNI_23.csv
9,25,1.0,1.0,synDataDNI_24.csv
9,26,1.0,1.0,synDataDNI_25.csv
9,27,1.0,1.0,synDataDNI_26.csv
9,28,1.0,1.0,synDataDNI_27.csv
9,29,1.0,1.0,synDataDNI_28.csv
9,30,1.0,1.0,synDataDNI_29.csv
9,31,1.0,1.0,synDataDNI_30.csv
9,32,1.0,1.0,synDataDNI_31.csv
9,33,1.0,1.0,synDataDNI_32.csv
9,34,1.0,1.0,synDataDNI_33.csv
9,35,1.0,1.0,synDataDNI_34.csv
9,36,1.0,1.0,synDataDNI_35.csv
9,37,1.0,1.0,synDataDNI_36.csv
9,38,1.0,1.0,synDataDNI_37.csv
9,39,1.0,1.0,synDataDNI_38.csv
9,40,1.0,1.0,synDataDNI_39.csv
9,41,1.0,1.0,synDataDNI_40.csv
9,42,1.0,1.0,synDataDNI_41.csv
9,43,1.0,1.0,synDataDNI_42.csv
9,44,1.0,1.0,synDataDNI_43.csv
9,45,1.0,1.0,synDataDNI_44.csv
9,46,1.0,1.0,synDataDNI_45.csv
9,47,1.0,1.0,synDataDNI_46.csv
9,48,1.0,1.0,synDataDNI_47.csv
9,49,1.0,1.0,synDataDNI_48.csv
9,50,1.0,1.0,synDataDNI_49.csv
9,51,1.0,1.0,synDataDNI_50.csv
9,52,1.0,1.0,synDataDNI_51.csv
9,53,1.0,1.0,synDataDNI_52.csv
9,54,1.0,1.0,synDataDNI_53.csv
9,55,1.0,1.0,synDataDNI_54.csv
9,56,1.0,1.0,synDataDNI_55.csv
9,57,1.0,1.0,synDataDNI_56.csv
9,58,1.0,1.0,synDataDNI_57.csv
9,59,1.0,1.0,synDataDNI_58.csv
9,60,1.0,1.0,synDataDNI_59.csv
9,61,1.0,1.0,synDataDNI_60.csv
9,62,1.0,1.0,synDataDNI_61.csv
9,63,1.0,1.0,synDataDNI_62.csv
9,64,1.0,1.0,synDataDNI_63.csv
9,65,1.0,1.0,synDataDNI_64.csv
9,66,1.0,1.0,synDataDNI_65.csv
9,67,1.0,1.0,synDataDNI_66.csv
9,68,1.0,1.0,synDataDNI_67.csv
9,69,1.0,1.0,synDataDNI_68.csv
9,70,1.0,1.0,synDataDNI_69.csv
9,71,1.0,1.0,synDataDNI_70.csv
9,72,1.0,1.0,synDataDNI_71.csv
9,73,1.0,1.0,synDataDNI_72.csv
9,74,1.0,1.0,synDataDNI_73.csv
9,75,1.0,1.0,synDataDNI_74.csv
9,76,1.0,1.0,synDataDNI_75.csv
9,77,1.0,1.0,synDataDNI_76.csv
9,78,1.0,1.0,synDataDNI_77.csv
9,79,1.0,1.0,synDataDNI_78.csv
9,80,1.0,1.0,synDataDNI_79.csv
9,81,1.0,1.0,synDataDNI_80.csv
9,82,1.0,1.0,synDataDNI_81.csv
9,83,1.0,1.0,synDataDNI_82.csv
9,84,1.0,1.0,synDataDNI_83.csv
9,85,1.0,1.0,synDataDNI_84.csv
9,86,1.0,1.0,synDataDNI_85.csv
9,87,1.0,1.0,synDataDNI_86.csv
9,88,1.0,1.0,synDataDNI_87.csv
9,89,1.0,1.0,synDataDNI_88.csv
9,90,1.0,1.0,synDataDNI_89.csv
9,91,1.0,1.0,synDataDNI_90.csv
9,92,1.0,1.0,synDataDNI_91.csv
9,93,1.0,1.0,synDataDNI_92.csv
9,94,1.0,1.0,synDataDNI_93.csv
9,95,1.0,1.0,synDataDNI_94.csv
9,96,1.0,1.0,synDataDNI_95.csv
9,97,1.0,1.0,synDataDNI_96.csv
9,98,1.0,1.0,synDataDNI_97.csv
9,99,1.0,1.0,synDataDNI_98.csv
9,100,1.0,1.0,synDataDNI_99.csv
