scaling,ProbabilityWeight,PointProbability,prefix,filename
1,1.0,1.0,1,synDataGO_0.csv
1,1.0,1.0,2,synDataGO_1.csv
1,1.0,1.0,3,synDataGO_2.csv
1,1.0,1.0,4,synDataGO_3.csv
1,1.0,1.0,5,synDataGO_4.csv
1,1.0,1.0,6,synDataGO_5.csv
1,1.0,1.0,7,synDataGO_6.csv
1,1.0,1.0,8,synDataGO_7.csv
1,1.0,1.0,9,synDataGO_8.csv
1,1.0,1.0,10,synDataGO_9.csv
1,1.0,1.0,11,synDataGO_10.csv
1,1.0,1.0,12,synDataGO_11.csv
1,1.0,1.0,13,synDataGO_12.csv
1,1.0,1.0,14,synDataGO_13.csv
1,1.0,1.0,15,synDataGO_14.csv
1,1.0,1.0,16,synDataGO_15.csv
1,1.0,1.0,17,synDataGO_16.csv
1,1.0,1.0,18,synDataGO_17.csv
1,1.0,1.0,19,synDataGO_18.csv
1,1.0,1.0,20,synDataGO_19.csv
1,1.0,1.0,21,synDataGO_20.csv
1,1.0,1.0,22,synDataGO_21.csv
1,1.0,1.0,23,synDataGO_22.csv
1,1.0,1.0,24,synDataGO_23.csv
1,1.0,1.0,25,synDataGO_24.csv
1,1.0,1.0,26,synDataGO_25.csv
1,1.0,1.0,27,synDataGO_26.csv
1,1.0,1.0,28,synDataGO_27.csv
1,1.0,1.0,29,synDataGO_28.csv
1,1.0,1.0,30,synDataGO_29.csv
1,1.0,1.0,31,synDataGO_30.csv
1,1.0,1.0,32,synDataGO_31.csv
1,1.0,1.0,33,synDataGO_32.csv
1,1.0,1.0,34,synDataGO_33.csv
1,1.0,1.0,35,synDataGO_34.csv
1,1.0,1.0,36,synDataGO_35.csv
1,1.0,1.0,37,synDataGO_36.csv
1,1.0,1.0,38,synDataGO_37.csv
1,1.0,1.0,39,synDataGO_38.csv
1,1.0,1.0,40,synDataGO_39.csv
1,1.0,1.0,41,synDataGO_40.csv
1,1.0,1.0,42,synDataGO_41.csv
1,1.0,1.0,43,synDataGO_42.csv
1,1.0,1.0,44,synDataGO_43.csv
1,1.0,1.0,45,synDataGO_44.csv
1,1.0,1.0,46,synDataGO_45.csv
1,1.0,1.0,47,synDataGO_46.csv
1,1.0,1.0,48,synDataGO_47.csv
1,1.0,1.0,49,synDataGO_48.csv
1,1.0,1.0,50,synDataGO_49.csv
1,1.0,1.0,51,synDataGO_50.csv
1,1.0,1.0,52,synDataGO_51.csv
1,1.0,1.0,53,synDataGO_52.csv
1,1.0,1.0,54,synDataGO_53.csv
1,1.0,1.0,55,synDataGO_54.csv
1,1.0,1.0,56,synDataGO_55.csv
1,1.0,1.0,57,synDataGO_56.csv
1,1.0,1.0,58,synDataGO_57.csv
1,1.0,1.0,59,synDataGO_58.csv
1,1.0,1.0,60,synDataGO_59.csv
1,1.0,1.0,61,synDataGO_60.csv
1,1.0,1.0,62,synDataGO_61.csv
1,1.0,1.0,63,synDataGO_62.csv
1,1.0,1.0,64,synDataGO_63.csv
1,1.0,1.0,65,synDataGO_64.csv
1,1.0,1.0,66,synDataGO_65.csv
1,1.0,1.0,67,synDataGO_66.csv
1,1.0,1.0,68,synDataGO_67.csv
1,1.0,1.0,69,synDataGO_68.csv
1,1.0,1.0,70,synDataGO_69.csv
1,1.0,1.0,71,synDataGO_70.csv
1,1.0,1.0,72,synDataGO_71.csv
1,1.0,1.0,73,synDataGO_72.csv
1,1.0,1.0,74,synDataGO_73.csv
1,1.0,1.0,75,synDataGO_74.csv
1,1.0,1.0,76,synDataGO_75.csv
1,1.0,1.0,77,synDataGO_76.csv
1,1.0,1.0,78,synDataGO_77.csv
1,1.0,1.0,79,synDataGO_78.csv
1,1.0,1.0,80,synDataGO_79.csv
1,1.0,1.0,81,synDataGO_80.csv
1,1.0,1.0,82,synDataGO_81.csv
1,1.0,1.0,83,synDataGO_82.csv
1,1.0,1.0,84,synDataGO_83.csv
1,1.0,1.0,85,synDataGO_84.csv
1,1.0,1.0,86,synDataGO_85.csv
1,1.0,1.0,87,synDataGO_86.csv
1,1.0,1.0,88,synDataGO_87.csv
1,1.0,1.0,89,synDataGO_88.csv
1,1.0,1.0,90,synDataGO_89.csv
1,1.0,1.0,91,synDataGO_90.csv
1,1.0,1.0,92,synDataGO_91.csv
1,1.0,1.0,93,synDataGO_92.csv
1,1.0,1.0,94,synDataGO_93.csv
1,1.0,1.0,95,synDataGO_94.csv
1,1.0,1.0,96,synDataGO_95.csv
1,1.0,1.0,97,synDataGO_96.csv
1,1.0,1.0,98,synDataGO_97.csv
1,1.0,1.0,99,synDataGO_98.csv
1,1.0,1.0,100,synDataGO_99.csv
