,LMP,date
0,41.26324,2019-01-01 00:00:00+00:00
1,41.18362,2019-01-01 01:00:00+00:00
2,40.01711,2019-01-01 02:00:00+00:00
3,38.93132,2019-01-01 03:00:00+00:00
4,38.25564,2019-01-01 04:00:00+00:00
5,39.19876,2019-01-01 05:00:00+00:00
6,42.17157,2019-01-01 06:00:00+00:00
7,42.51809,2019-01-01 07:00:00+00:00
8,39.69181,2019-01-01 08:00:00+00:00
9,33.84551,2019-01-01 09:00:00+00:00
10,26.86366,2019-01-01 10:00:00+00:00
11,20.91595,2019-01-01 11:00:00+00:00
12,17.39644,2019-01-01 12:00:00+00:00
13,14.72088,2019-01-01 13:00:00+00:00
14,13.55596,2019-01-01 14:00:00+00:00
15,20.03798,2019-01-01 15:00:00+00:00
16,34.64684,2019-01-01 16:00:00+00:00
17,43.46035,2019-01-01 17:00:00+00:00
18,47.24292,2019-01-01 18:00:00+00:00
19,49.74364,2019-01-01 19:00:00+00:00
20,50.36483,2019-01-01 20:00:00+00:00
21,45.60272,2019-01-01 21:00:00+00:00
22,45.84183,2019-01-01 22:00:00+00:00
23,43.5429,2019-01-01 23:00:00+00:00
24,44.23934,2019-01-02 00:00:00+00:00
25,43.08182,2019-01-02 01:00:00+00:00
26,42.11933,2019-01-02 02:00:00+00:00
27,41.98308,2019-01-02 03:00:00+00:00
28,41.65464,2019-01-02 04:00:00+00:00
29,42.71757,2019-01-02 05:00:00+00:00
30,44.5288,2019-01-02 06:00:00+00:00
31,57.86481,2019-01-02 07:00:00+00:00
32,54.55105,2019-01-02 08:00:00+00:00
33,41.6312,2019-01-02 09:00:00+00:00
34,36.78273,2019-01-02 10:00:00+00:00
35,34.38986,2019-01-02 11:00:00+00:00
36,32.30705,2019-01-02 12:00:00+00:00
37,29.52734,2019-01-02 13:00:00+00:00
38,29.56549,2019-01-02 14:00:00+00:00
39,32.50103,2019-01-02 15:00:00+00:00
40,40.4547,2019-01-02 16:00:00+00:00
41,48.48308,2019-01-02 17:00:00+00:00
42,58.36833,2019-01-02 18:00:00+00:00
43,52.52769,2019-01-02 19:00:00+00:00
44,50.1813,2019-01-02 20:00:00+00:00
45,54.36114,2019-01-02 21:00:00+00:00
46,51.98081,2019-01-02 22:00:00+00:00
47,46.37176,2019-01-02 23:00:00+00:00
48,42.33554,2019-01-03 00:00:00+00:00
49,40.8072,2019-01-03 01:00:00+00:00
50,39.60769,2019-01-03 02:00:00+00:00
51,40.4652,2019-01-03 03:00:00+00:00
52,39.47839,2019-01-03 04:00:00+00:00
53,41.39937,2019-01-03 05:00:00+00:00
54,44.44669,2019-01-03 06:00:00+00:00
55,56.46589,2019-01-03 07:00:00+00:00
56,50.04849,2019-01-03 08:00:00+00:00
57,42.94266,2019-01-03 09:00:00+00:00
58,35.27007,2019-01-03 10:00:00+00:00
59,32.94043,2019-01-03 11:00:00+00:00
60,29.66358,2019-01-03 12:00:00+00:00
61,24.7757,2019-01-03 13:00:00+00:00
62,24.72,2019-01-03 14:00:00+00:00
63,31.96852,2019-01-03 15:00:00+00:00
64,41.32188,2019-01-03 16:00:00+00:00
65,48.52473,2019-01-03 17:00:00+00:00
66,66.16792,2019-01-03 18:00:00+00:00
67,61.84222,2019-01-03 19:00:00+00:00
68,57.86337,2019-01-03 20:00:00+00:00
69,58.61815,2019-01-03 21:00:00+00:00
70,54.45556,2019-01-03 22:00:00+00:00
71,48.2585,2019-01-03 23:00:00+00:00
72,43.68019,2019-01-04 00:00:00+00:00
73,40.04957,2019-01-04 01:00:00+00:00
74,38.75183,2019-01-04 02:00:00+00:00
75,39.37163,2019-01-04 03:00:00+00:00
76,39.85216,2019-01-04 04:00:00+00:00
77,40.71755,2019-01-04 05:00:00+00:00
78,44.59273,2019-01-04 06:00:00+00:00
79,56.84749,2019-01-04 07:00:00+00:00
80,49.27038,2019-01-04 08:00:00+00:00
81,38.52553,2019-01-04 09:00:00+00:00
82,32.22603,2019-01-04 10:00:00+00:00
83,30.64556,2019-01-04 11:00:00+00:00
84,26.78109,2019-01-04 12:00:00+00:00
85,26.1299,2019-01-04 13:00:00+00:00
86,27.64493,2019-01-04 14:00:00+00:00
87,29.58398,2019-01-04 15:00:00+00:00
88,36.23175,2019-01-04 16:00:00+00:00
89,49.24371,2019-01-04 17:00:00+00:00
90,68.78071,2019-01-04 18:00:00+00:00
91,66.82764,2019-01-04 19:00:00+00:00
92,56.85849,2019-01-04 20:00:00+00:00
93,53.13774,2019-01-04 21:00:00+00:00
94,48.64278,2019-01-04 22:00:00+00:00
95,44.45825,2019-01-04 23:00:00+00:00
96,40.38854,2019-01-05 00:00:00+00:00
97,38.95373,2019-01-05 01:00:00+00:00
98,38.42593,2019-01-05 02:00:00+00:00
99,37.45375,2019-01-05 03:00:00+00:00
100,37.25994,2019-01-05 04:00:00+00:00
101,37.33242,2019-01-05 05:00:00+00:00
102,39.10679,2019-01-05 06:00:00+00:00
103,40.51943,2019-01-05 07:00:00+00:00
104,40.5206,2019-01-05 08:00:00+00:00
105,40.44813,2019-01-05 09:00:00+00:00
106,39.9834,2019-01-05 10:00:00+00:00
107,38.44446,2019-01-05 11:00:00+00:00
108,36.72964,2019-01-05 12:00:00+00:00
109,35.59253,2019-01-05 13:00:00+00:00
110,36.97847,2019-01-05 14:00:00+00:00
111,38.09162,2019-01-05 15:00:00+00:00
112,38.42354,2019-01-05 16:00:00+00:00
113,41.7394,2019-01-05 17:00:00+00:00
114,53.04249,2019-01-05 18:00:00+00:00
115,54.65096,2019-01-05 19:00:00+00:00
116,49.26592,2019-01-05 20:00:00+00:00
117,46.18325,2019-01-05 21:00:00+00:00
118,41.30603,2019-01-05 22:00:00+00:00
119,39.75176,2019-01-05 23:00:00+00:00
120,37.49332,2019-01-06 00:00:00+00:00
121,34.82881,2019-01-06 01:00:00+00:00
122,34.48566,2019-01-06 02:00:00+00:00
123,32.6536,2019-01-06 03:00:00+00:00
124,32.90422,2019-01-06 04:00:00+00:00
125,34.414,2019-01-06 05:00:00+00:00
126,34.95868,2019-01-06 06:00:00+00:00
127,36.89042,2019-01-06 07:00:00+00:00
128,35.02187,2019-01-06 08:00:00+00:00
129,33.48646,2019-01-06 09:00:00+00:00
130,31.32594,2019-01-06 10:00:00+00:00
131,27.98713,2019-01-06 11:00:00+00:00
132,23.53867,2019-01-06 12:00:00+00:00
133,22.07412,2019-01-06 13:00:00+00:00
134,24.60089,2019-01-06 14:00:00+00:00
135,27.95587,2019-01-06 15:00:00+00:00
136,32.96756,2019-01-06 16:00:00+00:00
137,37.9001,2019-01-06 17:00:00+00:00
138,44.62064,2019-01-06 18:00:00+00:00
139,46.19847,2019-01-06 19:00:00+00:00
140,44.21348,2019-01-06 20:00:00+00:00
141,41.90999,2019-01-06 21:00:00+00:00
142,38.54867,2019-01-06 22:00:00+00:00
143,34.34481,2019-01-06 23:00:00+00:00
144,33.48253,2019-01-07 00:00:00+00:00
145,34.52151,2019-01-07 01:00:00+00:00
146,33.01371,2019-01-07 02:00:00+00:00
147,31.95173,2019-01-07 03:00:00+00:00
148,33.02743,2019-01-07 04:00:00+00:00
149,34.6066,2019-01-07 05:00:00+00:00
150,38.97403,2019-01-07 06:00:00+00:00
151,46.17914,2019-01-07 07:00:00+00:00
152,56.20095,2019-01-07 08:00:00+00:00
153,40.27096,2019-01-07 09:00:00+00:00
154,40.4296,2019-01-07 10:00:00+00:00
155,38.98776,2019-01-07 11:00:00+00:00
156,36.89238,2019-01-07 12:00:00+00:00
157,33.59281,2019-01-07 13:00:00+00:00
158,33.4575,2019-01-07 14:00:00+00:00
159,33.28835,2019-01-07 15:00:00+00:00
160,38.38108,2019-01-07 16:00:00+00:00
161,46.08676,2019-01-07 17:00:00+00:00
162,63.63945,2019-01-07 18:00:00+00:00
163,58.96102,2019-01-07 19:00:00+00:00
164,56.65763,2019-01-07 20:00:00+00:00
165,50.67398,2019-01-07 21:00:00+00:00
166,45.2002,2019-01-07 22:00:00+00:00
167,42.60532,2019-01-07 23:00:00+00:00
168,38.50289,2019-01-08 00:00:00+00:00
169,34.85629,2019-01-08 01:00:00+00:00
170,34.16926,2019-01-08 02:00:00+00:00
171,32.92788,2019-01-08 03:00:00+00:00
172,33.24138,2019-01-08 04:00:00+00:00
173,34.98541,2019-01-08 05:00:00+00:00
174,40.01333,2019-01-08 06:00:00+00:00
175,50.60333,2019-01-08 07:00:00+00:00
176,51.53687,2019-01-08 08:00:00+00:00
177,38.82598,2019-01-08 09:00:00+00:00
178,36.12439,2019-01-08 10:00:00+00:00
179,33.31035,2019-01-08 11:00:00+00:00
180,32.61116,2019-01-08 12:00:00+00:00
181,29.52519,2019-01-08 13:00:00+00:00
182,30.41132,2019-01-08 14:00:00+00:00
183,32.52836,2019-01-08 15:00:00+00:00
184,38.75318,2019-01-08 16:00:00+00:00
185,50.88973,2019-01-08 17:00:00+00:00
186,63.03986,2019-01-08 18:00:00+00:00
187,52.60573,2019-01-08 19:00:00+00:00
188,54.36301,2019-01-08 20:00:00+00:00
189,48.58824,2019-01-08 21:00:00+00:00
190,44.17117,2019-01-08 22:00:00+00:00
191,39.80984,2019-01-08 23:00:00+00:00
192,36.69768,2019-01-09 00:00:00+00:00
193,35.83145,2019-01-09 01:00:00+00:00
194,35.56464,2019-01-09 02:00:00+00:00
195,34.08033,2019-01-09 03:00:00+00:00
196,34.64416,2019-01-09 04:00:00+00:00
197,36.17539,2019-01-09 05:00:00+00:00
198,40.46486,2019-01-09 06:00:00+00:00
