INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2022-02-02T07:00:00-00:00,2022-02-02T08:00:00-00:00,2022-02-01,24,0,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,DAM,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,50.6768,1
2022-02-01T21:00:00-00:00,2022-02-01T22:00:00-00:00,2022-02-01,14,0,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,DAM,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,28.47368,1
2022-02-01T08:00:00-00:00,2022-02-01T09:00:00-00:00,2022-02-01,1,0,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,DAM,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,47.48719,1
2022-02-02T05:00:00-00:00,2022-02-02T06:00:00-00:00,2022-02-01,22,0,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,DAM,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,62.84144,1
2022-02-01T12:00:00-00:00,2022-02-01T13:00:00-00:00,2022-02-01,5,0,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,DAM,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,46.91665,1
2022-02-02T02:00:00-00:00,2022-02-02T03:00:00-00:00,2022-02-01,19,0,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,DAM,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,77.70601,1
2022-02-01T14:00:00-00:00,2022-02-01T15:00:00-00:00,2022-02-01,7,0,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,DAM,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,72,1
2022-02-01T15:00:00-00:00,2022-02-01T16:00:00-00:00,2022-02-01,8,0,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,DAM,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,74.63,1
2022-02-01T10:00:00-00:00,2022-02-01T11:00:00-00:00,2022-02-01,3,0,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,DAM,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,46.17279,1
2022-02-01T18:00:00-00:00,2022-02-01T19:00:00-00:00,2022-02-01,11,0,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,DAM,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,39.27102,1
2022-02-01T20:00:00-00:00,2022-02-01T21:00:00-00:00,2022-02-01,13,0,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,DAM,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,30.67435,1
2022-02-01T17:00:00-00:00,2022-02-01T18:00:00-00:00,2022-02-01,10,0,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,DAM,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,43.0265,1
2022-02-01T23:00:00-00:00,2022-02-02T00:00:00-00:00,2022-02-01,16,0,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,DAM,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,41.50319,1
2022-02-02T00:00:00-00:00,2022-02-02T01:00:00-00:00,2022-02-01,17,0,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,DAM,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,57.47284,1
2022-02-02T03:00:00-00:00,2022-02-02T04:00:00-00:00,2022-02-01,20,0,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,DAM,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,69.15212,1
2022-02-02T04:00:00-00:00,2022-02-02T05:00:00-00:00,2022-02-01,21,0,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,DAM,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,67.78735,1
2022-02-01T16:00:00-00:00,2022-02-01T17:00:00-00:00,2022-02-01,9,0,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,DAM,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,55.91272,1
2022-02-02T06:00:00-00:00,2022-02-02T07:00:00-00:00,2022-02-01,23,0,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,DAM,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,51.71785,1
2022-02-02T01:00:00-00:00,2022-02-02T02:00:00-00:00,2022-02-01,18,0,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,DAM,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,78.49907,1
2022-02-01T09:00:00-00:00,2022-02-01T10:00:00-00:00,2022-02-01,2,0,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,DAM,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,46.77449,1
2022-02-01T11:00:00-00:00,2022-02-01T12:00:00-00:00,2022-02-01,4,0,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,DAM,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,46.42559,1
2022-02-01T13:00:00-00:00,2022-02-01T14:00:00-00:00,2022-02-01,6,0,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,DAM,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,51.39196,1
2022-02-01T19:00:00-00:00,2022-02-01T20:00:00-00:00,2022-02-01,12,0,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,DAM,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,33.7313,1
2022-02-01T22:00:00-00:00,2022-02-01T23:00:00-00:00,2022-02-01,15,0,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,DAM,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,30.35746,1
