INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2022-01-02T02:00:00-00:00,2022-01-02T03:00:00-00:00,2022-01-01,19,0,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,DAM,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,88.64426,1
2022-01-02T00:00:00-00:00,2022-01-02T01:00:00-00:00,2022-01-01,17,0,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,DAM,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,79.48193,1
2022-01-01T21:00:00-00:00,2022-01-01T22:00:00-00:00,2022-01-01,14,0,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,DAM,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,27.44783,1
2022-01-01T16:00:00-00:00,2022-01-01T17:00:00-00:00,2022-01-01,9,0,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,DAM,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,51.20997,1
2022-01-01T12:00:00-00:00,2022-01-01T13:00:00-00:00,2022-01-01,5,0,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,DAM,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,59.15542,1
2022-01-01T22:00:00-00:00,2022-01-01T23:00:00-00:00,2022-01-01,15,0,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,DAM,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,30.49432,1
2022-01-02T07:00:00-00:00,2022-01-02T08:00:00-00:00,2022-01-01,24,0,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,DAM,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,63.91104,1
2022-01-01T13:00:00-00:00,2022-01-01T14:00:00-00:00,2022-01-01,6,0,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,DAM,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,73.22723,1
2022-01-01T10:00:00-00:00,2022-01-01T11:00:00-00:00,2022-01-01,3,0,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,DAM,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,56.37082,1
2022-01-01T09:00:00-00:00,2022-01-01T10:00:00-00:00,2022-01-01,2,0,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,DAM,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,59.37565,1
2022-01-02T03:00:00-00:00,2022-01-02T04:00:00-00:00,2022-01-01,20,0,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,DAM,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,85.09121,1
2022-01-02T06:00:00-00:00,2022-01-02T07:00:00-00:00,2022-01-01,23,0,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,DAM,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,73.73171,1
2022-01-01T17:00:00-00:00,2022-01-01T18:00:00-00:00,2022-01-01,10,0,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,DAM,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,37.60612,1
2022-01-01T08:00:00-00:00,2022-01-01T09:00:00-00:00,2022-01-01,1,0,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,DAM,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,57.00079,1
2022-01-01T11:00:00-00:00,2022-01-01T12:00:00-00:00,2022-01-01,4,0,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,DAM,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,57.18608,1
