TF Temp,HTF mdot,Ambient T,Wdot cycle,Heat In,Wdot cooling,mdot water
550,0.300,43,0.2803432,0.365388609,1,1
551.6,0.300,43,0.282357229,0.367013504,1,1
553.2,0.300,43,0.284371257,0.368638399,1,1
554.7,0.300,43,0.286385286,0.37026678,1,1
556.3,0.300,43,0.288408905,0.371895162,1,1
557.9,0.300,43,0.290432525,0.373523544,1,1
559.5,0.300,43,0.292465735,0.375151925,1,1
561.1,0.300,43,0.294498944,0.376783794,1,1
562.6,0.300,43,0.296541745,0.378412175,1,1
564.2,0.300,43,0.298584545,0.380044044,1,1
565.8,0.300,43,0.300636937,0.381675912,1,1
567.4,0.300,43,0.302689328,0.383311268,1,1
568.9,0.300,43,0.304741719,0.384946623,1,1
570.5,0.300,43,0.306803701,0.386578492,1,1
572.1,0.300,43,0.308875273,0.388217334,1,1
573.7,0.300,43,0.310946845,0.389852689,1,1
575.3,0.300,43,0.313018418,0.391491532,1,1
576.8,0.300,43,0.315099581,0.393126887,1,1
578.4,0.300,43,0.317180743,0.394769216,1,1
580,0.300,43,0.319271497,0.396408059,1,1
550,1.000,43,0.958361156,0.968179218,1,1
551.6,1.000,43,0.964940316,0.973210812,1,1
553.2,1.000,43,0.971529067,0.978249381,1,1
554.7,1.000,43,0.978127409,0.983287949,1,1
556.3,1.000,43,0.98472575,0.988330004,1,1
557.9,1.000,43,0.991324092,0.993375547,1,1
559.5,1.000,43,0.997932024,0.998421089,1,1
561.1,1.000,43,1.004549547,1.003473605,1,1
562.6,1.000,43,1.01116707,1.008526121,1,1
564.2,1.000,43,1.017784592,1.013582124,1,1
565.8,1.000,43,1.024411706,1.01863464,1,1
567.4,1.000,43,1.031038819,1.023697616,1,1
568.9,1.000,43,1.037665933,1.028760593,1,1
570.5,1.000,43,1.044302637,1.033823569,1,1
572.1,1.000,43,1.050939341,1.03889352,1,1
573.7,1.000,43,1.057576045,1.04396347,1,1
575.3,1.000,43,1.064222339,1.049036908,1,1
576.8,1.000,43,1.070868634,1.054110345,1,1
578.4,1.000,43,1.077514928,1.059187269,1,1
580,1.000,43,1.084161223,1.064264194,1,1
550,1.200,43,1.11511013,1.10851991,1,1
