Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	33.000	754.97	0.0013246	1284.0	1327.7	3.1670	3.0161	5.0240	1088.4	0.071721	94.132	0.58894	liquid
301.00	33.000	753.29	0.0013275	1288.9	1332.7	3.1758	3.0141	5.0369	1084.1	0.075131	93.779	0.58757	liquid
302.00	33.000	751.60	0.0013305	1293.9	1337.8	3.1846	3.0121	5.0500	1079.7	0.078598	93.427	0.58619	liquid
303.00	33.000	749.89	0.0013335	1298.8	1342.8	3.1934	3.0101	5.0633	1075.3	0.082122	93.077	0.58481	liquid
304.00	33.000	748.18	0.0013366	1303.8	1347.9	3.2022	3.0082	5.0768	1070.9	0.085706	92.727	0.58342	liquid
305.00	33.000	746.46	0.0013397	1308.8	1353.0	3.2110	3.0063	5.0906	1066.4	0.089350	92.377	0.58201	liquid
306.00	33.000	744.72	0.0013428	1313.8	1358.1	3.2198	3.0044	5.1047	1062.0	0.093055	92.029	0.58060	liquid
307.00	33.000	742.98	0.0013459	1318.8	1363.2	3.2286	3.0025	5.1190	1057.5	0.096825	91.682	0.57918	liquid
308.00	33.000	741.22	0.0013491	1323.8	1368.3	3.2374	3.0006	5.1336	1053.0	0.10066	91.335	0.57775	liquid
309.00	33.000	739.45	0.0013524	1328.8	1373.5	3.2463	2.9988	5.1484	1048.4	0.10456	90.989	0.57632	liquid
310.00	33.000	737.67	0.0013556	1333.9	1378.6	3.2551	2.9969	5.1635	1043.9	0.10853	90.643	0.57487	liquid
311.00	33.000	735.87	0.0013589	1339.0	1383.8	3.2640	2.9952	5.1789	1039.3	0.11257	90.298	0.57341	liquid
312.00	33.000	734.07	0.0013623	1344.0	1389.0	3.2728	2.9934	5.1946	1034.7	0.11668	89.954	0.57194	liquid
313.00	33.000	732.25	0.0013657	1349.1	1394.2	3.2817	2.9917	5.2107	1030.1	0.12087	89.610	0.57047	liquid
314.00	33.000	730.42	0.0013691	1354.2	1399.4	3.2906	2.9899	5.2270	1025.4	0.12513	89.267	0.56898	liquid
315.00	33.000	728.57	0.0013726	1359.4	1404.6	3.2995	2.9883	5.2436	1020.8	0.12947	88.924	0.56749	liquid
316.00	33.000	726.71	0.0013761	1364.5	1409.9	3.3085	2.9866	5.2606	1016.1	0.13389	88.582	0.56598	liquid
317.00	33.000	724.84	0.0013796	1369.6	1415.2	3.3174	2.9850	5.2779	1011.4	0.13840	88.239	0.56447	liquid
318.00	33.000	722.96	0.0013832	1374.8	1420.5	3.3263	2.9833	5.2956	1006.6	0.14298	87.898	0.56294	liquid
319.00	33.000	721.06	0.0013869	1380.0	1425.8	3.3353	2.9818	5.3136	1001.8	0.14766	87.556	0.56140	liquid
320.00	33.000	719.14	0.0013905	1385.2	1431.1	3.3443	2.9802	5.3320	997.06	0.15243	87.215	0.55986	liquid
321.00	33.000	717.21	0.0013943	1390.4	1436.4	3.3533	2.9787	5.3508	992.24	0.15728	86.874	0.55830	liquid
322.00	33.000	715.27	0.0013981	1395.6	1441.8	3.3623	2.9772	5.3700	987.40	0.16224	86.533	0.55674	liquid
323.00	33.000	713.31	0.0014019	1400.9	1447.2	3.3713	2.9758	5.3897	982.53	0.16729	86.192	0.55516	liquid
324.00	33.000	711.34	0.0014058	1406.2	1452.6	3.3804	2.9743	5.4097	977.64	0.17244	85.852	0.55357	liquid
325.00	33.000	709.35	0.0014097	1411.5	1458.0	3.3895	2.9729	5.4302	972.72	0.17769	85.511	0.55197	liquid
326.00	33.000	707.34	0.0014137	1416.8	1463.4	3.3985	2.9716	5.4511	967.77	0.18305	85.170	0.55036	liquid
327.00	33.000	705.32	0.0014178	1422.1	1468.9	3.4076	2.9702	5.4725	962.80	0.18852	84.829	0.54874	liquid
328.00	33.000	703.28	0.0014219	1427.4	1474.4	3.4168	2.9690	5.4944	957.80	0.19410	84.488	0.54711	liquid
329.00	33.000	701.23	0.0014261	1432.8	1479.9	3.4259	2.9677	5.5169	952.77	0.19980	84.147	0.54547	liquid
330.00	33.000	699.15	0.0014303	1438.2	1485.4	3.4351	2.9665	5.5398	947.72	0.20563	83.806	0.54381	liquid
331.00	33.000	697.06	0.0014346	1443.6	1491.0	3.4443	2.9653	5.5633	942.63	0.21157	83.464	0.54214	liquid
332.00	33.000	694.95	0.0014389	1449.0	1496.5	3.4535	2.9641	5.5873	937.52	0.21764	83.122	0.54046	liquid
333.00	33.000	692.82	0.0014434	1454.5	1502.1	3.4628	2.9630	5.6120	932.38	0.22385	82.780	0.53877	liquid
334.00	33.000	690.68	0.0014479	1460.0	1507.8	3.4720	2.9620	5.6372	927.21	0.23019	82.437	0.53707	liquid
335.00	33.000	688.51	0.0014524	1465.5	1513.4	3.4813	2.9609	5.6631	922.01	0.23667	82.094	0.53535	liquid
336.00	33.000	686.32	0.0014570	1471.0	1519.1	3.4907	2.9600	5.6896	916.77	0.24330	81.750	0.53363	liquid
337.00	33.000	684.11	0.0014617	1476.5	1524.8	3.5000	2.9590	5.7168	911.51	0.25008	81.406	0.53188	liquid
338.00	33.000	681.89	0.0014665	1482.1	1530.5	3.5094	2.9581	5.7447	906.22	0.25702	81.061	0.53013	liquid
339.00	33.000	679.64	0.0014714	1487.7	1536.3	3.5188	2.9573	5.7733	900.90	0.26411	80.715	0.52836	liquid
340.00	33.000	677.36	0.0014763	1493.3	1542.1	3.5283	2.9565	5.8028	895.54	0.27137	80.369	0.52658	liquid
341.00	33.000	675.07	0.0014813	1499.0	1547.9	3.5377	2.9557	5.8330	890.15	0.27881	80.022	0.52479	liquid
342.00	33.000	672.75	0.0014864	1504.7	1553.7	3.5473	2.9550	5.8640	884.73	0.28642	79.674	0.52298	liquid
343.00	33.000	670.41	0.0014916	1510.4	1559.6	3.5568	2.9544	5.8959	879.28	0.29422	79.324	0.52115	liquid
344.00	33.000	668.04	0.0014969	1516.1	1565.5	3.5664	2.9538	5.9287	873.79	0.30221	78.974	0.51931	liquid
345.00	33.000	665.65	0.0015023	1521.9	1571.5	3.5760	2.9532	5.9625	868.27	0.31040	78.623	0.51746	liquid
346.00	33.000	663.24	0.0015078	1527.7	1577.4	3.5857	2.9527	5.9972	862.71	0.31880	78.270	0.51559	liquid
347.00	33.000	660.79	0.0015133	1533.5	1583.5	3.5954	2.9523	6.0330	857.12	0.32741	77.917	0.51371	liquid
348.00	33.000	658.32	0.0015190	1539.4	1589.5	3.6051	2.9519	6.0698	851.49	0.33625	77.562	0.51181	liquid
349.00	33.000	655.83	0.0015248	1545.3	1595.6	3.6149	2.9516	6.1078	845.83	0.34531	77.205	0.50989	liquid
350.00	33.000	653.30	0.0015307	1551.2	1601.7	3.6248	2.9514	6.1470	840.13	0.35462	76.847	0.50796	liquid
351.00	33.000	650.74	0.0015367	1557.2	1607.9	3.6347	2.9512	6.1874	834.39	0.36418	76.488	0.50601	liquid
352.00	33.000	648.16	0.0015428	1563.2	1614.1	3.6446	2.9511	6.2291	828.61	0.37399	76.127	0.50404	liquid
353.00	33.000	645.54	0.0015491	1569.2	1620.4	3.6546	2.9510	6.2722	822.80	0.38408	75.764	0.50205	liquid
354.00	33.000	642.89	0.0015555	1575.3	1626.6	3.6646	2.9511	6.3167	816.94	0.39446	75.399	0.50005	liquid
355.00	33.000	640.20	0.0015620	1581.4	1633.0	3.6747	2.9512	6.3628	811.05	0.40513	75.032	0.49802	liquid
356.00	33.000	637.49	0.0015687	1587.6	1639.4	3.6849	2.9514	6.4104	805.11	0.41611	74.663	0.49598	liquid
357.00	33.000	634.73	0.0015755	1593.8	1645.8	3.6951	2.9516	6.4598	799.13	0.42741	74.292	0.49392	liquid
358.00	33.000	631.94	0.0015824	1600.1	1652.3	3.7054	2.9520	6.5109	793.11	0.43905	73.919	0.49184	liquid
359.00	33.000	629.11	0.0015895	1606.4	1658.8	3.7158	2.9524	6.5640	787.04	0.45104	73.543	0.48973	liquid
360.00	33.000	626.24	0.0015968	1612.7	1665.4	3.7262	2.9530	6.6190	780.93	0.46340	73.164	0.48761	liquid
361.00	33.000	623.33	0.0016043	1619.1	1672.1	3.7367	2.9536	6.6762	774.77	0.47615	72.783	0.48546	liquid
362.00	33.000	620.38	0.0016119	1625.6	1678.8	3.7472	2.9543	6.7356	768.56	0.48931	72.399	0.48329	liquid
363.00	33.000	617.38	0.0016197	1632.1	1685.5	3.7579	2.9552	6.7974	762.30	0.50290	72.012	0.48110	liquid
364.00	33.000	614.34	0.0016278	1638.7	1692.4	3.7686	2.9561	6.8618	755.99	0.51694	71.622	0.47888	liquid
365.00	33.000	611.25	0.0016360	1645.3	1699.3	3.7794	2.9572	6.9290	749.63	0.53145	71.229	0.47664	liquid
366.00	33.000	608.11	0.0016444	1652.0	1706.2	3.7903	2.9584	6.9990	743.22	0.54645	70.832	0.47437	liquid
367.00	33.000	604.92	0.0016531	1658.7	1713.3	3.8013	2.9597	7.0721	736.75	0.56199	70.431	0.47208	liquid
368.00	33.000	601.68	0.0016620	1665.5	1720.4	3.8124	2.9611	7.1486	730.23	0.57808	70.027	0.46975	liquid
369.00	33.000	598.38	0.0016712	1672.4	1727.6	3.8236	2.9627	7.2286	723.65	0.59475	69.618	0.46740	liquid
370.00	33.000	595.02	0.0016806	1679.4	1734.8	3.8349	2.9645	7.3125	717.00	0.61204	69.205	0.46502	liquid
371.00	33.000	591.60	0.0016903	1686.4	1742.2	3.8464	2.9663	7.4004	710.30	0.62998	68.787	0.46261	liquid
372.00	33.000	588.12	0.0017003	1693.5	1749.6	3.8579	2.9684	7.4928	703.53	0.64862	68.365	0.46016	liquid
373.00	33.000	584.57	0.0017107	1700.7	1757.2	3.8696	2.9706	7.5899	696.70	0.66798	67.937	0.45769	liquid
374.00	33.000	580.94	0.0017213	1708.0	1764.8	3.8814	2.9730	7.6920	689.81	0.68811	67.504	0.45517	supercritical
375.00	33.000	577.25	0.0017324	1715.4	1772.6	3.8934	2.9757	7.7996	682.84	0.70906	67.065	0.45263	supercritical
376.00	33.000	573.47	0.0017438	1722.9	1780.4	3.9055	2.9785	7.9131	675.81	0.73088	66.620	0.45004	supercritical
377.00	33.000	569.62	0.0017556	1730.5	1788.4	3.9177	2.9815	8.0329	668.72	0.75360	66.168	0.44742	supercritical
378.00	33.000	565.68	0.0017678	1738.1	1796.5	3.9302	2.9848	8.1595	661.55	0.77729	65.710	0.44475	supercritical
379.00	33.000	561.65	0.0017805	1746.0	1804.7	3.9428	2.9883	8.2934	654.32	0.80201	65.244	0.44205	supercritical
380.00	33.000	557.52	0.0017937	1753.9	1813.1	3.9556	2.9921	8.4351	647.02	0.82779	64.770	0.43929	supercritical
