,Efficiency
0,1.09918
1,1.10494
2,1.1071
3,1.10854
4,1.10962
5,1.1107
6,1.11142
7,1.1125
8,1.11322
9,1.11394
10,1.1143
11,1.11502
12,1.11538
13,1.1161
14,1.11682
15,1.1161
16,1.1089
17,1.10314
18,1.09522
19,1.09018
20,1.08874
21,1.08946
22,1.0909
23,1.09342
24,1.09846
25,1.10134
26,1.10242
27,1.10386
28,1.10566
29,1.1071
30,1.10674
31,1.10782
32,1.10962
33,1.10926
34,1.10926
35,1.10998
36,1.10998
37,1.1089
38,1.1089
39,1.1089
40,1.10458
41,1.09954
42,1.0941400000000001
43,1.09234
44,1.0909
45,1.09054
46,1.09198
47,1.0941400000000001
48,1.0981
49,1.10062
50,1.10134
51,1.10206
52,1.10242
53,1.10206
54,1.10206
55,1.10242
56,1.10278
57,1.10314
58,1.10314
59,1.10314
60,1.1035
61,1.10386
62,1.10422
63,1.10422
64,1.10206
65,1.09954
66,1.09666
67,1.0941400000000001
68,1.0912600000000001
69,1.09018
70,1.09054
71,1.09234
72,1.09702
73,1.10062
74,1.10242
75,1.10422
76,1.10494
77,1.1053
78,1.10566
79,1.10566
80,1.10602
81,1.1071
82,1.10782
83,1.10782
84,1.10746
85,1.10746
86,1.10746
87,1.10746
88,1.10314
89,1.09882
90,1.0941400000000001
91,1.09306
92,1.0927
93,1.09306
94,1.09342
95,1.0941400000000001
96,1.09666
97,1.09954
98,1.10062
99,1.1017
100,1.10314
101,1.10458
102,1.10602
103,1.10674
104,1.10746
105,1.10782
106,1.10854
107,1.10962
108,1.1107
109,1.1125
110,1.1143
111,1.11502
112,1.10998
113,1.10422
114,1.09702
115,1.09162
116,1.08874
117,1.08694
118,1.08658
119,1.08838
120,1.09558
121,1.10098
122,1.10278
123,1.10422
124,1.10494
125,1.10566
126,1.10638
127,1.1071
128,1.10782
129,1.10962
130,1.11106
131,1.1125
132,1.11322
133,1.11394
134,1.1143
135,1.11286
136,1.1053
137,1.10062
138,1.09666
139,1.0909
140,1.08802
141,1.08766
