,t,C_ctes,W_dot_gen,m_ch,m_dh,w_dot,v_dot,m_dot_cs,m_dot_hpt,m_dot_e,m_dot_ds,M_cm_max,M_dm_max,V_dot_max,C_desal
0,1.0,41.72,988.0,761900.8928764778,115720.0802696906,895.8791314743364,1786.133288138461,2483.3963240827748,823.5157142419363,436.46332854822623,2551.6189830549442,1375002.6044557847,44887.31977851751,2146.9021627155635,223669767.51425162
1,2.0,41.72,988.0,1566532.2650246304,186982.71753530204,895.8791314743364,1786.133288138461,2471.52674650731,819.579659589677,434.3772195825288,2551.6189830549442,1375002.6044557847,44887.31977851751,2146.9021627155635,223669767.51425162
2,3.0,41.72,988.0,2387072.9345056247,241693.07896724902,895.8791314743364,1786.133288138461,2467.107497248187,818.1141982878513,433.6005250925612,2551.6189830549442,1375002.6044557847,44887.31977851751,2146.9021627155635,223669767.51425162
3,4.0,41.72,988.0,3218185.3584233765,285404.4256833494,895.879131474337,1786.133288138461,2464.170898793539,817.1403968247624,433.08441031712414,2551.6189830549442,1375002.6044557847,44887.31977851751,2146.9021627155635,223669767.51425162
4,5.0,41.72,988.0,4057208.5914493427,320885.24582824484,895.879131474337,1786.133288138461,2461.973451819028,816.4117043896589,432.69820332651926,2551.6189830549442,1375002.6044557847,44887.31977851751,2146.9021627155635,223669767.51425162
5,6.0,41.72,988.0,4904127.2492784485,348151.54546784423,895.879131474337,1786.133288138461,2459.7802782626004,815.6844290569771,432.3127474001979,2551.6189830549442,1375002.6044557847,44887.31977851751,2146.9021627155635,223669767.51425162
6,7.0,41.72,988.0,5756300.998954061,369950.36732040904,895.879131474337,1786.133288138461,2458.32053052746,815.2003640742519,432.0561929593535,2551.6189830549442,1375002.6044557847,44887.31977851751,2146.9021627155635,223669767.51425162
7,8.0,41.72,988.0,6616344.632468648,383561.2418767221,895.879131474337,1786.133288138461,2456.1344516832996,814.4754414095607,431.6719839470672,2551.6189830549442,1375002.6044557847,44887.31977851751,2146.9021627155635,223669767.51425162
8,9.0,41.72,988.0,7642472.362140214,341701.3319562235,878.0751200000002,1763.3199683191967,2409.999980528584,799.1768514923103,423.56373129092447,2519.028526170281,1375002.6044557847,44887.31977851751,2146.9021627155635,223669767.51425162
9,10.0,41.72,988.0,8673727.462808702,294506.8269705202,878.0751200000002,1763.3199683191967,2408.5757108072166,798.7045513260055,423.3134122027829,2519.028526170281,1375002.6044557847,44887.31977851751,2146.9021627155635,223669767.51425162
10,11.0,41.72,988.0,9707543.764204644,244647.60964590617,878.0751200000002,1763.3199683191965,2407.864266160702,798.4686301238453,423.188373965638,2519.0285261702807,1375002.6044557847,44887.31977851751,2146.9021627155635,223669767.51425162
11,12.0,41.72,988.0,10746477.505535895,189464.12968420074,878.0751200000002,1763.3199683191963,2406.44275506756,797.9972447425353,422.9385397135438,2519.0285261702807,1375002.6044557847,44887.31977851751,2146.9021627155635,223669767.51425162
12,13.0,41.72,988.0,11787967.489277769,131621.09609212584,878.0751200000002,1763.3199683191963,2405.7326877312757,797.7617802683676,422.8137435422349,2519.0285261702807,1375002.6044557847,44887.31977851751,2146.9021627155635,223669767.51425162
13,14.0,41.72,988.0,12834565.010718219,68464.10230124665,878.0751200000002,1763.3199683191963,2404.313927259449,797.2913070168916,422.56439271895255,2519.0285261702807,1375002.6044557847,44887.31977851751,2146.9021627155635,223669767.51425162
14,15.0,41.72,988.0,13886263.484324858,0.0,878.0751200000002,1763.3199683191963,2402.896996102175,796.8214403819537,422.3153634024355,2519.0285261702807,1375002.6044557847,44887.31977851751,2146.9021627155635,223669767.51425162
15,16.0,41.72,988.0,14042579.790186739,0.0,976.8751200000002,1931.1459745488482,2651.614264920163,879.2982393079562,466.0280668332168,2758.779963641212,1375002.6044557847,44887.31977851751,2146.9021627155635,223669767.51425162
16,17.0,41.72,988.0,13245679.986893775,0.0,1075.67512,2123.984423147936,2916.3965174631753,967.1023258756061,512.5642327140713,3034.2634616399087,1375002.6044557847,44887.31977851751,2146.9021627155635,223669767.51425162
17,18.0,41.72,988.0,12397840.767229013,0.0,1075.67512,2134.289618298687,2930.54635534423,971.7945345802833,515.0511033275502,3048.9851689981247,1375002.6044557847,44887.31977851751,2146.9021627155635,223669767.51425162
18,19.0,41.72,988.0,11479084.984343903,27155.991758712586,1075.67512,2143.3559178301916,2950.2454006832163,978.3269085050175,518.5132615076593,3061.9370254717023,1375002.6044557847,44887.31977851751,2146.9021627155635,223669767.51425162
19,20.0,41.72,988.0,10514663.991638875,101822.7649886711,1075.67512,2143.3559178301916,2962.930181188749,982.5332915042653,520.7426444972607,3061.9370254717023,1375002.6044557847,44887.31977851751,2146.9021627155635,223669767.51425162
20,21.0,41.72,988.0,9537118.141339887,190144.84043768997,1075.67512,2143.355917830192,2966.5759749648487,983.7422682738562,521.3834021851438,3061.9370254717032,1375002.6044557847,44887.31977851751,2146.9021627155635,223669767.51425162
21,22.0,41.72,988.0,8566139.056801818,271634.752533674,1075.67512,2143.3559178301925,2964.7518733645934,983.1373803960669,521.0628116099155,3061.9370254717037,1375002.6044557847,44887.31977851751,2146.9021627155635,223669767.51425162
22,23.0,41.72,988.0,7608267.499176471,339487.39351595036,1075.67512,2143.3559178301925,2961.110893666615,981.9300000164458,520.4229000087163,3061.9370254717037,1375002.6044557847,44887.31977851751,2146.9021627155635,223669767.51425162
23,24.0,41.72,988.0,6673251.0392931495,383561.2418767221,1075.67512,2143.3559178301925,2954.7622554049417,979.8247366229932,519.3071104101864,3061.9370254717037,1375002.6044557847,44887.31977851751,2146.9021627155635,223669767.51425162
24,25.0,41.72,988.0,5783630.180754937,380404.8135395739,1075.67512,2143.3559178301925,2942.152366142411,975.6431882080902,517.0908897502878,3061.9370254717037,1375002.6044557847,44887.31977851751,2146.9021627155635,223669767.51425162
25,26.0,41.72,988.0,4919763.122611968,350453.7380857747,1075.67512,2143.3559178301925,2934.9985326992883,973.2709151237055,515.8335850155639,3061.9370254717037,1375002.6044557847,44887.31977851751,2146.9021627155635,223669767.51425162
26,27.0,41.72,988.0,4065519.048307566,310490.76333142817,1075.67512,2143.3559178301925,2932.3254816330195,972.3845082555404,515.3637893754365,3061.9370254717037,1375002.6044557847,44887.31977851751,2146.9021627155635,223669767.51425162
27,28.0,41.72,988.0,3224076.3280646876,257209.0643721223,1075.67512,2143.3559178301925,2928.769549949263,971.2053305335045,514.7388251827574,3061.9370254717037,1375002.6044557847,44887.31977851751,2146.9021627155635,223669767.51425162
28,29.0,41.72,988.0,2398588.409415992,187327.74625092745,1075.67512,2143.3559178301925,2924.337660617545,969.7356776742095,513.959909167331,3061.9370254717037,1375002.6044557847,44887.31977851751,2146.9021627155635,223669767.51425162
