,t,P_dist,W_dot_gen,m_ch,m_dh,w_dot,v_dot,m_dot_cs,m_dot_hpt,m_dot_e,m_dot_ds,M_cm_max,M_dm_max,V_dot_max,C_desal
0,1.0,0.0012599999999999998,889.2,1050089.6170042797,80322.53656372987,777.9437069856112,1559.681411406093,2403.3439007139414,717.272674037157,380.15451723969323,2228.1163020087047,1695696.9205189063,50048.2469436769,1927.3586707834784,202893506.26223004
1,2.0,0.0012599999999999998,889.2,2141407.3990812954,122040.10198947042,777.9437069856112,1559.681411406093,2391.891632638181,713.8547699477544,378.3430280723099,2228.1163020087047,1695696.9205189063,50048.2469436769,1927.3586707834784,202893506.26223004
2,3.0,0.0012599999999999998,889.2,3248075.1409015544,149384.36819581315,777.9437069856112,1559.681411406093,2387.6277549317247,712.5822250725209,377.6685792884361,2228.1163020087047,1695696.9205189063,50048.2469436769,1927.3586707834784,202893506.26223004
3,4.0,0.0012599999999999998,889.2,4364942.956403533,167177.55325669423,777.9437069856111,1559.681411406093,2384.794401131247,711.7366168945326,377.2204069541023,2228.1163020087047,1695696.9205189063,50048.2469436769,1927.3586707834784,202893506.26223004
4,5.0,0.0012599999999999998,889.2,5489443.453526041,177823.69567946345,777.9437069856111,1559.681411406093,2382.674211792211,711.1038510734516,376.88504106892935,2228.1163020087047,1695696.9205189063,50048.2469436769,1927.3586707834784,202893506.26223004
5,6.0,0.0012599999999999998,889.2,6621561.788843941,181336.69445763435,777.9437069856111,1559.681411406093,2380.558145626824,710.4723158044309,376.5503273763484,2228.1163020087047,1695696.9205189063,50048.2469436769,1927.3586707834784,202893506.26223004
6,7.0,0.0012599999999999998,889.2,7758750.457980065,180101.96579348296,777.9437069856111,1559.681411406093,2379.149719566207,710.0519741602815,376.3275463049492,2228.1163020087047,1695696.9205189063,50048.2469436769,1927.3586707834784,202893506.26223004
7,8.0,0.0012599999999999998,889.2,8903532.322314292,171757.16854031663,777.9437069856111,1559.681411406093,2377.0404986778553,709.422481849059,375.9939153800013,2228.1163020087047,1695696.9205189063,50048.2469436769,1927.3586707834784,202893506.26223004
8,9.0,0.0012599999999999998,889.2,10053368.131665062,158679.98988831975,777.9437069856111,1559.681411406093,2375.636625062138,709.0034988720258,375.7718544021737,2228.1163020087047,1695696.9205189063,50048.2469436769,1927.3586707834784,202893506.26223004
9,10.0,0.0012599999999999998,889.2,11208251.352753393,140876.54742840398,777.9437069856111,1559.681411406093,2374.234566246148,708.5850575179592,375.5500804845184,2228.1163020087047,1695696.9205189063,50048.2469436769,1927.3586707834784,202893506.26223004
10,11.0,0.0012599999999999998,889.2,12365655.83368849,120712.26345532294,777.9437069856111,1559.681411406093,2373.534216288714,708.3760396214437,375.4393009993652,2228.1163020087047,1695696.9205189063,50048.2469436769,1927.3586707834784,202893506.26223004
11,12.0,0.0012599999999999998,889.2,13528097.950170396,95830.8698426187,777.9437069856111,1559.681411406093,2372.134873081267,707.9584087347432,375.21795662941395,2228.1163020087047,1695696.9205189063,50048.2469436769,1927.3586707834784,202893506.26223004
12,13.0,0.0012599999999999998,889.2,14693056.445505165,68593.20515125617,777.9437069856111,1559.681411406093,2371.4358789554717,707.749795483183,375.107391606087,2228.1163020087047,1695696.9205189063,50048.2469436769,1927.3586707834784,202893506.26223004
13,14.0,0.0012599999999999998,889.2,15863042.828571353,36647.55841863621,777.9437069856111,1559.681411406093,2370.039243474522,707.3329727114697,374.8864755370789,2228.1163020087047,1695696.9205189063,50048.2469436769,1927.3586707834784,202893506.26223004
14,15.0,0.0012599999999999998,889.2,17038050.616535258,0.0,777.9437069856111,1559.681411406093,2368.644408780712,706.9166873806971,374.6658443117695,2228.1163020087047,1695696.9205189063,50048.2469436769,1927.3586707834784,202893506.26223004
15,16.0,0.0012599999999999998,889.2,17317755.784022875,0.0,866.8637069856111,1715.5656373948411,2617.339581135236,781.1392117734279,414.0037822399168,2450.8080534212017,1695696.9205189063,50048.2469436769,1927.3586707834784,202893506.26223004
16,17.0,0.0012599999999999998,889.2,16645045.996475676,0.0,955.7837069856113,1888.9743728629107,2881.899290867129,860.0964722743149,455.8511303053869,2698.534818375587,1695696.9205189063,50048.2469436769,1927.3586707834784,202893506.26223004
17,18.0,0.0012599999999999998,889.2,15797206.776810918,0.0,968.1076080000001,1920.8606564688178,2930.546355344229,874.6150811222548,463.54599299479503,2744.0866520983113,1695696.9205189063,50048.2469436769,1927.3586707834784,202893506.26223004
18,19.0,0.0012599999999999998,889.2,14878450.993925812,36625.66803888747,968.1076080000001,1926.6509669307186,2950.245400683215,880.4942176545155,466.6619353568933,2752.358524186741,1695696.9205189063,50048.2469436769,1927.3586707834784,202893506.26223004
19,20.0,0.0012599999999999998,889.2,13914030.001220783,116011.0394019014,968.1076080000001,1926.6509669307186,2962.930181188749,884.279962353839,468.6683800475347,2752.358524186741,1695696.9205189063,50048.2469436769,1927.3586707834784,202893506.26223004
20,21.0,0.0012599999999999998,889.2,12936484.150921796,207686.18276207132,968.1076080000001,1926.6509669307186,2966.5759749648487,885.3680414464708,469.2450619666295,2752.358524186741,1695696.9205189063,50048.2469436769,1927.3586707834784,202893506.26223004
21,22.0,0.0012599999999999998,889.2,11965505.066383732,293212.37910450145,968.1076080000001,1926.6509669307186,2964.751873364592,884.82364235646,468.95653044892384,2752.358524186741,1695696.9205189063,50048.2469436769,1927.3586707834784,202893506.26223004
22,23.0,0.0012599999999999998,889.2,11007633.508758388,366465.0314446038,968.1076080000001,1926.6509669307186,2961.1108936666146,883.7370000148011,468.38061000784455,2752.358524186741,1695696.9205189063,50048.2469436769,1927.3586707834784,202893506.26223004
23,24.0,0.0012599999999999998,889.2,10072617.04887507,418316.77042534587,968.1076080000001,1926.6509669307184,2954.762255404941,881.8422629606939,467.3763993691678,2752.358524186741,1695696.9205189063,50048.2469436769,1927.3586707834784,202893506.26223004
24,25.0,0.0012599999999999998,889.2,9182996.190336859,427661.2603779654,968.1076080000001,1926.6509669307184,2942.1523661424108,878.0788693872811,465.381800775259,2752.358524186741,1695696.9205189063,50048.2469436769,1927.3586707834784,202893506.26223004
25,26.0,0.0012599999999999998,889.2,8319129.132193893,412890.5679255985,968.1076080000001,1926.6509669307184,2934.998532699287,875.9438236113348,464.25022651400747,2752.358524186741,1695696.9205189063,50048.2469436769,1927.3586707834784,202893506.26223004
26,27.0,0.0012599999999999998,889.2,7464885.057889491,389109.16610273905,968.1076080000001,1926.6509669307184,2932.3254816330195,875.1460574299864,463.8274104378928,2752.358524186741,1695696.9205189063,50048.2469436769,1927.3586707834784,202893506.26223004
27,28.0,0.0012599999999999998,889.2,6623442.337646613,353340.91249541566,968.1076080000001,1926.6509669307184,2928.7695499492625,874.0847974801541,463.2649426644817,2752.358524186741,1695696.9205189063,50048.2469436769,1927.3586707834784,202893506.26223004
28,29.0,0.0012599999999999998,889.2,5797954.418997921,302633.0016423911,968.1076080000001,1926.6509669307184,2924.3376606175443,872.7621099067884,462.56391825059785,2752.358524186741,1695696.9205189063,50048.2469436769,1927.3586707834784,202893506.26223004
29,30.0,0.0012599999999999998,889.2,4985192.987414721,240008.34249400534,968.1076080000001,1926.6509669307184,2920.802525321574,871.7070565929157,462.00473999424537,2752.358524186741,1695696.9205189063,50048.2469436769,1927.3586707834784,202893506.26223004
30,31.0,0.0012599999999999998,889.2,4169253.0388155933,180359.96321267448,968.1076080000001,1926.6509669307184,2921.685446714888,871.9705625308544,462.14439814135284,2752.358524186741,1695696.9205189063,50048.2469436769,1927.3586707834784,202893506.26223004
31,32.0,0.0012599999999999998,889.2,4259777.7444673795,0.0,879.1876080000002,1785.0802223691571,2669.8897094229674,796.8226813870522,422.31602113513765,2550.1146033845102,1695696.9205189063,50048.2469436769,1927.3586707834784,202893506.26223004
32,33.0,0.0012599999999999998,889.2,5260168.809117077,427661.2603779654,790.2676080000001,1501.1920744287877,2417.1490541457692,721.3927915594971,382.3381795265335,2144.5601063268396,1695696.9205189063,50048.2469436769,1927.3586707834784,202893506.26223004
