,t,C_dtes,W_dot_gen,m_ch,m_dh,w_dot,v_dot,m_dot_cs,m_dot_hpt,m_dot_e,m_dot_ds,M_cm_max,M_dm_max,V_dot_max,C_desal
0,1.0,28.0,592.8,681348.2349323927,45713.557176399976,542.8098215382499,1086.069526784207,2505.7720624005765,498.56142163473356,264.2375534664088,1551.5278954060102,1312404.4807132091,8814.79508817461,1292.6562947554323,142829132.385382
1,2.0,28.0,592.8,1405846.8663353669,64490.515591561794,542.8098215382499,1086.069526784207,2493.7858411587486,496.1765808138054,262.9735878313169,1551.5278954060102,1312404.4807132091,8814.79508817461,1292.6562947554323,142829132.385382
2,3.0,28.0,592.8,2146411.1375154126,73238.51186699979,542.80982153825,1086.069526784207,2489.323163442895,495.2886632814413,262.50299153916393,1551.5278954060102,1312404.4807132091,8814.79508817461,1292.6562947554323,142829132.385382
3,4.0,28.0,592.8,2897651.052945433,75322.24618425965,542.8098215382497,1086.069526784207,2486.357706706792,494.6986406100531,262.1902795233281,1551.5278954060102,1312404.4807132091,8814.79508817461,1292.6562947554323,142829132.385382
4,5.0,28.0,592.8,3656879.517889562,72419.1351757152,542.8098215382497,1086.069526784207,2484.138665175094,494.2571285837557,261.9562781493905,1551.5278954060102,1312404.4807132091,8814.79508817461,1292.6562947554323,142829132.385382
5,6.0,28.0,592.8,4424080.996859419,64538.87685694359,542.8098215382497,1086.069526784207,2481.923939056836,493.8164751745256,261.72273184249855,1551.5278954060102,1312404.4807132091,8814.79508817461,1292.6562947554323,142829132.385382
6,7.0,28.0,592.8,5196589.2100511,53345.89415652584,542.8098215382497,1086.069526784207,2480.4498462174406,493.52318200845576,261.5672864644816,1551.5278954060102,1312404.4807132091,8814.79508817461,1292.6562947554323,142829132.385382
7,8.0,28.0,592.8,5977044.645310435,75322.24618425965,542.8098215382497,1078.655285950555,2478.2422845319807,493.08395407197906,261.3344956581489,1540.9361227865072,1312404.4807132091,8814.79508817461,1292.6562947554323,142829132.385382
8,9.0,28.0,592.8,7003172.374982001,72322.65722363784,526.8450720000001,1053.691578243135,2409.999980528584,479.506110895386,254.13823877455457,1505.2736832044786,1312404.4807132091,8814.79508817461,1292.6562947554323,142829132.385382
9,10.0,28.0,592.8,8034427.475650489,66122.31122389859,526.8450720000001,1053.6915782431352,2408.5757108072166,479.22273079560307,253.98804732166963,1505.2736832044789,1312404.4807132091,8814.79508817461,1292.6562947554323,142829132.385382
10,11.0,28.0,592.8,9068243.777046429,58323.137820810065,526.8450720000001,1053.6915782431352,2407.864266160702,479.08117807430705,253.91302437938273,1505.2736832044789,1312404.4807132091,8814.79508817461,1292.6562947554323,142829132.385382
11,12.0,28.0,592.8,10107177.518377678,47329.40683547583,526.8450720000001,1053.6915782431352,2406.4427550675605,478.7983468455211,253.76312382812614,1505.2736832044789,1312404.4807132091,8814.79508817461,1292.6562947554323,142829132.385382
12,13.0,28.0,592.8,11148667.50211955,34739.94367191335,526.8450720000001,1053.6915782431352,2405.732687731276,478.6570681610205,253.68824612534087,1505.2736832044789,1312404.4807132091,8814.79508817461,1292.6562947554323,142829132.385382
13,14.0,28.0,592.8,12195265.023560002,18962.104389066684,526.8450720000001,1053.6915782431352,2404.313927259449,478.37478421013486,253.53863563137148,1505.2736832044789,1312404.4807132091,8814.79508817461,1292.6562947554323,142829132.385382
14,15.0,28.0,592.8,13246963.49716664,0.0,526.8450720000001,1053.6915782431352,2402.8969961021753,478.09286422917205,253.38921804146122,1505.2736832044789,1312404.4807132091,8814.79508817461,1292.6562947554323,142829132.385382
15,16.0,28.0,592.8,13403279.80302852,0.0,586.125072,1158.6875847293088,2651.614264920163,527.5789435847736,279.61684009993,1655.2679781847269,1312404.4807132091,8814.79508817461,1292.6562947554323,142829132.385382
16,17.0,28.0,592.8,12606379.99973556,0.0,645.405072,1274.390653888761,2916.3965174631744,580.2613955253634,307.5385396284426,1820.5580769839446,1312404.4807132091,8814.79508817461,1292.6562947554323,142829132.385382
17,18.0,28.0,592.8,11758540.780070802,0.0,645.405072,1280.5737709792118,2930.5463553442296,583.0767207481697,309.03066199652994,1829.391101398874,1312404.4807132091,8814.79508817461,1292.6562947554323,142829132.385382
18,19.0,28.0,592.8,10839784.997185694,0.0,645.405072,1289.181749736631,2950.2454006832154,586.9961451030102,311.1079569045954,1841.688213909473,1312404.4807132091,8814.79508817461,1292.6562947554323,142829132.385382
19,20.0,28.0,592.8,9875364.004480667,16780.9152204514,645.405072,1291.4617185043,2962.9301811887485,589.519974902559,312.4455866983563,1844.945312149,1312404.4807132091,8814.79508817461,1292.6562947554323,142829132.385382
20,21.0,28.0,592.8,8897818.154181678,41755.01177234089,645.405072,1291.4617185043,2966.5759749648496,590.2453609643137,312.83004131108623,1844.9453121490003,1312404.4807132091,8814.79508817461,1292.6562947554323,142829132.385382
21,22.0,28.0,592.8,7926839.069643611,62629.81031241361,645.405072,1291.4617185043,2964.751873364593,589.8824282376399,312.6376869659492,1844.9453121490003,1312404.4807132091,8814.79508817461,1292.6562947554323,142829132.385382
