,t,C_cs,W_dot_gen,m_ch,m_dh,w_dot,v_dot,m_dot_cs,m_dot_hpt,m_dot_e,m_dot_ds,M_cm_max,M_dm_max,V_dot_max,C_desal
0,1.0,41.72,494.0,313218.4563883297,93930.4726243699,472.45866534123644,931.4378432929851,2608.0303342183715,432.42271533959365,229.18403912998465,1330.6254904185503,1120484.7429882616,54476.98718690353,1064.0552690490956,121195721.20677058
1,2.0,41.72,494.0,671506.3523847982,164415.47872511856,472.45866534123644,931.4378432929851,2595.5110454383325,430.34696308420143,228.08389043462677,1330.6254904185503,1120484.7429882616,54476.98718690353,1064.0552690490956,121195721.20677058
2,3.0,41.72,494.0,1046574.3811476622,226171.33166894037,472.45866534123644,931.4378432929851,2590.849897447668,429.57412457681227,227.6742860257105,1330.6254904185503,1120484.7429882616,54476.98718690353,1064.0552690490956,121195721.20677058
3,4.0,41.72,494.0,1432792.8359356932,282126.6478772238,472.45866534123644,931.4378432929851,2587.7525568851215,429.0605721081869,227.40210321733906,1330.6254904185503,1120484.7429882616,54476.98718690353,1064.0552690490956,121195721.20677058
4,5.0,41.72,494.0,1827355.1178801768,333741.4415057646,472.45866534123644,931.4378432929851,2585.43482711944,428.67628248335023,227.19842971617564,1330.6254904185503,1120484.7429882616,54476.98718690353,1064.0552690490956,121195721.20677058
5,6.0,41.72,494.0,2230245.0005773883,381024.1536536645,472.45866534123644,931.4378432929851,2583.121604688137,428.29274019405847,226.995152302851,1330.6254904185503,1120484.7429882616,54476.98718690353,1064.0552690490956,121195721.20677058
6,7.0,41.72,494.0,2638677.625800453,425423.48882883973,472.4586653412371,931.4378432929851,2581.5819539865006,428.0374594450807,226.85985350589277,1330.6254904185503,1120484.7429882616,54476.98718690353,1064.0552690490956,121195721.20677058
7,8.0,41.72,494.0,3055410.912763089,465504.756403638,472.4586653412371,931.4378432929851,2579.2762146143978,427.6551578793863,226.65723367607475,1330.6254904185503,1120484.7429882616,54476.98718690353,1064.0552690490956,121195721.20677058
8,9.0,41.72,494.0,4201942.8840107545,405373.1924738623,432.3737989248036,877.1034514855855,2376.554357868556,394.0429967773594,208.8427882920005,1253.0049306936937,1120484.7429882616,54476.98718690353,1064.0552690490956,121195721.20677058
9,10.0,41.72,494.0,5353524.40244622,342614.81555106025,432.3737989248036,877.1034514855855,2375.151705871945,393.8104310065196,208.7195284334554,1253.0049306936937,1120484.7429882616,54476.98718690353,1064.0552690490956,121195721.20677058
10,11.0,41.72,494.0,6507628.247418705,278544.30510941613,432.3737989248036,877.1034514855855,2374.4510596116615,393.69426082460524,208.6579582370408,1253.0049306936937,1120484.7429882616,54476.98718690353,1064.0552690490956,121195721.20677058
11,12.0,41.72,494.0,7666771.85925214,211852.0694754338,432.3737989248036,877.1034514855855,2373.051124372509,393.4621455039085,208.53493711707154,1253.0049306936937,1120484.7429882616,54476.98718690353,1064.0552690490956,121195721.20677058
12,13.0,41.72,494.0,8828432.914563654,143850.24052714263,432.3737989248036,877.1034514855855,2372.351834517487,393.34620021985614,208.47348611652376,1253.0049306936937,1120484.7429882616,54476.98718690353,1064.0552690490956,121195721.20677058
13,14.0,41.72,494.0,9995123.984796638,73231.75941987243,432.3737989248036,877.1034514855855,2370.9546081504122,393.1145340418722,208.3507030421923,1253.0049306936937,1120484.7429882616,54476.98718690353,1064.0552690490956,121195721.20677058
14,15.0,41.72,494.0,11166838.584374644,0.0,432.3737989248036,877.1034514855855,2369.5591833323506,392.8831665685106,208.22807828131064,1253.0049306936937,1120484.7429882616,54476.98718690353,1064.0552690490956,121195721.20677058
15,16.0,41.72,494.0,11443248.439029055,0.0,481.7737989248036,953.4253465592225,2618.2549458111266,434.1180001874045,230.0825400993244,1362.036209370318,1120484.7429882616,54476.98718690353,1064.0552690490956,121195721.20677058
16,17.0,41.72,494.0,10767221.942443047,0.0,531.1737989248036,1049.7656971883275,2882.820598933465,477.98413034997475,253.33158908548663,1499.665281697611,1120484.7429882616,54476.98718690353,1064.0552690490956,121195721.20677058
17,18.0,41.72,494.0,10040887.164469589,9840.791794727556,531.1737989248036,1052.940967229824,2896.7951215410903,480.30116667132376,254.55961833580162,1504.2013817568916,1120484.7429882616,54476.98718690353,1064.0552690490956,121195721.20677058
18,19.0,41.72,494.0,9244514.473390121,56115.84062455967,531.1737989248022,1052.940967229824,2916.250097403871,483.52688585835585,256.2692495049286,1504.2013817568916,1120484.7429882616,54476.98718690353,1064.0552690490956,121195721.20677058
19,20.0,41.72,494.0,8403042.360509906,125851.95294349454,531.1737989248022,1052.940967229824,2928.777714570756,485.60401899632717,257.3701300680534,1504.2013817568916,1120484.7429882616,54476.98718690353,1064.0552690490956,121195721.20677058
20,21.0,41.72,494.0,7548608.005891588,202331.12236239016,531.1737989248022,1052.940967229824,2932.378337275774,486.20101782206507,257.6865394456945,1504.2013817568916,1120484.7429882616,54476.98718690353,1064.0552690490956,121195721.20677058
21,22.0,41.72,494.0,6700659.055371631,275436.5350627126,531.1737989248022,1052.940967229824,2930.57683613734,485.9023211375411,257.5282302028968,1504.2013817568916,1120484.7429882616,54476.98718690353,1064.0552690490956,121195721.20677058
22,23.0,41.72,494.0,5865655.230634149,341807.7945138303,531.1737989248022,1052.940967229824,2926.9809678644306,485.30611061722095,257.21223862712714,1504.2013817568916,1120484.7429882616,54476.98718690353,1064.0552690490956,121195721.20677058
23,24.0,41.72,494.0,5053223.330944873,396436.9662511293,531.1737989248022,1052.940967229824,2920.710988684373,484.2665209366141,256.66125609640545,1504.2013817568916,1120484.7429882616,54476.98718690353,1064.0552690490956,121195721.20677058
24,25.0,41.72,494.0,4285624.585007368,427743.5891709905,531.1737989248022,1052.940967229824,2908.257334864437,482.20165124163407,255.56687515806607,1504.2013817568916,1120484.7429882616,54476.98718690353,1064.0552690490956,121195721.20677058
25,26.0,41.72,494.0,3543460.5520949103,445818.8802182693,531.1737989248022,1052.940967229824,2901.1921368019234,481.0302108291054,254.94601173942587,1504.2013817568916,1120484.7429882616,54476.98718690353,1064.0552690490956,121195721.20677058
26,27.0,41.72,494.0,2810800.275079537,458950.24490056373,531.1737989248022,1052.940967229824,2898.552204608289,480.59249864742327,254.71402428313434,1504.2013817568916,1120484.7429882616,54476.98718690353,1064.0552690490956,121195721.20677058
27,28.0,41.72,494.0,2090782.7444507144,465504.756403638,531.1737989248022,1052.940967229824,2895.0403306120247,480.0102147416457,254.40541381307224,1504.2013817568916,1120484.7429882616,54476.98718690353,1064.0552690490956,121195721.20677058
28,29.0,41.72,494.0,1386522.3367975987,463862.29225208703,531.1737989248022,1052.940967229824,2890.6633520076616,479.284492748213,254.02078115655289,1504.2013817568916,1120484.7429882616,54476.98718690353,1064.0552690490956,121195721.20677058
29,30.0,41.72,494.0,694830.7361306413,455681.4387618201,531.1737989248022,1052.940967229824,2887.1720167337294,478.70561425147673,253.7139755532827,1504.2013817568916,1120484.7429882616,54476.98718690353,1064.0552690490956,121195721.20677058
