,t,P_dist,W_dot_gen,m_ch,m_dh,w_dot,v_dot,m_dot_cs,m_dot_hpt,m_dot_e,m_dot_ds,M_cm_max,M_dm_max,V_dot_max,C_desal
0,1.0,0.00357,494.0,607602.7236035632,68174.77392525226,456.37148076985727,906.6684902344679,2526.2569266585847,418.86433050195257,221.99809516603486,1295.2407003349542,1270435.3168785674,31503.336013587035,1071.5789497842266,121907716.60756451
1,2.0,0.00357,494.0,1258740.2755430136,113702.39782522991,456.37148076985727,906.6684902344679,2514.163918787504,416.8592574659432,220.9354064569499,1295.2407003349542,1270435.3168785674,31503.336013587035,1071.5789497842266,121907716.60756451
2,3.0,0.00357,494.0,1926086.597899641,150798.09562386852,456.37148076985727,906.6684902344679,2509.661482560515,416.11273405577685,220.53974904956175,1295.2407003349542,1270435.3168785674,31503.336013587035,1071.5789497842266,121907716.60756451
3,4.0,0.00357,494.0,2604203.6750537017,182290.76455786452,456.37148076985727,906.6684902344679,2506.6696062278907,415.6166680128558,220.2768340468136,1295.2407003349542,1270435.3168785674,31503.336013587035,1071.5789497842266,121907716.60756451
4,5.0,0.00357,494.0,3290380.4726320403,209590.705402934,456.37148076985727,906.6684902344679,2504.4307949989247,415.2454634229167,220.08009561414588,1295.2407003349542,1270435.3168785674,31503.336013587035,1071.5789497842266,121907716.60756451
5,6.0,0.00357,494.0,3984601.3167388123,232706.07183934562,456.37148076985727,906.6684902344679,2502.196337629915,414.8749807217992,219.8837397825536,1295.2407003349542,1270435.3168785674,31503.336013587035,1071.5789497842266,121907716.60756451
6,7.0,0.00357,494.0,4684176.173375431,253036.24008765165,456.37148076985727,906.6684902344679,2500.70911192718,414.6283922645019,219.753047900186,1295.2407003349542,1270435.3168785674,31503.336013587035,1071.5789497842266,121907716.60756451
7,8.0,0.00357,494.0,5391769.054798878,269195.3706359205,456.37148076985727,906.6684902344679,2498.481882819728,414.25910804042996,219.5573272614279,1295.2407003349542,1270435.3168785674,31503.336013587035,1071.5789497842266,121907716.60756451
8,9.0,0.00357,494.0,6437511.802024488,237190.17433341406,437.95196875541484,881.8294151693225,2404.5513645413494,398.6850216372651,211.30306146775052,1259.7563073847464,1270435.3168785674,31503.336013587035,1071.5789497842266,121907716.60756451
9,10.0,0.00357,494.0,7488369.241994479,202524.27582205832,437.95196875541484,881.8294151693225,2403.1306165567994,398.4494554733169,211.17821140085798,1259.7563073847464,1270435.3168785674,31503.336013587035,1071.5789497842266,121907716.60756451
10,11.0,0.00357,494.0,8541781.549709668,166529.31560696661,437.9519687554143,881.8294151693225,2402.4209310720257,398.331786548866,211.115846870899,1259.7563073847464,1270435.3168785674,31503.336013587035,1071.5789497842266,121907716.60756451
11,12.0,0.00357,494.0,9600298.643663762,127878.8066227911,437.9519687554143,881.8294151693225,2401.002934894548,398.0966766464385,210.9912386226124,1259.7563073847464,1270435.3168785674,31503.336013587035,1071.5789497842266,121907716.60756451
12,13.0,0.00357,494.0,10661365.659306446,87901.80891127419,437.9519687554143,881.8294151693225,2400.2946233143844,397.97923552131726,210.92899482629815,1259.7563073847464,1270435.3168785674,31503.336013587035,1071.5789497842266,121907716.60756451
13,14.0,0.00357,494.0,11727527.583436195,45274.40091258753,437.9519687554143,881.8294151693225,2398.8793709568663,397.7445805561126,210.8046276947397,1259.7563073847464,1270435.3168785674,31503.336013587035,1071.5789497842266,121907716.60756451
14,15.0,0.00357,494.0,12798777.846804406,0.0,437.9519687554143,881.8294151693225,2397.4659433906263,397.5102281491984,210.68042091907515,1259.7563073847464,1270435.3168785674,31503.336013587035,1071.5789497842266,121907716.60756451
15,16.0,0.00357,494.0,12974658.555355582,0.0,487.3519687554143,963.5940189029615,2646.1797086175807,438.7480467016449,232.53646475187182,1376.562884147088,1270435.3168785674,31503.336013587035,1071.5789497842266,121907716.60756451
16,17.0,0.00357,494.0,12197450.184871279,0.0,536.7519687554143,1060.000393917381,2910.926675016325,482.6442393900539,255.80144687672856,1514.28627702483,1270435.3168785674,31503.336013587035,1071.5789497842266,121907716.60756451
17,18.0,0.00357,494.0,11369405.21601922,0.0,536.7519687554143,1065.142591299035,2925.0479523407016,484.98560827850304,257.04237238760663,1521.632273284336,1270435.3168785674,31503.336013587035,1071.5789497842266,121907716.60756451
18,19.0,0.00357,494.0,10470586.82456372,24890.143184917048,536.7519687554143,1067.4616779806208,2944.7072363972156,488.2452026481743,258.7699574035324,1524.9452542580298,1270435.3168785674,31503.336013587035,1071.5789497842266,121907716.60756451
19,20.0,0.00357,494.0,9526195.395638548,73487.72834525444,536.7519687554143,1067.4616779806208,2957.366413472122,490.3441489882046,259.88239896374847,1524.9452542580298,1270435.3168785674,31503.336013587035,1071.5789497842266,121907716.60756451
20,21.0,0.00357,494.0,8568705.600817956,128899.18343132734,536.7519687554142,1067.4616779806208,2961.0048484430777,490.9474172512629,260.20213114316937,1524.9452542580298,1270435.3168785674,31503.336013587035,1071.5789497842266,121907716.60756451
21,22.0,0.00357,494.0,7617769.317155115,180901.45198662393,536.7519687554142,1067.4616779806208,2959.1844286770297,490.64558377641254,260.0421594014987,1524.9452542580298,1270435.3168785674,31503.336013587035,1071.5789497842266,121907716.60756451
22,23.0,0.00357,494.0,6679914.103687368,226098.8479715353,536.7519687554142,1067.4616779806208,2955.550798067282,490.0431120972328,259.7228494115334,1524.9452542580298,1270435.3168785674,31503.336013587035,1071.5789497842266,121907716.60756451
23,24.0,0.00357,494.0,5764867.856386153,259430.84564340953,536.7519687554142,1067.4616779806208,2949.214974132134,488.9926050712969,259.16608068778737,1524.9452542580298,1270435.3168785674,31503.336013587035,1071.5789497842266,121907716.60756451
24,25.0,0.00357,494.0,4895125.582267515,269195.3706359205,536.7519687554142,1067.4616779806208,2936.6305371369735,486.90605095991685,258.0602070087559,1524.9452542580298,1270435.3168785674,31503.336013587035,1071.5789497842266,121907716.60756451
25,26.0,0.00357,494.0,4051085.126119867,265589.6137240138,536.7519687554142,1067.4616779806208,2929.4911432561435,485.72230855963807,257.43282353660817,1524.9452542580298,1270435.3168785674,31503.336013587035,1071.5789497842266,121907716.60756451
