,t,C_ds,W_dot_gen,m_ch,m_dh,w_dot,v_dot,m_dot_cs,m_dot_hpt,m_dot_e,m_dot_ds,M_cm_max,M_dm_max,V_dot_max,C_desal
0,1.0,22.0,494.0,609904.2659983069,58937.099240489304,456.24570863653867,908.2319003270976,2525.6176093267113,418.7583289217619,221.9419143285338,1297.4741433244253,1271607.6539949148,22863.727749278944,1072.9193726325218,122034566.07615626
1,2.0,22.0,494.0,1263331.36250077,95233.28981935605,456.24570863653867,908.2319003270976,2513.5279341866676,416.7538084669804,220.8795184874996,1297.4741433244253,1271607.6539949148,22863.727749278944,1072.9193726325218,122034566.07615626
2,3.0,22.0,494.0,1932962.7624198925,123099.87806464545,456.24570863653867,908.2319003270976,2509.0267387931513,416.0074907923734,220.48397011995792,1297.4741433244253,1271607.6539949148,22863.727749278944,1072.9193726325218,122034566.07615626
3,4.0,22.0,494.0,2613361.9488072284,145364.9815928191,456.24570863653867,908.2319003270976,2506.0356869964257,415.51156146107246,220.2211275743684,1297.4741433244253,1271607.6539949148,22863.727749278944,1072.9193726325218,122034566.07615626
4,5.0,22.0,494.0,3301818.6344278483,163438.51251258515,456.24570863653867,908.2319003270976,2503.797492764963,415.1404591719894,220.0244433611544,1297.4741433244253,1271607.6539949148,22863.727749278944,1072.9193726325218,122034566.07615626
5,6.0,22.0,494.0,3998317.149705463,177328.62225713022,456.24570863653867,908.2319003270976,2501.5636511935704,414.77007857278153,219.8281416435742,1297.4741433244253,1271607.6539949148,22863.727749278944,1072.9193726325218,122034566.07615626
6,7.0,22.0,494.0,4700168.2019922,188434.30139071494,456.24570863653867,908.2319003270976,2500.0768353577027,414.5235580731845,219.6974857787878,1297.4741433244253,1271607.6539949148,22863.727749278944,1072.9193726325218,122034566.07615626
7,8.0,22.0,494.0,5410035.069365718,195370.09232709277,456.24570863653867,908.2319003270976,2497.850220055819,414.154375620732,219.50181907898798,1297.4741433244253,1271607.6539949148,22863.727749278944,1072.9193726325218,122034566.07615626
8,9.0,22.0,494.0,6454989.830622467,173912.0067697158,437.9955797624555,879.8582940303493,2404.7702495327,398.72131371602853,211.32229626949513,1256.9404200433562,1271607.6539949148,22863.727749278944,1072.9193726325218,122034566.07615626
9,10.0,22.0,494.0,7505059.793941778,149792.9540522853,437.9955797624555,879.8582940303493,2403.3493600708766,398.48572409453624,211.19743377010423,1256.9404200433562,1271607.6539949148,22863.727749278944,1072.9193726325218,122034566.07615626
