,t,C_ds,W_dot_gen,m_ch,m_dh,w_dot,v_dot,m_dot_cs,m_dot_hpt,m_dot_e,m_dot_ds,M_cm_max,M_dm_max,V_dot_max,C_desal
0,1.0,20.0,494.0,604468.0276648877,69837.28804961592,456.5427821529701,906.6623027462007,2527.1276755304384,419.0087044329632,222.07461334947052,1295.231861066001,1268838.596172593,33047.685926223145,1070.7342590856622,121827780.21557182
1,2.0,20.0,494.0,1252487.224687444,117018.9253496863,456.5427821529701,906.6623027462007,2515.0301284866414,417.0028787824747,221.01152575471158,1295.231861066001,1268838.596172593,33047.685926223145,1070.7342590856622,121827780.21557182
2,3.0,20.0,494.0,1916721.2761725243,155765.47158157825,456.5427821529701,906.6623027462007,2510.526002247052,416.2560751609058,220.6157198352801,1295.231861066001,1268838.596172593,33047.685926223145,1070.7342590856622,121827780.21557182
3,4.0,20.0,494.0,2591730.125313325,188906.8858231185,456.5427821529701,906.6623027462007,2507.5330028982544,415.7598229170436,220.3527061460331,1295.231861066001,1268838.596172593,33047.685926223145,1070.7342590856622,121827780.21557182
4,5.0,20.0,494.0,3274801.720135879,217853.99821367674,456.5427821529701,906.6623027462007,2505.293351319976,415.388478993552,220.15589386658257,1295.231861066001,1268838.596172593,33047.685926223145,1070.7342590856622,121827780.21557182
5,6.0,20.0,494.0,3965920.380861113,242614.96549404133,456.5427821529701,906.6623027462007,2503.058055235898,415.0178572298467,219.95946433181877,1295.231861066001,1268838.596172593,33047.685926223145,1070.7342590856622,121827780.21557182
6,7.0,20.0,494.0,4662395.063772334,264589.68914783746,456.5427821529706,906.6623027462007,2501.5702712953466,414.7711762143037,219.82872339358096,1295.231861066001,1268838.596172593,33047.685926223145,1070.7342590856622,121827780.21557182
7,8.0,20.0,494.0,5366890.781077235,282391.80948113766,456.5427821529706,906.6623027462007,2499.342206185991,414.4017533774985,219.6329292900742,1295.231861066001,1268838.596172593,33047.685926223145,1070.7342590856622,121827780.21557182
8,9.0,20.0,494.0,6413706.76354804,248500.5326610133,437.89257065483434,882.0875937096935,2404.253243639906,398.6355919017248,211.27686370791415,1260.1251338709908,1268838.596172593,33047.685926223145,1070.7342590856622,121827780.21557182
9,10.0,20.0,494.0,7465636.745072931,211948.91449503228,437.89257065483434,882.0875937096935,2402.8326883471073,398.4000576869028,211.1520305740585,1260.1251338709908,1268838.596172593,33047.685926223145,1070.7342590856622,121827780.21557182
10,11.0,20.0,494.0,8520121.247834006,174068.41488193814,437.89257065483434,882.0875937096935,2402.1230991148313,398.2824047215325,211.08967450241224,1260.1251338709908,1268838.596172593,33047.685926223145,1070.7342590856622,121827780.21557182
11,12.0,20.0,494.0,9579709.844487285,133532.72666380275,437.89257065483434,882.0875937096935,2400.7052952558856,398.0473267063498,210.9650831543654,1260.1251338709908,1268838.596172593,33047.685926223145,1070.7342590856622,121827780.21557182
12,13.0,20.0,494.0,10641848.01699099,91670.72962598223,437.89257065483434,882.0875937096935,2399.9970797418787,397.9299015094131,210.90284779998896,1260.1251338709908,1268838.596172593,33047.685926223145,1070.7342590856622,121827780.21557182
13,14.0,20.0,494.0,11709080.406974735,47158.6817681212,437.89257065483434,882.0875937096935,2398.5820193307563,397.69527836975146,210.77849753596828,1260.1251338709908,1268838.596172593,33047.685926223145,1070.7342590856622,121827780.21557182
14,15.0,20.0,494.0,12781400.446080886,0.0,437.89257065483434,882.0875937096935,2397.1687834634213,397.4609577473452,210.65430760609297,1260.1251338709908,1268838.596172593,33047.685926223145,1070.7342590856622,121827780.21557182
15,16.0,20.0,494.0,12958351.620486058,0.0,487.2925706548343,963.4857396929375,2645.8823569914707,438.6987445152838,232.51033459310042,1376.4081995613394,1268838.596172593,33047.685926223145,1070.7342590856622,121827780.21557182
16,17.0,20.0,494.0,12182220.666305881,0.0,536.6925706548343,1059.8914116590097,2910.6273927096236,482.59461708849585,255.77514705690282,1514.1305880842997,1268838.596172593,33047.685926223145,1070.7342590856622,121827780.21557182
17,18.0,20.0,494.0,11355258.73944273,0.0,536.6925706548343,1065.0330399942977,2924.7471073437823,484.9357268761446,257.0159352443566,1521.4757714204254,1268838.596172593,33047.685926223145,1070.7342590856622,121827780.21557182
18,19.0,20.0,494.0,10457531.22191178,26776.850013737567,536.6925706548341,1066.984474802809,2944.4042158626175,488.19496053225436,258.7433290820948,1524.2635354325844,1268838.596172593,33047.685926223145,1070.7342590856622,121827780.21557182
19,20.0,20.0,494.0,9514235.710119238,77258.51848755125,536.6925706548341,1066.984474802809,2957.061992046392,490.29367459847276,259.8556475371906,1524.2635354325844,1268838.596172593,33047.685926223145,1070.7342590856622,121827780.21557182
20,21.0,20.0,494.0,8557843.281923942,134553.30284994468,536.6925706548341,1066.984474802809,2960.7000243804896,490.8968761025977,260.1753443343768,1524.2635354325844,1268838.596172593,33047.685926223145,1070.7342590856622,121827780.21557182
21,22.0,20.0,494.0,7608003.639661105,188439.27794930525,536.6925706548341,1066.984474802809,2958.879806065918,490.5950760292738,260.01539029551515,1524.2635354325844,1268838.596172593,33047.685926223145,1070.7342590856622,121827780.21557182
22,23.0,20.0,494.0,6671243.620014651,235521.13351977617,536.6925706548341,1066.984474802809,2955.2465775613673,489.99267102087583,259.6961156410642,1524.2635354325844,1268838.596172593,33047.685926223145,1070.7342590856622,121827780.21557182
23,24.0,20.0,494.0,5757290.04244661,270738.90382711776,536.6925706548341,1066.984474802809,2948.911454761808,488.9422802462546,259.13940853051497,1524.2635354325844,1268838.596172593,33047.685926223145,1070.7342590856622,121827780.21557182
