,t,m_ch,m_dh,w_dot,v_dot,m_dot_cs,m_dot_hpt,m_dot_e,m_dot_ds,M_cm_max,M_dm_max,V_dot_max,C_desal
0,1.0,209467.31509169305,0.0,478.12834251291065,754.4402515561948,2636.8500956896596,437.20115650545864,231.71661294789308,1371.7095482839904,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
1,2.0,464544.9195877798,0.0,478.1283425129106,750.8153206134376,2624.1805708551065,435.1004944621002,230.6032620649131,1365.1187647517047,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
2,3.0,736604.0245944913,0.0,478.1283425129106,749.4656960559253,2619.463487379932,434.31838160932557,230.18874225294257,1362.664901919864,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
3,4.0,1019947.3648260441,0.0,478.1283425129106,748.568868301354,2616.328977595254,433.79866632282545,229.9132931510975,1361.0343060024616,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
4,5.0,1311734.661198495,0.0,478.12834251291065,747.8977750394139,2613.9834342227823,433.40976508162305,229.70717549326022,1359.8141364352978,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
5,6.0,1611949.4925852902,0.0,478.12834251291065,747.2279868656575,2611.642452274353,433.02162014426597,229.50145867646097,1358.5963397557407,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
6,7.0,1917773.5814400837,0.0,478.1283425129106,746.7821845866727,2610.084325199909,432.7632759327225,229.36453624434293,1357.7857901575865,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
7,8.0,2231997.9430180658,0.0,478.12834251291065,746.1145631153,2607.7509161101343,432.3763866081008,229.15948490229343,1356.571932936909,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
8,9.0,3414051.503519173,0.0,430.4078600118741,677.1428254375786,2366.6872497425998,392.4069875513953,207.9757034022395,1231.1687735228702,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
9,10.0,4601131.651673219,0.0,430.40786001187416,676.7433315216759,2365.2909753945614,392.1754792222873,207.8530039878123,1230.4424209485016,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
10,11.0,5790722.657723257,0.0,430.40786001187416,676.5437781621401,2364.593514867897,392.05983724879286,207.79171374186024,1230.0795966584365,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
11,12.0,6985330.515569071,0.0,430.40786001187416,676.1450580148402,2363.1999449246277,391.82877732169857,207.66925198050026,1229.3546509360729,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
12,13.0,8182444.370454468,0.0,430.40786001187416,675.945890977536,2362.503834635853,391.71335922348925,207.6080803884493,1228.9925290500653,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
13,14.0,9384565.369536763,0.0,430.40786001187416,675.5479423529774,2361.1129612478253,391.48274639692306,207.48585559036923,1228.2689860963226,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
14,15.0,10591687.056728456,0.0,430.40786001187416,675.1505068335027,2359.7238812174373,391.25243091681403,207.36378838591145,1227.5463760609139,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
15,16.0,10903526.84023218,0.0,479.80786001187414,746.3040802387314,2608.4132989085397,432.4862125424554,229.21769264750137,1356.9165095249662,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
16,17.0,10263160.316221442,0.0,529.2078600118741,821.981787025337,2872.91505099589,476.3417476369008,252.46112624755742,1494.512340046067,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
17,18.0,9572671.707898907,0.0,529.2078600118741,825.9652981301765,2886.8378521936115,478.6502083246699,253.68461041207507,1501.7550875094116,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
18,19.0,8812404.405315531,0.0,529.207860011874,831.511041234954,2906.2208228216227,481.86398873218354,255.38791402805728,1511.8382567908252,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
19,20.0,8007204.599383388,0.0,529.207860011874,835.0821043404821,2918.7020737518365,483.93343414747045,256.48472009815936,1518.3310988008766,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
20,21.0,7189090.526548317,0.0,529.207860011874,836.1084807636703,2922.2893701137605,484.5282234078554,256.7999584061634,1520.1972377521276,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
21,22.0,6377437.854541287,0.0,529.207860011874,835.5949533973459,2920.494536550416,484.23063223613434,256.6422350851512,1519.263551631538,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
22,23.0,5578682.396829851,0.0,529.207860011874,834.5699322500149,2916.9119770238676,483.6366283635528,256.327413032683,1517.3998768182087,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
23,24.0,4802415.322723327,0.0,529.207860011874,832.7826417362593,2910.665203800275,482.60088633094875,255.77846975540285,1514.1502577022895,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
24,25.0,4070815.4694070294,0.0,529.207860011874,829.232662271453,2898.2576424696567,480.54365897015714,254.68813925418328,1507.69574958446,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
25,26.0,3364556.1921455916,0.0,529.207860011874,827.2186904364113,2891.2185935655293,479.37655420124605,254.06957372666042,1504.0339826116567,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
26,27.0,2667765.496223353,0.0,529.207860011874,826.4661638918816,2888.5884320824184,478.94046204565024,253.83844488419464,1502.6657525306937,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
27,28.0,1983570.7543437313,0.0,529.207860011874,825.4650857544947,2885.089555959469,478.360333243515,253.53097661906298,1500.8456104627176,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
28,29.0,1315074.8164088763,0.0,529.207860011874,824.2174050024803,2880.728777085923,477.637297235554,253.14776753484364,1498.5771000045095,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
29,30.0,659101.1667749698,0.0,529.207860011874,823.222181535824,2877.2503636689926,477.06056123862646,252.84209745647203,1496.7676027924072,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
30,31.0,0.0,0.0,529.2078600118739,823.4707446080321,2878.1191184303993,477.20460453749575,252.91844040487277,1497.2195356509674,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
31,32.0,247210.58728965654,0.0,479.807860011874,751.4405609807139,2626.3658534124474,435.4628237666452,230.79529659632198,1366.2555654194798,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
32,33.0,1404033.3613498434,0.0,430.407860011874,679.1480716150126,2373.6958015317455,393.5690357666699,208.59158895633507,1234.814675663659,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
33,34.0,2888767.391464755,0.0,412.1845615117559,653.0869421182828,2282.6093415165433,378.46650653084737,200.5872484613491,1187.4308038514232,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
34,35.0,4373501.421579675,0.0,412.1845615117559,653.0869421182828,2282.6093415165433,378.46650653084737,200.5872484613491,1187.4308038514232,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
35,36.0,5863083.635546543,0.0,412.1845615117559,652.7016270525239,2281.2626237798886,378.2432149023569,200.46890389824915,1186.7302310045889,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
36,37.0,7352665.849513411,0.0,412.1845615117559,652.7016270525239,2281.2626237798886,378.2432149023569,200.46890389824915,1186.7302310045889,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
37,38.0,8834973.426786771,0.0,412.1845615117559,653.2797872876806,2283.283356194752,378.5782610812088,200.64647837304065,1187.7814314321465,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
38,39.0,10317281.00406013,0.0,412.1845615117559,653.2797872876806,2283.283356194752,378.5782610812088,200.64647837304065,1187.7814314321465,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
39,40.0,10903526.84023218,0.0,461.5845615117559,724.495339180809,2532.1893953895606,419.84795948956724,222.51941852947064,1317.2642530560163,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
40,41.0,10557461.158563027,0.0,510.984561511756,798.5918843561212,2791.164817012119,462.78720507844406,245.27721869157537,1451.9852442838567,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
41,42.0,9823284.049546089,0.0,529.8690594859481,829.4374926739489,2898.973546830946,480.6623590112458,254.7510502759603,1508.0681684980889,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
42,43.0,9041267.97705897,0.0,529.869059485948,833.2395500872436,2912.2621477948855,482.8656665558312,255.91880327459054,1514.9810001586247,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
43,44.0,8243200.475561958,0.0,529.8690594859479,834.5152561275528,2916.720878075411,483.60494333094186,256.3106199653992,1517.3004656864596,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
44,45.0,7432253.692343878,0.0,529.8690594859479,835.5388520626116,2920.2984563312634,484.1981212872861,256.6250042822616,1519.161549204748,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
45,46.0,6618081.774193753,0.0,529.8690594859479,835.7951734226033,2921.1943271457208,484.34666054509245,256.703730088899,1519.6275880410967,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
46,47.0,5816797.636762589,0.0,529.8690594859479,834.7709020197752,2917.614388057121,483.7530911524624,256.3891383108051,1517.7652763995911,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
47,48.0,5034781.5642754715,0.0,529.8690594859479,833.2395500872436,2912.262147794885,482.8656665558311,255.91880327459052,1514.9810001586247,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
48,49.0,4287893.403201042,0.0,529.8690594859479,830.4477183602992,2902.5043946246933,481.24778885475274,255.06132809301897,1509.9049424732711,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
49,50.0,3563227.7556315213,0.0,529.8690594859479,828.68155818281,2896.3314742066627,480.2242919368996,254.5188747265568,1506.6937421505636,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
50,51.0,2844892.7188451625,0.0,529.8690594859479,828.1784255078351,2894.5729712113407,479.9327245305727,254.36434400120356,1505.7789554687909,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
51,52.0,2132880.0209878683,0.0,529.8690594859479,827.6759502481107,2892.816765953267,479.64153809902473,254.21001519248313,1504.8653640874738,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
52,53.0,1424025.3957145866,0.0,529.8690594859479,827.4249587464395,2891.9395235688194,479.4960875155262,254.1329263832289,1504.4090159026173,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
53,54.0,712012.6978572933,0.0,529.8690594859479,827.6759502481107,2892.816765953267,479.64153809902473,254.21001519248313,1504.8653640874738,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
54,55.0,0.0,0.0,529.869059485948,827.6759502481108,2892.8167659532673,479.64153809902484,254.21001519248318,1504.865364087474,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
55,56.0,192474.14661697057,0.0,480.4690594859475,755.7908034387615,2641.5704202659713,437.9838067468274,232.13141757581852,1374.1650971613844,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
56,57.0,1288844.6023992356,0.0,431.06905948594743,683.952590111796,2390.4881121645017,396.35327353621204,210.0672349741924,1243.550163839629,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
57,58.0,2787794.5527202003,0.0,409.1308057039326,651.9571152807945,2278.6604747926394,377.8117673397956,200.24023669009168,1185.376573237808,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
58,59.0,4286744.503041167,0.0,409.13080570393254,651.9571152807944,2278.6604747926394,377.81176733979555,200.24023669009165,1185.3765732378079,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
59,60.0,5785694.4533621315,0.0,409.13080570393254,651.9571152807944,2278.6604747926394,377.81176733979555,200.24023669009165,1185.3765732378079,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
60,61.0,7287078.092695079,0.0,409.13080570393254,651.7636950083123,2277.984450067089,377.6996795148865,200.18083014288985,1185.0249000151132,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
61,62.0,8790893.833650226,0.0,409.13080570393254,651.5704008954846,2277.308866283144,377.58766480000395,200.1214623440021,1184.6734561736082,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
62,63.0,10297140.090390354,0.0,409.13080570393254,651.377232818919,2276.6337230095382,377.47572312364167,200.06213325553009,1184.3222414889435,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
63,64.0,10903526.84023218,0.0,458.5308057039325,722.894616577853,2526.5946971479557,418.9203343107499,222.02777718469747,1314.353848323369,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
64,65.0,10591919.78196137,0.0,507.93080570393244,795.8532450746637,2781.592977179244,461.20015261320947,244.43608088500102,1447.0059001357522,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
65,66.0,10218983.130137999,0.0,510.1219266752774,800.7274860470088,2798.6289753882884,464.02479483742786,245.93314126383677,1455.868156449107,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
66,67.0,9821539.666712165,0.0,510.1219266752774,802.6751934798307,2805.436423055639,465.1534991190558,246.5313545330996,1459.409442690601,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
67,68.0,9402546.911444614,0.0,510.12192667527717,804.3878485805027,2811.4223374561166,466.1459896299534,247.05737450387534,1462.5233610554594,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
68,69.0,8958804.525850762,0.0,510.12192667527717,806.3548543145853,2818.297234768977,467.28587735468705,247.66151499798414,1466.0997351174276,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
69,70.0,8505747.315918768,0.0,510.12192667527717,807.095160842139,2820.8846859740174,467.7148879613552,247.88889061951826,1467.445746985707,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
70,71.0,8055797.097387744,0.0,510.12192667527717,806.8482290770626,2820.0216328070806,467.571790011522,247.81304870610668,1466.9967801401137,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
71,72.0,7621351.116939688,0.0,510.12192667527717,805.6160116738246,2815.7149000062564,466.857715076296,247.4345889904369,1464.756384861499,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
72,73.0,7226978.041887518,0.0,510.12192667527717,802.4311707830376,2804.5835373962877,465.01208698597907,246.4564061025689,1458.9657650600682,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
73,74.0,6863198.378856365,0.0,510.12192667527717,799.9997236835411,2796.08536739045,463.6030536242397,245.70961842084705,1454.5449521518929,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
74,75.0,6514640.493757078,0.0,510.12192667527717,798.7899551302268,2791.857095742709,462.9019878877258,245.3380535804947,1452.3453729640485,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
75,76.0,6181254.7602465805,0.0,510.12192667527717,797.5841306884045,2787.642609190268,462.20320777966583,244.9677001232229,1450.152964888008,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
76,77.0,5853924.046322497,0.0,510.12192667527717,797.1029009451952,2785.9606593051544,461.9243332102855,244.81989660145132,1449.2780017185366,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
77,78.0,5529617.883980645,0.0,510.12192667527717,796.862521180857,2785.120506087866,461.7850321712008,244.74606705073643,1448.8409476015581,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
78,79.0,5208334.303648887,0.0,510.12192667527717,796.6222979505621,2784.2808999739514,461.64582184422284,244.67228557743812,1448.404178091931,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
79,80.0,4887050.72331713,0.0,510.12192667527717,796.6222979505621,2784.2808999739514,461.64582184422284,244.67228557743812,1448.404178091931,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
80,81.0,4568787.757346559,0.0,510.12192667527717,796.3822311014588,2783.441840429177,461.5067021407737,244.5985521346101,1447.9676929117431,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
81,82.0,4259574.847760923,0.0,510.12192667527717,795.6629673157682,2780.9279358778062,461.08988588754784,244.37763952040038,1446.659940574124,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
82,83.0,3956385.50600091,0.0,510.12192667527717,795.1842372379277,2779.254722592911,460.81245988429026,244.23060373867386,1445.7895222507775,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
83,84.0,3653196.1642408967,0.0,510.12192667527717,795.1842372379277,2779.254722592911,460.81245988429026,244.23060373867386,1445.7895222507775,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
84,85.0,3346996.0176031888,0.0,510.12192667527717,795.4235244668919,2780.091057281165,460.9511277947369,244.3040977312106,1446.2245899398033,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
85,86.0,3040795.870965462,0.0,510.12192667527717,795.4235244668919,2780.091057281165,460.9511277947369,244.3040977312106,1446.2245899398033,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
86,87.0,2734595.724327732,0.0,510.12192667527734,795.4235244668921,2780.0910572811663,460.9511277947371,244.30409773121067,1446.2245899398038,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
87,88.0,2428395.5776900016,0.0,510.12192667527734,795.4235244668921,2780.0910572811663,460.9511277947371,244.30409773121067,1446.2245899398038,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
88,89.0,2085912.4947834965,0.0,510.12192667527734,798.307153141305,2790.169650689159,462.62220219563903,245.1897671636887,1451.467551166009,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
89,90.0,1706861.1835955456,0.0,510.12192667527734,801.2134557311421,2800.327491878449,464.3064162216149,246.0824005974559,1456.7517376929854,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
90,91.0,1287868.4283279907,0.0,510.12192667527734,804.3878485805029,2811.422337456117,466.1459896299536,247.05737450387542,1462.5233610554596,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
91,92.0,859609.8453874756,0.0,510.12192667527734,805.1242610409494,2813.996178476384,466.57274360908997,247.28355411281768,1463.862292801726,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
92,93.0,428258.58294051286,0.0,510.12192667527734,805.3700553515172,2814.8552561170636,466.7151823994661,247.35904667171704,1464.309191548213,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
93,94.0,0.0,0.0,510.1219266752773,805.1242610409494,2813.9961784763836,466.5727436090899,247.28355411281765,1463.862292801726,1067637.0031060677,18078.221197581413,841.8087472796302,100163661.64536074
