"Time stamp","System power generated | (kW)","TES charge state | (MWht)","PPA price multiplier"
"Jan 1, 12:00 am",58124.9,711.756,1.36909
"Jan 1, 01:00 am",117224,476.943,1.36645
"Jan 1, 02:00 am",117215,242.245,1.32774
"Jan 1, 03:00 am",117305,7.78114,1.29172
"Jan 1, 04:00 am",-607.2,7.75996,1.2693
"Jan 1, 05:00 am",-607.2,7.7388,1.30059
"Jan 1, 06:00 am",-607.2,7.71766,1.39923
"Jan 1, 07:00 am",-607.2,7.69659,1.41072
"Jan 1, 08:00 am",-4849.68,9.3673,1.31695
"Jan 1, 09:00 am",86146.1,240.569,1.12297
"Jan 1, 10:00 am",104682,584.764,0.891319
"Jan 1, 11:00 am",102294,957.51,0.693978
"Jan 1, 12:00 pm",100608,1343.72,0.577203
"Jan 1, 01:00 pm",100613,1715.42,0.488429
"Jan 1, 02:00 pm",102625,2048.01,0.449778
"Jan 1, 03:00 pm",106784,2272.38,0.664847
"Jan 1, 04:00 pm",111917,2275.24,1.14956
"Jan 1, 05:00 pm",116376,2040.35,1.44199
"Jan 1, 06:00 pm",116944,1805.47,1.56749
"Jan 1, 07:00 pm",117149,1570.6,1.65046
"Jan 1, 08:00 pm",117144,1335.75,1.67107
"Jan 1, 09:00 pm",117200,1100.92,1.51307
"Jan 1, 10:00 pm",117224,866.129,1.521
"Jan 1, 11:00 pm",117216,631.386,1.44473
"Jan 2, 12:00 am",117206,396.72,1.46783
"Jan 2, 01:00 am",117223,162.189,1.42943
"Jan 2, 02:00 am",85790.9,0,1.39749
"Jan 2, 03:00 am",-607.2,0,1.39297
"Jan 2, 04:00 am",-607.2,0,1.38207
"Jan 2, 05:00 am",-607.2,0,1.41734
"Jan 2, 06:00 am",-607.2,0,1.47744
"Jan 2, 07:00 am",-607.2,0,1.91992
"Jan 2, 08:00 am",-4667.28,0,1.80997
"Jan 2, 09:00 am",80654.2,210.702,1.3813
"Jan 2, 10:00 am",105512,539.46,1.22043
"Jan 2, 11:00 am",103007,905.384,1.14103
"Jan 2, 12:00 pm",101343,1287.82,1.07193
"Jan 2, 01:00 pm",101352,1655.52,0.979698
"Jan 2, 02:00 pm",103642,1974.96,0.980964
"Jan 2, 03:00 pm",107554,2185.24,1.07836
