"Time stamp","System power generated | (kW)","TES charge state | (MWht)","PPA price multiplier"
"Jan 1, 12:00 am",59186.2,587.074,0.7
"Jan 1, 01:00 am",119364,348.055,0.7
"Jan 1, 02:00 am",119353,109.188,0.7
"Jan 1, 03:00 am",58849.4,0,0.7
"Jan 1, 04:00 am",-618.288,0,0.7
"Jan 1, 05:00 am",-618.288,0,0.7
"Jan 1, 06:00 am",-618.288,0,0.8
"Jan 1, 07:00 am",-618.288,0,0.8
"Jan 1, 08:00 am",-4853.14,0.410344,1.1
"Jan 1, 09:00 am",87933.6,225.936,1.1
"Jan 1, 10:00 am",106859,564.073,1.1
"Jan 1, 11:00 am",104461,930.604,1.1
"Jan 1, 12:00 pm",102761,1310.51,1.1
"Jan 1, 01:00 pm",102748,1675.97,1.1
"Jan 1, 02:00 pm",104752,2002.52,1.1
"Jan 1, 03:00 pm",108897,2221.45,1.1
"Jan 1, 04:00 pm",113991,2220.25,1.1
"Jan 1, 05:00 pm",118508,1981.14,1.1
"Jan 1, 06:00 pm",119083,1742.03,1.1
"Jan 1, 07:00 pm",119291,1502.94,1.1
"Jan 1, 08:00 pm",119286,1263.86,1.1
"Jan 1, 09:00 pm",119344,1024.81,0.8
"Jan 1, 10:00 pm",119368,785.789,0.8
"Jan 1, 11:00 pm",119360,546.819,0.8
"Jan 2, 12:00 am",119350,307.931,0.7
"Jan 2, 01:00 am",119365,69.211,0.7
"Jan 2, 02:00 am",37380.5,0,0.7
"Jan 2, 03:00 am",-618.288,0,0.7
"Jan 2, 04:00 am",-618.288,0,0.7
"Jan 2, 05:00 am",-618.288,0,0.7
"Jan 2, 06:00 am",-618.288,0,0.8
"Jan 2, 07:00 am",-618.288,0,0.8
"Jan 2, 08:00 am",-4672.38,0,1.1
"Jan 2, 09:00 am",81943.3,205.519,1.1
"Jan 2, 10:00 am",107666,529.117,1.1
"Jan 2, 11:00 am",105149,889.689,1.1
"Jan 2, 12:00 pm",103472,1266.66,1.1
"Jan 2, 01:00 pm",103466,1628.93,1.1
"Jan 2, 02:00 pm",105753,1943.08,1.1
"Jan 2, 03:00 pm",109663,2148.44,1.1
"Jan 2, 04:00 pm",114401,2138.63,1.1
"Jan 2, 05:00 pm",118494,1899.54,1.1
"Jan 2, 06:00 pm",119069,1660.45,1.1
"Jan 2, 07:00 pm",119171,1421.38,1.1
"Jan 2, 08:00 pm",119272,1182.33,1.1
"Jan 2, 09:00 pm",119329,943.302,0.8
"Jan 2, 10:00 pm",119322,704.312,0.8
"Jan 2, 11:00 pm",119344,465.379,0.8
"Jan 3, 12:00 am",119333,226.548,0.7
"Jan 3, 01:00 am",114389,0,0.7
"Jan 3, 02:00 am",-618.288,0,0.7
"Jan 3, 03:00 am",-618.288,0,0.7
"Jan 3, 04:00 am",-618.288,0,0.7
"Jan 3, 05:00 am",-618.288,0,0.7
"Jan 3, 06:00 am",-618.288,0,0.8
"Jan 3, 07:00 am",-618.288,0,0.8
"Jan 3, 08:00 am",-4596.35,0,1.1
"Jan 3, 09:00 am",78585,192.556,1.1
"Jan 3, 10:00 am",108214,499.017,1.1
"Jan 3, 11:00 am",105822,854.024,1.1
"Jan 3, 12:00 pm",111950,924.546,1.1
"Jan 3, 01:00 pm",115912,685.625,1.1
"Jan 3, 02:00 pm",116116,446.763,1.1
"Jan 3, 03:00 pm",109215,494.544,1.1
"Jan 3, 04:00 pm",113965,499.366,1.1
"Jan 3, 05:00 pm",117939,260.559,1.1
"Jan 3, 06:00 pm",118422,21.9504,1.1
"Jan 3, 07:00 pm",11684.2,0,1.1
"Jan 3, 08:00 pm",-618.288,0,1.1
"Jan 3, 09:00 pm",-618.288,0,0.8
"Jan 3, 10:00 pm",-618.288,0,0.8
"Jan 3, 11:00 pm",-618.288,0,0.8
"Jan 4, 12:00 am",-618.288,0,0.7
"Jan 4, 01:00 am",-618.288,0,0.7
"Jan 4, 02:00 am",-618.288,0,0.7
"Jan 4, 03:00 am",-618.288,0,0.7
"Jan 4, 04:00 am",-618.288,0,0.7
"Jan 4, 05:00 am",-618.288,0,0.7
"Jan 4, 06:00 am",-618.288,0,0.8
"Jan 4, 07:00 am",-618.288,0,0.8
"Jan 4, 08:00 am",-4862.4,0.922121,1.1
"Jan 4, 09:00 am",88595.1,226.474,1.1
"Jan 4, 10:00 am",107314,568.619,1.1
"Jan 4, 11:00 am",104681,940.641,1.1
"Jan 4, 12:00 pm",102721,1335.13,1.1
"Jan 4, 01:00 pm",102585,1719.17,1.1
"Jan 4, 02:00 pm",104609,2049.85,1.1
"Jan 4, 03:00 pm",108142,2276.61,1.1
"Jan 4, 04:00 pm",112608,2290.83,1.1
"Jan 4, 05:00 pm",117310,2051.77,1.1
"Jan 4, 06:00 pm",118473,1812.72,1.1
"Jan 4, 07:00 pm",119044,1573.67,1.1
"Jan 4, 08:00 pm",119252,1334.63,1.1
"Jan 4, 09:00 pm",119309,1095.61,0.8
"Jan 4, 10:00 pm",119333,856.619,0.8
"Jan 4, 11:00 pm",119357,617.673,0.8
"Jan 5, 12:00 am",119347,378.797,0.7
"Jan 5, 01:00 am",119344,140.052,0.7
